9027995
/m/027v13w
/m/027v13w
Frédéric Bastiat
subsidize 1
substitute 1
such 1
suffering 1
sufficient 2
sunshine 1
superior 1
support 2
supposed 1
suppress 1
surely 1
surprising 1
surrounded 1
systematically 1
systems 3
take 1
taken 1
takes 1
talents 1
tariffs 1
task 1
teach 1
temperature 1
temporal 1
tendencies 2
tendency 1
tends 1
than 9
that 32
the 163
their 9
them 3
themselves 5
then 8
there 2
thereby 2
therefore 3
these 8
they 12
things 1
think 4
third 1
this 10
those 2
threatens 1
three 1
throughout 1
thus 4
thwarted 1
time 1
to 91
tone 1
too 1
toward 4
trade 2
tranquil 1
transform 2
traveler 2
treats 1
tribe 1
true 2
try 1
turn 1
two 4
unconsciousness 1
under 2
undertake 1
unfortunate 1
unified 1
union 1
united 1
unless 5
unpatriotic 1
upheaval 1
upholds 1
upon 4
upright 1
us 11
use 14
used 4
utopian 1
utopias 1
variety 1
victimwhen 1
view 1
violate 1
violated 1
violation 2
virtue 1
vote 1
want 1
was 1
we 10
wealth 3
welfare 2
well 2
what 6
when 2
whenever 1
where 5
which 13
who 6
whole 1
whom 2
why 1
wields 1
will 14
wills 1
wise 2
wish 1
with 12
within 1
without 3
words 1
work 4
works 1
would 15
writers 1
yet 1
yoke 1
you 8
your 1
yourselves 2
