555554
/m/02pjyv
/m/02pjyv
Henrik Ibsen
headfirst 1
hears 2
heathen 1
heaven 1
heavy 1
held 1
helga 1
hell 2
her 20
here 2
herself 1
hides 1
highly 2
hills 1
him 16
himself 8
his 39
historian 1
holds 1
home 2
hope 1
humans 1
hunt 1
i 2
ie 1
if 3
ill 1
images 1
imagination 1
important 1
in 32
including 2
indicate 1
ingrid 3
insane 1
insists 1
instantly 1
instead 1
interesting 1
into 2
intoxicated 1
is 30
jon 2
keep 1
keeper 2
kidnapping 1
king 5
known 1
lad 1
lands 1
lap 1
last 3
laughed 1
lavishly 1
lead 1
lean 1
learn 1
leave 2
leaves 3
leaving 1
life 6
limping 1
list 1
live 1
living 2
local 3
locked 1
looks 1
lost 2
love 1
lullaby 1
made 1
madhouse 2
maintains 1
make 1
man 5
many 1
mark 1
marry 1
may 1
meet 1
meets 5
melted 2
memnon 1
met 1
might 1
mind 1
missionaries 1
molder 2
moment 1
money 2
more 1
morocco 1
most 2
mother 7
motif 1
motto 2
mountain 4
mountains 2
must 1
my 5
myself 1
named 1
never 1
newcomers 1
next 1
night 1
no 5
none 1
norway 1
norwegian 1
not 11
nothing 2
notices 1
number 1
occupations 1
of 31
off 1
offers 1
old 3
on 9
once 2
one 4
onenbsp 1
only 1
opens 1
opportunity 2
or 2
origin 1
other 2
out 4
outlaw 1
overseas 1
own 2
part 2
passenger 2
passes 1
patients 1
peasant 1
peer 44
pitiful 1
place 3
play 4
playing 1
plot 1
poet 1
points 1
possessions 1
preceded 1
presume 1
previous 1
priest 1
probably 1
proclaiming 1
prophet 1
protests 1
question 2
questions 1
quickly 1
raise 1
ramblings 1
real 2
refuses 1
regarded 1
regards 2
reindeer 1
remember 1
replies 1
reputation 1
rest 2
restore 1
return 1
returns 1
revolt 1
richest 1
ride 1
rings 1
rob 1
rock 1
roles 1
roundabout 1
runs 2
sale 1
salesman 1
same 2
say 3
saying 2
says 2
scares 1
scene 2
scheduled 1
scorns 1
screams 1
se 1
search 1
second 1
seduce 1
see 1
seizes 1
self 1
sending 1
sent 3
serious 1
sets 1
shall 2
shaming 1
shares 1
she 10
shines 1
shipwrecked 1
shore 2
should 1
shows 1
side 1
silver 1
since 1
singnbsp 1
sings 1
sinned 1
sinner 1
sins 4
sister 2
sky 1
slaves 2
solveig 11
some 2
something 2
son 4
songs 1
soon 1
soul 1
spends 2
spent 1
sphinx 2
spoiled 1
stage 1
starts 2
states 1
stay 1
steals 1
still 2
stolen 1
stop 1
strange 1
struggles 1
stumbles 1
such 1
suffering 1
support 1
suppressing 1
supreme 1
swoons 1
takes 3
taking 2
tales 1
taunted 1
taunts 1
tears 1
tells 2
that 22
the 98
theatrical 1
their 2
them 1
themselves 1
then 10
there 4
these 1
they 1
this 7
those 1
three 1
through 2
thyself 1
time 2
to 39
together 1
touched 1
trading 1
trait 1
transactions 1
travels 1
treated 1
tribe 1
tries 1
troll 8
trolls 3
true 3
truth 1
turkish 1
turns 2
typical 1
understanding 2
understandnbsp 1
understands 2
unethical 1
unless 2
unlike 1
unmade 1
unsung 1
unwept 1
up 5
upon 1
use 1
useless 1
uses 1
valley 1
various 2
very 1
view 1
vivid 1
voice 1
vouch 1
waiting 1
waits 1
waking 1
wandering 1
wanders 2
wants 1
was 2
way 1
we 5
wedding 4
welcomes 1
well 1
went 2
were 1
what 1
whatever 1
when 3
where 7
who 13
whole 1
whom 1
wife 1
will 1
wisdom 1
wise 1
wished 1
with 18
wits 1
woman 4
words 1
works 1
world 1
worlds 1
would 2
years 1
you 2
youngest 1
yourself 1
youth 1
