5740554
/m/0f251n
/m/0f251n
Harry Turtledove
emperor 3
emphasized 1
encircle 1
encountering 1
end 2
enemy 2
enemyoccupied 1
england 1
enjoys 1
entire 1
escaping 1
essential 1
establish 1
establishes 1
europe 1
evacuated 1
even 2
ever 1
every 1
everywhere 1
evolve 1
except 1
expansive 1
expecting 1
expediency 1
expended 1
explains 2
exploit 1
explosion 1
extraordinarily 1
face 4
faces 1
fact 1
factories 1
fail 1
fallout 1
falls 1
feverishly 1
few 1
fields 1
fight 1
fighters 1
fighting 4
final 1
finally 2
find 4
finds 1
first 3
fleet 5
fleetlord 2
flies 1
florida 1
flown 1
flying 1
follow 1
for 6
forced 2
forces 8
formations 1
found 2
france 1
from 12
fuel 1
furlough 1
furthermore 1
gap 1
gathered 1
gathering 1
geared 1
general 3
genuine 1
george 2
german 4
germans 2
germansoviet 1
germany 7
given 1
go 2
goes 1
gold 1
gorbunova 2
government 2
governmentnot 1
granted 1
greater 1
ground 2
grow 2
guarantee 1
guest 1
guided 1
guns 1
had 3
half 3
handful 1
harder 1
hardly 1
harmlessly 1
has 9
hasten 1
have 4
he 12
heinrich 2
held 1
helicopters 1
hijack 1
him 2
his 7
hit 1
hitler 4
hits 1
hoarded 1
hoc 1
holding 1
home 2
hoping 1
horse 1
hostilities 1
hours 1
however 2
hrubieszw 1
human 16
humanity 2
humankind 1
humans 2
idaho 1
idea 1
if 1
ii 1
illinois 4
immediately 2
important 1
in 49
including 1
indiana 2
indicates 1
industrial 3
infantry 2
informed 2
inhabitants 2
inhospitable 1
initial 1
initiative 1
inspire 1
instead 1
intelligence 3
intelligent 1
interference 1
interrogations 1
interrupted 1
into 4
invaders 1
invasion 4
involved 1
is 35
it 5
its 4
jens 2
jewish 2
jger 8
joint 1
jossano 1
journey 2
keep 1
keeps 1
key 1
killercraft 3
kind 1
known 1
laboratory 3
lacks 1
land 2
landcruiser 1
landcruisers 3
landing 3
larssen 11
last 1
less 2
let 1
liberating 1
lieutenant 2
like 1
limited 1
lines 1
little 2
load 1
localized 1
long 1
longer 2
lose 1
losing 1
ludmila 1
lull 1
lured 1
m4 1
major 4
makes 4
making 1
manage 1
managed 1
manages 4
mankind 4
march 1
marshall 2
massive 2
match 1
may 2
meanwhile 1
measure 1
meets 1
metal 2
metallurgical 2
mexico 1
might 2
militaries 1
military 3
missiles 1
molotov 1
momentum 1
mongolia 1
months 2
more 4
mortars 1
moscow 1
most 5
mostly 1
move 3
moved 1
much 3
must 2
mustangs 1
narrowly 1
nations 1
natural 1
nauseated 1
nearly 1
nears 1
necessary 1
need 1
negotiated 1
nemesis 2
new 2
night 1
no 3
nominally 1
nor 1
north 2
northern 1
not 3
notice 1
numbers 1
objective 1
of 56
off 2
officer 1
officers 1
official 1
ohio 1
oil 1
oilfields 1
omar 1
on 13
once 1
one 4
only 6
operation 2
operations 1
options 1
orbit 1
orbital 1
order 1
orders 3
originating 1
other 3
out 3
outer 1
outnumbered 1
outside 1
over 1
overrun 1
own 1
p51 1
panic 1
panzer 2
part 1
partisans 4
patton 4
personnel 1
persuade 1
petroleum 1
physicist 1
planet 3
planned 1
ploieti 1
plutonium 5
poland 2
populace 1
populate 1
pose 1
positions 1
possess 1
possession 1
power 5
powers 2
precious 1
preindustrial 1
preparations 1
prepared 1
primarily 1
primitive 2
prison 1
prisoner 1
probe 1
proceed 1
process 2
processing 1
produced 1
production 1
progress 1
promoted 1
provided 1
pulse 1
quite 1
race 27
radio 1
radioactive 1
radios 1
raid 1
railroad 1
rank 1
rapid 2
rapidly 1
rare 1
rather 1
rationalizes 1
reach 1
reaches 1
reality 1
realize 1
recent 1
recognize 1
reconnaissance 1
recovering 1
reduce 2
refineries 1
refuses 2
regrets 1
relative 1
relocating 1
report 1
reports 1
resist 1
resistance 3
resistant 1
resisting 1
resort 1
resources 2
respite 1
result 1
resulting 3
retaliation 1
retreat 2
return 1
ride 1
rifles 1
ring 1
rivalries 1
rockets 1
romanian 1
rubble 1
ruins 1
s 1
same 1
sandy 1
satisfied 1
scores 1
sea 1
second 1
secured 2
seemingly 1
sees 1
send 1
sends 1
sent 1
separate 1
set 1
several 5
severe 1
she 1
shells 1
shermans 1
shiplords 2
shipment 1
shipped 1
ships 3
shocked 1
short 2
shortly 1
shrink 1
siberia 1
side 1
sign 1
silicon 1
similarly 1
simple 1
simultaneously 1
since 6
sites 1
six 2
sleep 2
slow 1
slower 1
snow 1
so 6
society 1
sohrheb 1
solar 1
soldiers 1
some 2
somewhere 1
soon 2
south 2
southern 1
soviet 6
soviets 1
spain 1
species 2
specifically 1
spending 1
spends 1
springs 1
staff 1
standstill 1
stars 1
started 1
states 3
stationed 2
steppe 1
stiff 1
still 1
stockpile 1
strange 1
strategy 1
strike 1
striking 1
strongest 1
strongholds 1
subdue 1
submission 1
subsequently 1
succeeds 1
success 3
such 3
sulphur 1
superiority 1
sure 1
surprise 1
surrender 1
surveying 1
system 1
tactical 1
take 3
takes 2
tank 1
tau 1
technological 2
technology 3
temporary 1
tendency 1
territory 1
than 3
that 25
the 170
their 14
them 4
there 3
thereafter 1
they 12
this 5
though 1
thought 1
threat 2
through 3
time 1
to 60
together 1
toward 3
towns 1
traps 1
travel 1
troop 2
troops 4
trusted 1
tubes 1
twenty 1
two 1
uk 1
ukraine 5
ukrainian 1
under 1
union 2
unit 1
united 3
units 1
university 3
unprepared 1
unsettling 1
unstoppable 1
until 3
unwilling 1
up 1
upon 3
us 4
use 2
using 1
vacuum 1
valuable 2
vehicles 2
victory 2
virginia 1
virtual 1
visited 1
wage 1
war 8
warns 1
washington 3
way 5
ways 1
weakness 1
weaponry 1
weapons 3
weather 2
weeks 2
welldeserved 1
were 1
west 1
western 1
westward 1
when 1
where 4
which 5
while 6
white 1
who 3
widespread 1
will 4
winter 2
wisconsin 1
with 15
within 1
working 1
worried 1
would 2
year 1
years 2
yet 1
york 1
zones 1
