11804870
/m/02rt3rf
/m/02rt3rf
Philippa Gregory
interest 1
into 7
involve 1
involved 1
is 69
it 8
itself 1
john 17
joint 1
journey 1
julia 8
just 1
justice 1
keep 2
kept 1
kill 2
knee 1
knife 1
know 1
knowing 2
knows 4
labour 1
lacey 3
lack 1
lad 1
lady 2
ladylike 1
land 6
last 2
late 1
laudanum 2
lays 1
leads 1
learning 1
leave 1
leaves 2
left 1
legs 2
let 1
library 1
lie 2
lied 1
lies 2
life 3
like 1
listens 1
live 2
lives 1
living 2
longer 2
longs 1
look 1
looks 1
loss 1
lost 1
lot 2
love 6
lovely 1
lover 1
lovers 1
loves 1
lowly 1
lunatic 2
macandrew 6
mad 1
maimed 1
make 6
makes 1
male 1
man 5
manages 1
manipulation 1
manipulative 1
marriage 4
married 1
marries 1
marry 2
masochist 1
master 1
maternal 1
maximum 1
mcandrew 1
meaning 1
meanwhile 2
medical 1
meeting 1
meets 1
meg 1
mental 1
mentality 1
mind 1
miscarriage 1
money 2
monies 1
more 7
mortgage 1
mortgaged 1
most 2
mother 8
moving 1
murderess 2
murders 1
mutters 1
my 1
name 1
names 2
narrated 1
necessary 1
neighbour 1
never 3
new 2
news 1
next 1
night 1
nightmare 2
nightmares 1
nights 1
no 6
nobody 2
nod 1
not 13
note 1
nothing 1
novel 4
now 4
nowhere 1
of 48
off 4
offspring 1
on 18
once 3
one 4
only 8
open 2
or 5
order 5
others 1
out 4
outer 1
outlaw 1
outrageous 1
outside 2
over 4
overcome 1
overdose 1
overgrown 1
overjoyed 1
own 5
papa 1
paradise 1
parlour 1
part 3
pass 2
path 1
patient 1
pauper 1
peaceful 1
peak 1
people 2
performs 1
person 1
persuades 1
physically 1
piece 1
pigs 1
place 3
plan 1
planning 1
play 1
poiling 1
position 3
possess 1
possibly 1
poverty 1
power 2
practiced 1
preempts 1
pregnant 2
premature 1
prescribed 2
prescribes 1
prescribing 1
private 3
problem 1
proceed 1
produce 1
product 1
profit 1
pronouncement 1
properly 1
proposal 1
protagonist 1
protect 1
proud 1
provocative 1
pulls 1
punish 1
pursuits 1
quickly 2
quite 2
race 1
raise 2
ralph 19
rape 2
raped 1
rapidly 1
rarely 1
rattle 1
realises 1
realizes 2
really 1
reared 1
recognizes 1
recognizing 1
recover 1
redemption 1
refuses 1
regaining 1
regards 1
relations 1
relationship 1
remaining 1
repeating 1
reputation 2
requires 1
rescues 1
resentment 1
reservations 1
respect 1
respectable 1
rest 2
restore 1
resume 1
return 3
revealing 1
reveals 1
revenge 3
richard 7
rightly 1
room 2
route 1
ruin 2
ruined 2
run 2
running 1
runs 1
rural 1
rushes 1
ruthless 2
ruthlessness 1
satisfies 1
save 1
saved 1
saw 1
saying 1
says 2
scared 1
scene 4
scheme 1
scheming 1
school 2
scotsman 1
screaming 1
screams 3
seal 1
second 1
secretly 1
secure 2
seducing 1
seduction 2
see 2
seeing 1
sees 5
sends 1
sense 2
seriously 1
set 1
sets 2
setting 1
severed 1
sex 1
sexual 2
shadow 1
shadowy 1
shattered 2
she 71
shell 1
shock 1
shocked 1
short 2
sight 1
sister 1
sisterinlaw 1
situated 1
sixth 1
sleeping 1
slightly 1
slip 1
smiles 1
so 5
some 1
someday 1
somehow 1
someone 1
something 1
sometimes 1
son 1
sort 1
soul 1
south 1
spare 1
spends 2
squire 3
stand 1
started 1
starts 1
starvation 1
state 1
stating 1
stay 2
stepdaugher 1
stolen 1
stone 1
stop 1
straitjacket 1
strength 1
stunned 1
submissive 1
succeeds 1
suddenly 1
suffering 1
suitable 1
suppresses 1
sure 1
suspects 1
sweet 1
symbolically 1
take 3
taken 3
takes 3
taking 5
teaches 1
teaching 1
tell 3
telling 4
tells 2
that 36
the 135
their 10
them 5
then 10
they 5
theyd 1
thing 1
thinking 2
third 1
this 15
those 1
though 3
thought 1
threatened 2
threw 1
throat 1
through 1
throughout 1
thumb 1
thus 1
time 9
to 79
together 2
too 2
torches 1
totally 1
touches 1
tracheotomy 1
transferred 1
trap 2
tricks 1
tries 2
true 2
truth 2
turn 1
turned 1
turning 1
two 2
unconscious 1
under 3
undergrowth 1
understanding 2
uninterested 1
until 3
unwisely 1
unwittingly 1
up 4
upon 1
upset 1
usually 1
vegetables 1
vengeance 1
very 3
village 3
villagers 5
violent 1
voice 1
vulnerable 1
wakes 1
warms 1
warped 1
was 3
watch 1
way 4
ways 1
weapon 1
welcomes 1
well 1
were 2
what 4
when 6
where 2
which 6
while 2
whip 1
who 9
whole 2
whore 1
why 2
wickedness 1
wideacre 21
will 9
win 1
wind 1
window 1
windpipe 1
wins 1
witch 2
with 26
within 1
without 2
witnessed 1
witnesses 1
woman 1
women 1
world 4
would 5
wrecker 1
writes 1
written 1
yearsold 1
young 2
