3492678
/m/09ggvv
/m/09ggvv
Fyodor Dostoyevsky
were 5
what 1
when 7
where 1
which 5
while 3
white 1
who 5
whole 1
whose 1
will 4
windowpanes 1
winter 1
wishes 1
with 12
within 2
without 1
woman 2
wonders 1
words 1
work 1
would 9
writing 1
wrong 1
year 2
you 10
young 5
younger 1
your 6
zhukovsky 1
