232367
/m/01hsn2
/m/01hsn2
Wu Cheng'en
land 1
lands 1
last 2
learns 1
leiyin 1
length 2
liberating 1
life 2
lifting 1
literally 2
lives 1
living 1
longest 1
looking 1
loosely 1
made 1
magic 1
magical 2
magician 1
main 3
mainly 1
makes 1
manages 1
manifestations 1
mantra 1
many 3
marshal 1
master 1
match 1
meal 1
means 1
meet 1
merit 1
monastery 1
monk 1
monkey 2
monster 1
monsters 3
moon 1
more 3
mortal 2
most 2
mother 1
mountain 2
mountains 2
mundane 1
mystical 1
name 2
named 1
naval 1
needs 1
negated 1
new 1
nga 1
nine 1
no 2
nominal 1
not 1
nourished 1
novel 1
number 1
occasional 1
of 44
off 1
offerings 1
official 1
often 1
ogre 1
on 4
once 1
one 1
only 4
or 9
order 1
ordinary 1
other 1
out 4
page 1
part 1
parts 1
past 2
peak 2
pearl 1
persuasion 1
pig 2
pigsy 1
pilgrimage 2
place 1
placed 1
political 1
polymorphic 1
populated 1
population 1
post 1
posts 1
potential 1
power 1
powers 1
precepts 1
precisely 1
predicaments 1
present 1
presumably 1
previously 3
prologue 1
promiscuity 1
promoted 1
proves 1
provide 1
provides 2
province 1
qitian 1
queen 1
quickly 1
quiet 1
reaches 1
real 1
really 1
realm 2
rebellion 1
receives 2
regard 1
relates 1
reliable 1
relief 1
reproved 1
return 1
revealing 1
reward 1
rides 1
right 1
ring 2
river 2
rivers 1
road 1
role 1
room 1
royal 1
runins 1
sage 1
sages 1
said 1
sand 1
sandy 1
sanzang 1
saved 1
scenarios 1
scene 2
scriptures 2
sea 1
sealing 1
search 1
second 1
secrets 1
section 2
seductive 1
see 1
selfcontained 1
semihuman 1
sent 1
sentenced 1
serve 1
serves 1
set 1
sets 1
setting 3
sex 1
sha 3
shattering 1
short 1
significant 1
silk 1
simultaneously 1
since 1
sins 3
some 2
someone 1
sometimes 1
somewhat 1
somewhere 1
son 1
south 1
sparsely 1
speaking 1
spider 1
spirits 2
spiritual 1
stay 1
still 1
stone 1
story 5
straight 1
strongly 1
structure 1
suggested 1
sun 6
sutras 1
taizong 1
take 2
taken 1
talisman 1
tall 1
tang 4
tao 1
taoist 3
teacher 1
tempered 1
temple 1
text 1
that 5
the 91
their 3
them 1
there 3
these 2
they 3
third 3
this 3
those 1
though 1
threatened 1
through 1
throughout 2
tightening 1
time 1
to 33
towards 1
transcendence 1
transformations 1
translated 2
trap 1
trapped 1
travelers 1
traveller 1
travellers 1
tribulations 1
try 1
turkestan 1
turn 2
ultimately 1
unbearable 1
under 1
underworld 1
unequal 1
usually 1
various 3
varying 1
vast 1
very 1
violence 1
violent 2
vulture 2
wait 1
was 8
way 4
well 1
west 2
when 3
where 3
which 5
while 2
who 7
whoever 1
whom 1
whose 3
wide 1
wilderness 2
will 2
with 9
work 1
wujing 3
wukong 4
xinjiang 1
xuanzang 16
years 3
zhu 3
