2030129
/m/06gblz
/m/06gblz
Lewis Carroll
shows 3
shrinking 1
sick 1
side 1
signed 1
similar 1
sin 1
singing 1
sings 3
site 1
situation 1
six 3
size 2
sketch 1
so 6
some 3
son 1
song 6
soon 1
souls 1
speak 1
specimens 2
speech 3
speeches 5
spell 1
spends 1
spherical 2
spoiling 1
spontaneous 1
spread 2
square 1
stands 1
stanza 1
stanzas 1
station 2
stealing 1
stereotypically 1
still 3
stopping 1
stops 1
storing 1
story 5
strands 1
street 1
streets 1
student 2
students 3
study 1
subject 2
subwarden 6
such 1
suggesting 1
sun 1
surprised 1
swears 1
sylvie 33
system 3
takes 2
taking 1
tales 1
talk 1
talking 2
tall 1
taste 1
taxes 2
tea 2
teachers 2
teetotalism 1
telegram 1
tell 2
telling 1
tells 6
temptation 1
ten 2
terms 1
terraforming 1
than 4
that 36
the 275
their 15
them 16
then 5
theorizing 1
there 4
these 1
they 26
theyre 1
this 3
thought 1
thousands 1
three 1
through 1
throw 2
throws 1
thunderstorm 1
time 5
to 96
too 1
tottles 1
town 1
train 3
trains 2
tramp 3
transform 1
transformed 2
travel 1
treat 1
treatment 1
tries 4
try 1
turned 1
turning 1
turns 2
twice 1
two 4
uggug 9
unconscious 1
underground 1
understood 1
unfortunately 1
unlocks 1
unrecognised 1
unsatisfying 1
until 5
up 3
upstairs 1
urgently 1
use 2
uses 1
value 1
vanished 2
vanishes 1
variety 1
veiled 1
velocity 1
verse 2
versus 1
very 1
vicewarden 6
views 1
village 1
visit 4
visits 3
vol 4
vomitingly 1
wager 1
wages 1
wakes 1
walk 2
walking 3
walks 2
wanderings 1
wanted 1
warden 10
warn 1
was 6
watch 2
water 2
way 11
wealth 1
weather 1
wedding 1
weed 1
weeds 1
week 3
weeks 1
weigh 1
weightlessness 1
welcomes 1
went 1
were 3
what 6
wheel 2
wheels 1
when 10
where 7
whether 2
which 12
while 1
whist 1
who 11
whole 1
whom 1
wife 8
will 4
willie 2
window 1
wine 1
wins 1
wish 1
with 23
without 1
witness 1
witnesses 1
woman 1
worked 1
world 1
would 3
yards 2
year 1
yellow 1
yet 1
you 1
young 3
