5297977
/m/0dd6rs
/m/0dd6rs
Steven Barnes
theocratic 1
there 4
these 2
they 7
this 2
thoths 2
though 8
thought 1
thousand 1
three 1
through 5
thus 1
timeline 2
title 1
to 53
together 2
told 1
track 1
trade 2
traded 1
trading 1
traditional 1
training 2
transferred 1
translates 1
treasured 1
treat 1
treatment 1
tribal 1
tribes 1
twin 2
two 3
twothirds 1
ulema 2
uncle 3
unclean 1
under 1
unified 1
union 1
united 1
unlikely 1
until 1
unwilling 1
up 3
upon 1
upper 1
use 2
used 2
using 1
usually 1
varied 1
via 1
victory 1
viking 1
vikings 3
village 1
vinland 2
vision 2
vote 1
voyage 1
wakil 3
wakils 2
war 3
was 11
way 3
wedge 1
were 5
west 2
western 1
westward 1
when 4
where 3
whether 2
which 21
while 8
whipped 1
white 2
who 8
wichita 1
wife 3
will 2
with 31
within 2
without 1
work 1
working 1
world 11
worth 1
would 7
years 2
yoruba 2
younger 1
youngest 1
zulu 5
zulus 4
