598788
/m/02v12p
/m/02v12p
Harold Coyle
tf 1
that 11
the 150
their 5
them 2
there 5
they 3
third 3
those 1
though 1
three 4
through 1
thuringer 2
thus 1
tightening 1
time 1
to 56
tow 1
towards 2
town 5
tracked 1
traffic 1
trip 1
two 2
uleski 2
unable 1
under 1
understands 1
unger 1
union 1
unit 6
united 1
units 2
universal 1
unspecified 1
up 3
us 1
used 1
valley 1
vehicle 1
vehicles 1
volunteer 1
wait 1
wakes 2
wald 2
war 5
warfare 1
was 4
way 3
we 1
weiss 2
wellington 1
west 2
westward 1
when 5
where 3
which 4
while 3
who 3
whole 1
wife 2
will 2
wiped 1
with 15
withdraw 2
wives 1
works 1
would 2
wounded 1
wounding 1
wounds 1
xo 3
y 1
yankee 14
year 1
years 1
yet 1
you 1
youth 1
