4681195
/m/0ch0h_
/m/0ch0h_
Sam Shepard
leaving 1
left 1
let 2
lies 1
like 3
listen 1
listening 1
little 1
loaned 1
look 1
looking 2
loud 1
luncheon 1
made 2
maggots 2
make 1
makes 1
making 1
malcolm 1
man 4
markers 1
matter 1
means 1
mechanic 1
members 1
men 2
menstruation 1
mexico 3
midair 1
midtalk 1
mistake 1
mistakes 1
money 6
monologue 1
more 1
morning 1
mother 7
motherly 1
mothers 2
move 2
moving 1
mud 2
must 1
naked 2
name 1
narrating 1
need 1
new 3
next 1
nicely 1
night 3
nights 1
nitroglycerin 1
no 2
nobody 1
not 7
now 1
nowhere 1
of 24
off 3
offering 1
old 1
on 25
once 1
one 1
only 1
opens 3
or 2
other 1
ought 2
out 10
outside 3
over 1
overly 1
overnight 1
overtures 1
owes 2
own 4
owner 1
ownership 1
packard 1
part 3
partner 1
pass 1
pay 1
people 1
person 1
picked 1
pieces 1
place 3
plaguing 1
planning 1
plans 2
play 2
playing 1
pointless 1
points 1
poison 3
police 1
poster 1
posters 2
pretty 1
project 2
properly 1
property 4
proud 1
pulling 1
pulls 2
purchase 1
purchased 1
pushes 1
put 1
puts 1
putting 3
quite 1
rag 1
rage 3
raised 1
ran 1
rant 2
realestate 1
realizes 1
reappear 1
reassures 1
reclaim 1
reenters 1
refrigerator 8
refuses 4
remaking 1
remember 2
reminds 1
rest 1
retreated 1
returns 4
revenge 1
riding 2
room 1
ruining 1
run 2
runs 1
safe 1
saw 1
saying 2
says 5
see 2
seem 1
sees 1
sell 3
selling 2
sent 1
sergeant 1
sets 1
sexual 1
she 31
shes 3
shooting 2
shows 1
shut 1
since 1
sister 1
skinned 1
slams 1
slater 2
sleep 1
sleeping 2
slipping 1
small 2
smallest 1
sniff 1
so 1
sober 1
sold 1
some 5
someone 1
something 1
soon 1
stage 2
standing 1
staring 1
start 1
starving 2
state 1
stay 2
steal 1
still 4
stop 3
stops 1
storms 2
story 5
stove 1
strychnine 1
suddenly 1
suggests 1
swearing 1
table 7
take 5
taken 1
takeover 1
takes 4
taking 2
talk 2
talking 1
talks 2
taylor 11
tell 8
telling 3
tells 29
tendencies 1
testes 2
than 1
that 68
the 147
their 10
them 7
then 22
there 7
theres 1
these 1
they 12
things 1
think 1
this 4
though 1
three 1
through 1
thrown 1
throws 2
thug 1
time 1
to 101
told 1
tom 3
too 2
took 1
tries 7
try 1
trying 2
tucked 1
turn 1
turns 1
two 1
typical 1
under 1
up 12
urinate 1
use 1
very 2
violent 1
void 1
wad 1
wake 1
wakes 1
walked 1
walks 3
wall 1
want 4
wants 2
warning 1
was 7
water 2
way 2
wearing 2
well 2
went 1
wesley 54
wesleys 1
weston 39
westons 1
what 7
whats 1
wheelbarrow 1
when 5
where 4
whether 3
which 4
while 1
who 12
whole 1
why 2
will 9
with 18
woke 1
wont 1
working 1
worthless 1
yell 1
yells 3
you 2
young 2
zombie 1
zombies 1
