4838726
/m/0cqbp2
/m/0cqbp2
Gillian Rubinstein
swordsman 1
take 2
taken 2
takeo 1
takes 1
takeshi 7
taking 2
tells 5
terayama 7
terminates 1
terms 1
territory 1
terror 1
that 15
the 112
their 10
them 5
then 1
there 4
they 17
this 1
though 3
through 3
thus 1
time 4
to 82
together 1
tohan 7
told 1
tomasu 2
too 2
torture 1
tracked 1
trained 1
training 3
trap 1
trapped 1
travelling 1
travels 3
treachery 1
treated 1
tribe 9
trusts 1
turning 1
turns 1
tutor 1
two 3
unable 1
uncle 1
uncles 7
unconscious 1
under 3
underground 1
unexpected 1
unknown 1
until 1
untrustworthy 1
up 1
village 3
visit 1
visits 2
volcano 1
vying 1
wait 1
waiting 1
wakes 1
war 2
warned 1
warns 1
warrior 2
warriors 1
was 4
way 3
wedding 1
were 1
west 1
what 1
when 7
where 5
which 7
while 2
who 14
whole 1
wife 5
wilderness 2
will 3
winter 2
wishes 1
with 20
woman 1
women 1
wonders 1
wont 1
word 2
words 1
would 3
write 1
yaegahara 1
yamagata 3
yanagi 2
year 1
years 3
yuta 3
