603113
/m/02vk5h
/m/02vk5h
Thomas Middleton
maybe 1
meaning 1
means 1
medicine 1
medicines 1
meet 1
meeting 2
men 1
mental 5
mere 1
message 1
met 1
meticulous 1
midnight 1
midst 1
mind 1
misanthropy 1
misgivings 2
mistake 1
molest 1
moment 1
money 6
more 3
most 1
motive 1
much 2
murder 12
murdered 3
murderersantonio 1
murdering 1
must 5
myself 1
name 2
narrow 2
need 2
never 1
new 2
next 1
night 3
no 4
noises 1
not 23
note 1
nothing 1
now 2
oblivious 1
occur 1
of 64
off 3
offended 1
offer 3
offers 3
offstage 2
on 14
once 2
one 6
only 10
or 4
order 1
other 3
others 1
out 14
outcome 2
outmanoeuvre 1
outside 1
over 1
overheard 1
overjoyed 1
pain 1
pair 1
paper 1
parallel 1
pass 1
passage 1
patient 2
patients 4
pedro 5
people 3
perform 1
person 3
physically 1
picks 1
piracquo 4
piraquo 1
pitch 1
place 1
plans 1
pleased 2
pleasure 1
plot 2
plots 1
points 1
postponement 1
potentially 1
potion 1
predictably 1
pregnancy 1
preparation 1
pretend 3
pretended 1
pretending 3
pretends 1
preventing 1
priest 1
proclamations 1
promised 2
promises 1
proposes 1
proposition 1
protests 1
provides 1
proving 1
puts 1
questions 2
rather 1
reacts 1
read 1
readily 1
reads 1
ready 1
realise 1
realises 3
realizes 2
really 1
reason 2
reasons 1
recently 1
recognise 2
refuses 2
regrets 1
reiterates 1
remark 2
remarks 2
remember 1
remembering 1
reminded 1
reminding 1
reminds 1
remove 4
repeats 1
repelled 1
replaced 1
replacement 1
replies 2
repulsed 1
reputation 1
requested 1
requests 1
residents 1
resists 1
resolves 1
respectively 1
retaliate 1
return 5
returns 4
reveal 1
reveals 1
revenge 1
reward 3
rid 2
riddles 1
ring 5
room 5
ruckus 1
ruined 1
run 2
runs 1
same 1
sane 1
satisfy 1
saw 1
say 2
saying 1
says 26
scene 1
screams 1
seal 1
secret 3
secretly 2
see 5
seeing 1
seek 2
seem 1
seeming 1
seen 1
sees 4
send 2
sent 1
separate 1
set 1
several 1
sex 17
sexual 5
sexually 3
she 73
shes 2
short 1
should 4
shouting 1
shoves 1
show 2
showing 1
shown 1
shows 3
shrewd 1
signifying 1
similar 1
sin 1
since 4
skin 3
sleep 3
smart 1
smile 1
smiling 1
smitten 1
sneezing 1
so 6
social 1
solemnity 1
soliloquy 3
solution 1
solved 2
some 5
somehow 1
someone 3
something 2
soninlaw 1
sound 1
space 1
speak 1
speaks 1
spies 1
spurned 1
stabbed 1
stabs 2
stage 1
stalls 1
stare 1
stark 1
start 1
starting 1
startles 1
starts 1
state 2
stay 2
still 1
strike 1
strikes 1
submit 1
subplot 1
successfully 1
sudden 2
suffer 1
suffers 2
suggesting 1
suggests 2
supposed 1
surprised 1
suspect 1
suspects 1
sword 5
symptoms 2
take 5
taken 1
takes 2
talk 5
talking 1
talks 3
task 1
tell 1
telling 1
tells 14
test 6
tests 1
that 96
the 116
their 8
them 13
then 12
there 3
thereby 2
therefore 3
these 1
they 15
things 1
think 2
thinking 3
thinks 2
this 10
though 2
thousand 1
threatens 1
three 3
threeday 1
thus 2
time 2
times 2
to 170
tobe 1
together 4
token 1
told 1
tomazo 20
tony 1
too 9
touch 1
touched 1
touching 1
tour 2
tourists 1
towards 2
tragic 1
transgress 1
treats 1
tries 4
trustworthy 2
truth 2
try 1
two 4
ugliest 1
unable 2
under 1
undress 1
uniting 1
unnerved 1
unwillingly 1
up 6
us 1
use 3
used 1
uses 1
using 1
usual 1
vault 1
venture 1
vermandero 29
very 7
vicious 1
view 1
virgin 4
virginity 6
voice 1
wait 1
waits 1
wake 1
walk 1
wantonness 1
wants 9
warmly 1
was 13
watches 2
wedding 7
welcoming 1
well 1
went 1
were 4
what 3
when 2
whereas 3
whether 1
which 4
while 4
whilst 1
whip 1
whips 1
who 13
whom 4
whore 1
whoredom 1
whos 1
whose 1
why 4
wife 2
will 23
willing 1
window 1
winds 1
wise 1
wish 2
wit 1
with 59
within 1
woman 1
wonderment 1
words 1
worried 1
worth 2
would 3
wouldnt 2
wrote 1
yet 2
yielded 1
young 1
