6530718
/m/0g93jz
/m/0g93jz
Elizabeth Moon
spaceship 1
spacesuits 1
spacewarriors 1
spare 1
specified 1
spokenof 1
starmount 1
stillmobile 1
strategy 1
strike 1
strikes 1
strong 1
structural 1
subordinate 1
subordinates 1
subtle 1
success 1
successfully 1
suits 1
suiza 17
suppress 1
t1 2
t4 2
take 3
taken 1
taking 1
tale 1
talking 1
team 1
teams 1
tell 1
thanks 1
that 11
the 102
their 9
them 5
then 1
there 2
they 12
this 5
thorough 1
though 1
three 1
through 2
time 2
to 43
track 1
traitorous 2
transfers 1
trapped 2
trauma 1
trial 1
tripping 1
two 2
under 1
uniformly 1
uninjured 1
unlike 1
until 2
up 1
upgrade 1
use 1
used 2
vacation 1
vanished 1
various 1
vehicle 1
ventured 1
very 2
vessel 2
vessels 2
vida 1
wait 1
waiting 1
warship 1
warships 1
warzone 1
was 8
wave 2
way 1
waylaid 1
welcome 1
well 1
were 5
when 3
where 1
whether 2
which 1
while 2
who 4
whose 1
winning 3
with 12
without 2
women 1
work 1
would 4
wraith 6
xavier 2
yet 1
young 1
