233084
/m/01hwrd
/m/01hwrd
Irvine Welsh
junk 8
junkie 1
just 3
kelly 11
key 1
kick 1
kicked 1
kicking 1
kill 3
kin 1
kisses 1
kitchen 1
kitten 1
knew 1
knocking 1
know 3
largely 1
last 1
late 1
later 3
laugh 1
laughing 2
laughter 4
launches 1
leading 2
leaves 1
lecture 1
led 1
left 2
leg 2
legover 1
leith 3
lenny 1
lesbians 1
lesley 3
less 1
letting 1
liberators 1
lie 2
life 2
light 1
lightweight 1
like 2
likely 1
lives 1
loathes 1
london 5
long 1
longterm 1
look 1
looks 2
loses 1
lost 1
love 2
lovely 1
lover 1
low 1
lowkey 1
lying 1
lynch 1
lyric 1
lyrics 1
made 1
make 1
makes 3
making 3
man 14
managed 1
marathon 1
mark 16
marry 1
masculinity 1
masturbating 1
mate 1
matter 1
matty 4
may 1
maybe 1
mclaughlin 1
meadows 2
meaningful 1
meat 1
meet 2
meets 2
memories 1
men 4
middle 1
mikey 1
minority 1
mixedrace 1
mob 1
money 4
more 4
morning 1
mother 5
mourning 1
mouth 1
move 1
movie 3
mr 1
much 1
murdered 2
muses 1
must 1
my 1
n 1
na 2
nae 1
nails 1
name 2
named 3
narrated 33
narration 9
naz 1
nazis 1
needs 1
neglect 1
neither 1
never 4
new 3
night 3
nightclub 1
nihilistic 1
nina 2
no 10
normal 1
northern 2
not 4
notable 1
notably 2
notes 1
noting 3
novel 2
now 1
of 35
off 6
offer 1
offers 1
officer 1
old 1
on 20
ones 1
only 5
oot 1
open 1
openly 1
opium 2
optimistic 1
optimistically 1
or 1
orangemen 1
order 3
ordinary 1
other 3
others 4
out 7
over 2
overdrive 1
own 3
owner 1
page 1
pair 2
paranoia 1
parents 3
particular 1
particularly 2
party 8
partying 1
pass 2
passage 2
past 1
peasbo 1
penis 1
people 2
person 10
phone 1
photos 2
pick 2
picking 1
piece 1
pills 1
pity 1
place 2
pleas 1
pogues 1
poison 1
police 1
pop 2
porno 2
port 1
pot 1
power 1
prank 1
prefer 1
pregnant 1
present 2
presumably 3
pretending 1
pretends 1
previous 1
prior 1
prison 1
prize 3
probably 1
problem 1
problems 2
proceeds 2
professionals 1
programme 1
prompting 1
provide 1
provided 1
proving 1
psychiatrists 1
psychic 1
psychologists 1
psychology 1
pub 12
public 3
puddle 1
pulled 1
punching 1
punctuated 1
put 1
quickly 1
quite 1
rab 1
racism 1
railway 1
rambles 1
random 1
rant 1
raped 2
rather 1
raymie 1
reaction 1
reacts 1
reader 2
realise 1
realises 1
realising 1
really 1
recalls 1
receive 1
recent 1
recognises 1
recommended 1
recounts 2
recover 1
recreated 2
recruitment 1
reduced 1
refers 1
reflect 2
reflects 3
rehabilitation 1
rekindle 1
relapses 1
relationship 1
relationships 1
relative 1
relatives 1
reluctantly 1
removed 1
renton 67
rents 1
repeatedly 1
require 1
resists 1
resolves 1
respond 1
rest 1
restaurant 1
restless 1
returning 1
returns 2
reunite 1
reveal 1
revealed 2
reveals 1
revenge 2
rifle 1
right 1
ripped 1
rites 1
robbery 1
room 1
round 1
runs 1
sadly 1
said 2
same 2
savagely 1
say 1
saying 4
says 1
scene 3
scotland 2
scottish 2
sea 2
searching 1
second 3
security 1
see 3
seeing 1
seeming 1
seen 1
selfglorifying 1
semen 1
send 1
sentence 2
sequel 1
session 1
set 1
sets 1
setting 1
several 2
sex 2
shag 1
she 8
sheets 2
shitty 1
shocked 1
shoots 1
short 4
shortly 1
shortterm 1
shot 3
should 2
shouldnt 1
show 1
showing 1
shows 1
sick 13
silly 1
simon 4
simonsick 1
simply 1
since 2
site 1
situation 2
sixyearold 1
skag 2
skinhead 1
skinheads 1
sleep 2
sleeping 2
sleeps 1
slogans 1
small 1
smiles 1
smiths 1
so 1
sobbing 2
social 1
solace 1
soldier 2
some 7
someone 2
something 1
son 1
song 1
soon 1
sounds 1
speed 1
speedy 1
spends 1
splitting 1
spud 27
squirrel 1
squirrels 1
stand 1
staring 1
starts 2
states 3
stating 3
station 5
staying 1
stealing 2
stevie 2
stop 2
stopped 1
story 3
straight 1
stranded 1
street 1
stresses 1
stroll 1
strolling 1
such 2
suffer 1
suffered 1
sunday 1
sunshine 1
superior 2
supports 1
suppositories 1
sure 1
surprise 1
surrounded 1
suspects 1
suspended 1
swan 1
swann 3
symptoms 1
tae 2
take 5
taken 1
takes 5
tears 1
tedium 1
teenager 2
television 1
tells 4
terrier 1
than 3
that 32
the 137
theatre 1
their 13
them 6
theme 1
then 7
there 6
they 14
theyve 1
things 2
thinking 1
thinks 4
third 9
this 6
those 1
though 2
thoughts 1
threw 1
through 1
throws 1
tie 1
time 1
times 1
title 2
to 96
together 1
toilet 2
toilets 1
tommy 10
topicality 1
towards 1
toxoplasmosis 1
traditional 1
tragedy 2
train 2
trainspotting 1
treatment 1
trees 1
tries 1
triviality 1
trouble 1
true 1
truth 1
try 2
tugging 1
two 1
uit 1
unable 3
unaware 1
unbound 1
uncle 2
uncomfortable 1
understand 1
unemployed 1
unfortunate 1
union 1
unionism 1
unionist 1
unknown 1
unnverving 1
unpleasant 1
unrelenting 1
unresponsive 1
unsure 1
unsurprised 1
until 1
up 20
upon 2
upperclass 1
upset 1
urine 1
us 1
use 3
used 1
users 1
using 5
van 2
varied 1
various 1
vehemently 1
veins 1
veneer 1
venture 1
version 1
victory 1
videos 1
violent 1
violently 2
visit 2
visited 1
visits 2
vomit 1
waiting 2
waitress 1
wakes 1
wanted 1
wantin 1
wants 3
war 1
was 5
wash 1
watch 2
watching 2
way 1
well 2
went 1
were 1
west 1
what 4
when 12
where 8
which 8
while 7
white 1
who 16
whoever 1
whole 1
whom 4
whose 2
why 1
wife 1
will 7
winter 1
with 26
withdrawal 3
without 3
woken 1
woman 2
women 2
wondering 1
words 1
workers 1
working 1
works 1
world 2
worse 2
worst 1
would 1
wouldbe 1
wrong 1
ye 1
year 1
years 1
yet 1
you 2
younger 2
yourself 1
zealand 1
