1367900
/m/04x59p
/m/04x59p
Rob Grant
is 17
isnt 1
it 5
jet 2
jets 4
jettisoning 2
jump 1
just 2
kill 1
killed 3
killing 2
knifethrowing 1
knowledge 1
kryten 18
landed 1
landing 8
larado 1
last 1
lawman 1
leap 1
learn 2
learning 2
learns 1
leave 2
leaves 1
leaving 1
left 1
lengthy 1
less 1
life 5
lifespan 1
light 1
lister 17
locked 1
losing 1
low 1
machine 4
made 1
man 3
materialising 1
may 1
means 1
meant 1
meanwhile 2
mechanical 1
meet 1
memory 3
mess 1
might 1
misidentified 1
missed 1
missile 1
missing 3
more 1
most 2
mountain 2
much 1
murder 2
nature 1
navicomp 1
nearby 2
need 1
neurotic 1
no 2
not 4
notices 1
novel 1
now 1
of 28
off 1
officers 1
old 1
on 8
once 1
one 6
oneman 1
only 5
operational 1
opportunity 2
option 1
options 1
or 2
order 2
other 1
others 2
out 1
over 2
overwhelmed 2
own 3
oxygen 1
oxygeneration 1
pain 1
panics 1
parallel 1
parts 1
pass 1
pecial 1
perform 1
performed 1
personas 1
physical 1
physically 1
pickaxe 2
pilot 1
pizzakrapp 2
plan 1
planet 2
playing 1
point 1
police 1
policeman 2
poor 1
possible 1
potentially 1
power 2
preparing 1
prevent 1
previous 1
prison 1
procedure 1
process 3
program 1
programmed 1
programming 1
promptly 1
provided 1
pursuit 1
realises 2
realising 1
reality 2
reattach 1
reburying 1
recent 1
red 9
reducing 1
reflects 1
regardless 2
remainder 1
remaining 2
remains 2
remind 1
removes 1
removing 1
rendezvous 2
repair 1
repaired 2
repairing 1
repairs 3
replays 1
replica 1
represented 1
representing 2
required 1
rescue 1
responsible 2
restores 1
result 1
retreat 1
return 1
returned 1
returning 1
reverse 6
reversing 1
rig 1
right 1
rimmer 8
ripping 1
running 3
rust 1
rusted 1
sacrifices 1
same 1
scraping 1
sealing 1
searching 2
send 1
sending 1
sentence 1
serious 1
several 2
severely 2
sexual 1
sheriff 2
ship 9
ships 1
shooting 1
shuts 1
simulated 1
since 2
situation 1
skills 3
so 3
soon 1
space 3
spare 1
spared 1
spoke 1
spreads 1
starbug 9
still 3
streets 1
stupid 1
subject 1
succeeds 1
sucks 1
sufficient 1
supplies 1
supply 1
swiftly 1
system 1
take 2
takeoff 1
takes 2
tar 1
technical 1
television 1
telling 1
ten 1
terrible 2
test 1
than 3
that 13
the 124
their 9
them 9
themselves 5
then 2
there 1
they 16
this 4
threat 2
threatened 1
through 1
time 11
timeline 2
timereversed 1
to 68
too 1
torture 3
towards 1
town 2
trace 1
trapped 1
tricked 1
tries 1
trust 1
unable 3
unaffected 1
unarrest 1
underpowered 1
underside 1
understand 1
unfortunately 1
unharmed 1
uninhabited 1
unit 1
universe 4
unknown 1
unmurdered 1
unrepairing 1
unresponsive 1
unsees 1
unspotted 1
unstruck 1
until 1
up 2
upon 1
vapourised 1
various 1
version 1
virgin 1
virus 8
vr 5
vulnerable 1
wait 2
wars 1
was 5
watch 1
were 1
western 2
what 2
when 3
where 3
which 7
while 4
who 6
wildfire 1
will 2
window 2
with 18
without 1
work 1
working 1
worse 1
would 1
wyatt 2
years 3
yet 1
