8543448
/m/02778kn
/m/02778kn
Tracy Hickman
oozing 1
or 2
orders 2
orla 2
other 3
out 5
over 1
overhear 2
own 1
parents 3
partially 3
particular 1
particularly 1
passes 1
patryn 3
patryns 2
peace 1
peacefully 1
people 2
peoples 1
performed 1
permanently 1
personal 1
picks 1
plan 5
planned 1
planning 1
ply 1
population 1
populations 1
possible 1
power 1
presence 2
prisoner 1
private 1
pseudonym 1
punishment 2
put 1
quickly 2
rather 1
ready 1
reason 2
reasons 1
reassembling 1
reawakened 1
red 1
refuse 1
refuses 2
refusing 2
reluctantly 1
remain 1
remaining 1
replaced 1
required 1
rescue 1
respect 1
respectively 1
responded 1
returned 2
returns 2
reveal 1
revealed 1
rising 1
room 1
royal 5
ruler 1
runemagic 1
runes 1
rushes 1
sabia 5
sailing 1
samah 11
sartan 12
sartans 3
save 1
saw 1
say 1
scattered 1
sea 1
seamoon 1
seamoons 1
search 1
seasun 1
seawater 5
second 2
secrets 1
see 2
sends 1
sense 1
sent 1
sentenced 1
series 1
serpents 3
servants 1
settles 1
sevenmdash 1
seventh 1
several 1
she 1
ship 4
sidesmdash 1
slaughtered 1
slays 1
sleep 1
slowly 1
so 2
some 3
someone 1
something 2
space 1
speaking 1
spewing 1
spot 1
staggering 1
stasis 3
state 1
steering 1
stone 1
stop 1
strangers 1
stripped 1
stumbled 1
stumbles 1
submarine 1
submarines 1
submersible 2
such 1
sunchasers 2
sundering 1
surprise 1
surrendered 1
swear 1
take 1
target 1
tattoos 1
teleports 1
temporarily 1
than 1
that 12
the 91
their 9
them 10
then 2
there 2
these 1
they 15
thin 1
third 1
thirsty 1
this 5
those 2
though 5
thousands 1
threat 1
three 1
through 3
throughout 1
time 3
times 1
tired 1
to 60
total 1
totally 1
transform 1
treat 1
tries 1
truth 1
turn 1
two 1
unable 1
unconscionable 1
unconscious 1
unlike 1
up 6
upon 1
urges 1
use 1
using 2
very 1
vicious 1
vitriol 1
wake 1
wants 1
was 1
water 1
watery 1
way 1
wellbeing 1
were 2
wet 1
what 5
when 7
where 2
whereupon 1
which 5
while 1
whispering 1
whispers 1
who 7
whom 1
whose 1
wife 1
will 2
willful 1
wins 1
wish 1
with 25
woke 1
won 1
wont 1
world 4
worlds 3
would 4
wreckage 1
xar 5
years 1
you 2
