3416057
/m/09b9zw
/m/09b9zw
Dee Henderson
gunpoint 1
had 6
handbag 1
handle 2
hands 2
happened 1
hardcore 1
has 10
he 34
head 3
held 1
help 3
her 4
hidden 1
high 1
highranking 1
him 14
himself 2
hired 1
hires 1
his 19
holed 1
home 1
hospital 1
hostage 1
house 3
however 1
hubert 1
hundred 1
identified 2
identifies 2
if 1
impersonating 1
in 32
inspire 1
intercept 1
intercepted 1
interested 1
international 1
interrogations 1
into 3
invade 1
invested 1
investigations 1
investments 1
iran 1
irving 2
is 24
islamic 1
it 8
jamboree 1
jan 1
jeopardize 1
john 1
joined 1
kgb 1
kidnap 1
kidnapped 2
kidnapper 1
kidnappers 5
kidnapping 1
kill 1
killed 5
killers 1
killing 1
kirpicenko 2
knowing 1
knows 1
koslov 1
lack 1
late 1
later 1
leader 1
leads 1
learns 1
let 1
letter 2
london 4
lookout 1
lover 1
made 1
mail 1
makes 1
man 3
manhunt 1
manufacturers 1
manufactures 1
marchais 2
marriage 1
massacre 1
massive 1
maverick 1
mccrea 4
meanwhile 2
meet 1
meeting 2
meets 1
melvyn 1
members 2
memorial 1
mentions 1
mercenaries 1
mercenary 2
met 1
michael 1
middle 2
mikhail 1
miller 6
million 4
mimicking 1
miniature 1
minidet 2
mission 1
moss 12
most 1
moved 1
must 2
named 1
nantucket 4
narrowly 1
near 1
negotiation 1
negotiations 1
negotiator 1
netherlands 1
news 1
newspaper 1
next 1
not 3
number 1
observing 1
odell 3
of 26
off 4
offers 1
officer 1
oil 6
old 1
on 6
one 3
only 3
opposed 1
opposes 1
or 1
orders 1
orsini 3
ousted 1
out 7
outside 1
over 3
own 1
oxford 1
paid 1
panics 1
paraplegic 1
paris 1
partner 1
paul 1
payable 1
paying 1
payment 1
permanently 1
phones 1
photos 1
place 2
plan 3
plans 2
points 1
police 6
politician 1
possibility 1
postmortem 1
power 2
prepared 1
president 9
pretorius 2
prince 1
prison 1
programme 1
proposal 1
protg 1
publicly 1
punch 1
puppet 1
pushed 1
puts 1
quinn 36
raid 1
ransom 4
rapetorture 1
reach 1
read 1
reads 3
real 1
really 1
recently 1
reduction 1
redundant 1
reed 2
refuses 1
released 2
remote 1
removed 1
renting 1
replaced 1
report 6
resign 1
responded 1
restore 1
retired 1
retirement 1
return 2
returning 1
returns 1
reveals 1
road 1
robert 1
royal 2
ruin 1
ruined 1
ruling 1
runs 1
russian 3
russians 1
sadist 1
safe 2
sam 14
saudi 2
scanlon 3
score 1
searching 1
secluded 1
secretary 2
secretly 1
secure 1
selfdefense 1
sending 1
sends 2
senior 1
sent 2
separately 1
set 3
settle 1
several 1
sex 1
shipping 1
shoot 1
shooting 1
shoots 2
shows 2
similarly 1
simon 9
single 1
six 1
smell 1
smuggler 1
snow 1
so 1
some 1
somerville 1
son 4
soon 2
south 1
southern 1
soviet 5
space 1
spain 3
special 1
speech 1
spending 1
spooks 1
spying 1
start 1
states 2
stayed 1
steal 1
studying 1
successful 1
suicide 1
supplies 2
supported 1
surviving 1
swiss 1
take 2
taken 2
takes 2
tapped 1
teams 1
telephone 1
telling 1
tells 6
terms 1
texan 1
that 15
the 103
them 3
then 4
there 1
therefore 1
they 3
thinks 1
three 2
thus 1
time 1
to 58
top 1
torture 1
touch 1
towards 1
travel 1
travels 1
treasury 2
treaty 7
trip 1
troops 1
trouble 1
trust 1
trustees 1
turns 4
two 1
tycoon 2
under 2
unexpected 1
unforeseen 1
united 2
university 1
up 5
us 1
usual 1
v 1
vermont 1
very 1
veterans 1
via 2
vicepresident 1
vietnam 3
voice 1
wants 1
war 1
warns 1
was 9
washington 2
way 1
weeks 1
weintraub 3
were 1
westernized 1
what 1
when 2
where 4
which 4
while 2
white 2
who 17
why 1
wilderness 1
will 2
wishes 1
with 16
wont 1
working 1
world 3
writing 1
written 1
year 1
yielded 1
zack 4
