10214293
/m/02q5d_l
/m/02q5d_l
Samuel Beckett
since 1
sit 1
sitting 1
slocum 4
slocums 1
small 2
smell 1
sniggering 1
so 5
some 4
something 2
sooner 1
sounds 1
speechless 1
spurs 1
stage 1
stairs 3
start 1
starts 2
state 1
station 6
stationmaster 1
steps 1
stick 1
still 3
stop 1
stopped 1
stops 1
story 1
stydung 1
subject 1
suddenly 1
sundays 1
supposed 1
surprise 1
suspicious 1
take 1
taken 1
tale 1
talking 1
taxi 1
technology 1
tells 3
tempest 1
text 1
than 4
that 21
the 125
their 2
them 7
then 3
there 4
these 1
they 11
thing 2
third 1
this 10
those 1
thought 1
thoughts 1
three 2
threw 1
throw 1
tie 1
tightfisted 1
time 2
tire 1
titanic 1
to 68
together 1
told 1
tommy 2
too 2
towards 1
track 1
train 8
trains 1
transport 3
trek 1
tries 2
trouble 2
trudging 1
twins 1
tyler 3
tylers 1
tyre 1
unable 1
under 1
unending 1
until 1
unusually 1
up 7
upholdeth 1
upon 1
van 1
visit 1
volubly 1
walk 1
walking 1
want 1
was 10
washed 1
way 1
we 6
weather 3
well 2
were 1
what 4
wheels 1
when 6
where 1
whether 1
which 6
while 1
whilst 1
whip 1
whipped 1
white 1
whitelaw 2
who 7
why 2
wife 4
will 2
willie 2
wind 3
winnie 2
wish 1
with 19
within 1
without 1
woes 1
woman 2
wonder 1
work 1
world 1
worse 1
worsen 1
worsening 1
worthy 1
would 1
years 1
you 1
young 1
yours 1
