3433040
/m/09c55p
/m/09c55p
Charles Dickens
light 1
likely 1
little 4
lives 1
locked 1
london 2
long 6
longlost 1
look 1
looking 1
looks 1
lorry 9
loss 2
love 3
lucie 17
lucie34 2
lucie3s 1
luciealong 1
lying 1
madame 10
made 1
maiden 1
making 2
man 4
manette 19
manette3s 3
many 1
marquis 10
marriage 1
married 1
marries 1
marry 1
me 1
meanwhile 1
meet 3
meets 1
member 1
men 3
mercifully 1
might 1
migr 1
mine 1
miss 7
mistakes 1
monsieur 4
months 2
more 3
morning 2
mother 2
mourn 1
mourning 1
mr 5
much 1
my 7
name 9
named 1
natural 1
neither 1
nephew 1
new 2
next 1
night 2
nine 1
no 3
noise 1
north 2
not 10
note 1
notices 1
novel 2
now 1
obedient 1
observed 1
obsessed 1
obsessive 2
of 49
off 2
office 1
old 5
on 11
once 2
one 3
only 4
operate 1
opportunist 1
oppressors 1
or 2
other 3
other34 1
other3s 1
otherwise 1
out 6
overhears 1
own 2
paper 1
papers 1
paragraph 1
paris 7
pass 1
passes 1
passing 1
path 1
peace 2
peaceful 1
peasant 4
peasantry 1
peasants 1
people 1
perennial 1
perishing 1
permanently 1
permission 1
personality 1
philosophy 1
pistol 2
place 2
placethen 1
plans 1
plot 1
poisoning 1
present 2
pretend 1
prevent 1
previous 1
prison 4
probably 1
promise 1
promises 1
prophetic 1
prosperous 1
pross 8
protests 1
psychosis 1
put 1
quick 1
quiet 1
race34 1
raise 1
ranks 1
raped 2
reader 1
reads 1
real 2
realised 1
realises 1
recalling 1
recognise 2
recognised 1
refer 1
relapse 1
released 1
report 1
represent 1
repression 1
republic 1
residence 1
rest 2
restored 2
restores 1
retributive 1
return 1
returns 2
reveal 1
revealed 1
reveals 2
reverted 1
reverts 1
revolutionaries 1
revolutionary 1
reward 1
rich 1
riding 1
risen 1
rising 1
roger 1
roof 1
run 1
sacred 1
sacrifice 3
saint 1
same 2
sanctuary 1
sanity 1
savaged 1
save 2
saying 2
scene 1
seamstress 1
search 1
searching 1
second 1
secret 1
see 17
seems 1
seen 1
seldom 1
sent 1
sentenced 1
servant 2
shadows 1
shall 2
shattered 1
she 6
shed 1
sheltered34 1
shock 1
shoemaking 3
shoes 1
shop 3
shortly 1
shot 1
shuts 1
side 2
since 1
single 1
sister 3
sky 1
slavery 1
sleep 1
sleeve 1
so 6
solomon 4
solomon3s 1
son 4
soon 2
sort 1
soul 1
souls 1
speaks 2
special 1
spending 1
spies 2
st 2
stabs 1
statement 2
stay 1
steps 1
storming 1
story 1
strand 1
strong 1
struggle 2
struggles 1
stryver 1
suburb 1
such 1
suddenly 1
suits 1
surely 1
surname 1
surviving 1
sydney 3
sympathy 2
take 2
takes 2
talking 1
tell 2
telling 1
ten 1
tender 1
than 3
that 26
the 116
their 16
them 4
then 3
there 2
they 6
thing 1
things 1
this 14
those 1
though 2
thoughts 1
threatens 1
three 2
threw 1
through 3
thrown 2
throws 1
time 6
to 75
told 1
tomb 1
tools 1
tower34 1
trace 1
trade 1
tranquilly 1
travel 1
treason 2
trial 4
tribunal 1
tried 2
triumphs 1
troops 1
trouble 1
truly 1
truth 1
try 1
trying 2
tumbril 1
two 2
unable 1
uncle 4
unconscious 1
under 1
underside 1
understand 1
understands 1
unhinges 1
unjustly 1
unknown 1
unselfish 1
unspoken 1
until 2
up 2
upon 6
urges 1
use 2
used 1
useful 1
vengeance 1
version 1
village3s 1
visits 2
voice 1
waiting 1
wanders 1
want 1
was 11
water 1
way 2
we 1
wearing 1
wed 1
weeping 1
well 2
were 1
what 2
wheel 1
when 5
where 2
which 11
while 2
whip 1
who 20
whole 1
whom 2
why 1
widow 1
will 4
wine 3
winning 2
with 17
withhold 1
within 1
witness 2
woman 1
words 1
working 1
would 2
year 1
years 2
years3 1
you 1
you34 1
younger 1
