23454753
/m/0lz9s
/m/0lz9s
George Orwell
only 2
onto 1
opens 1
operation 1
opinions 1
or 2
ordeal 1
organisation 1
original 1
orphanage 1
orthodox 1
other 4
out 4
outer 2
outside 1
over 2
overthrown 1
own 1
paper 1
parents 2
park 1
part 1
particularly 1
party 17
past 3
peace 1
people 1
perception 2
perhaps 1
permit 1
perpetual 1
perpetually 1
person 2
photographs 1
placed 1
point 1
police 7
political 3
popular 2
portrait 1
postworld 1
power 2
practice 1
presents 1
pretend 1
pretext 1
previous 1
primal 1
prisoner 1
privacy 1
proles 1
proletarian 1
prolonged 1
province 1
psychologically 1
public 2
publicly 1
puritanical 1
put 1
quandary 1
quarters 1
quick 1
quite 1
rats 3
raucous 1
reach 1
reading 1
reads 1
ready 1
reality 2
realizes 2
really 1
rebellion 1
records 1
recurs 1
reeducation 3
regimen 1
reintegrated 1
reintegration 1
relinquishing 1
remain 1
remained 1
rendering 1
rented 3
repairs 1
replies 1
resides 1
responsible 1
restored 2
returns 1
reveals 2
reviled 1
revisionism 2
revolution 1
rewrites 1
rgime 2
romance 1
room 5
root 1
rotting 1
ruined 1
ruins 1
rushes 1
safe 1
said 5
same 3
save 1
saving 1
say 1
screaming 1
second 1
secret 2
see 1
seeing 1
seem 1
seen 1
selfwilled 1
sends 1
servant 1
session 1
she 4
shop 2
shortly 1
should 1
shouts 1
showing 1
sight 1
similar 1
since 1
sister 1
sits 1
skin 1
slavery 1
slogans 1
smith 9
so 1
soandso 1
society 1
sold 2
some 3
somebody 1
somehow 1
something 3
sometimes 1
song 2
spreading 1
spy 2
stage 3
stages 1
stand 1
state 1
still 1
stop 1
stopped 1
story 1
strength 1
subsequent 1
subsistence 1
success 1
such 1
suddenly 1
suffer 1
superstates 1
supporters 1
surreptitiously 1
suspected 2
synthetic 1
systematic 1
telescreen 2
telescreens 1
tended 1
than 1
that 18
the 100
their 3
them 5
themselves 1
then 2
theory 1
there 6
these 1
they 3
think 3
thinkpol 1
this 2
thought 8
thoughtcrime 2
thoughtcriminal 1
thoughtcriminals 2
thoughts 1
threaten 1
three 2
through 1
throughout 1
thus 3
time 2
to 31
too 1
torture 2
tortures 2
toward 2
towards 1
training 1
tree 2
trick 1
tries 2
troubled 1
true 3
turns 2
type 1
uncovered 1
under 1
understand 1
understanding 1
unknown 1
unobserved 1
unpersons 1
unsolvable 1
up 4
upon 4
used 1
vanishes 1
version 1
via 1
victory 2
victorybrand 1
want 2
war 5
warrant 1
was 5
washed 1
way 2
well 1
were 1
what 1
whatever 2
when 4
where 2
which 4
while 1
who 6
whose 1
will 2
winston 25
winston3s 1
winstons 1
wire 1
with 4
within 1
woman 3
women 1
woods 1
world 2
worst 1
would 2
writing 1
year 1
you 18
young 2
your 1
youre 1
yourself 4
