90022
/m/0mdk9
/m/0mdk9
Pat Barker
loyalty 1
lumb 1
madge 2
magazine 1
make 1
makes 1
man 5
manages 1
many 1
marriage 1
massslaughter 1
may 4
medical 3
meditating 1
meet 2
meeting 1
meets 7
memories 2
men 3
mental 1
mentor 1
mere 1
method 1
military 2
minor 1
minute 1
months 1
more 1
most 1
mostly 1
mother 1
munitions 2
mutism 1
mutual 1
nancy 1
national 1
neutral 1
new 2
news 1
night 1
no 1
not 14
notepad 1
notes 1
notices 1
novel 4
now 3
objection 1
objects 1
of 45
off 1
offers 2
officer 1
official 1
old 1
older 1
on 12
one 4
only 2
open 1
opening 1
opinion 1
or 2
ordered 1
orientation 1
other 1
others 1
out 1
outside 3
overcome 1
owen 9
owens 1
own 2
pain 1
paralysis 1
parents 1
part 2
particularly 1
parts 1
patient 3
patients 4
people 1
permanent 1
persuade 1
peter 2
physical 1
place 1
platoon 1
play 1
pleased 1
poems 2
poet 2
poetry 4
position 1
prevent 1
prior 17
priors 1
prospect 1
prostitution 1
protest 1
psychiatrist 1
psychosomatic 1
publicly 1
publish 1
punishment 1
purposely 1
question 2
quickly 1
rare 1
reaction 1
reading 1
reaffirms 1
realises 1
realizes 1
recalls 1
recover 1
refuses 1
regains 1
regeneration 1
relate 1
relationship 1
released 1
reliable 1
religious 1
reluctant 1
remain 2
remains 1
remember 1
reminds 1
repeating 1
replies 1
resurrects 1
return 7
returns 1
review 2
right 1
rivers 40
robert 1
room 1
rotting 1
rumour 1
ruptured 1
ruth 1
sacrificed 1
sacrificing 1
safe 1
same 1
sarah 11
sassoon 44
sassoons 5
saying 1
scene 1
scolds 1
seaside 2
section 1
see 1
seen 1
send 1
sent 6
service 1
serving 2
severe 1
sex 3
sexual 2
shares 1
she 2
sheer 2
shellshock 1
shellshocked 2
shelter 1
sheltering 1
shocked 1
shot 1
should 4
show 1
siegfried 1
sight 1
sign 1
since 2
so 3
society 1
soldier 2
soldiers 10
some 4
something 1
somme 1
son 2
sounds 1
spend 1
spends 1
spine 1
staff 1
stand 1
stands 1
states 2
still 2
stomach 1
stop 1
storm 2
story 1
stresses 1
strong 1
struggles 1
such 2
suffer 2
suffering 3
suffers 1
suffolk 1
suggests 2
surgeon 1
surprised 1
suspect 1
take 4
taken 1
taking 1
talk 5
talks 1
tells 4
tent 1
tenth 1
terrible 1
than 1
that 37
the 89
their 7
then 2
theorizes 1
therapy 2
there 7
therefore 1
these 1
they 6
thinks 1
this 5
though 1
three 1
through 1
thrown 1
thunderstorm 1
tide 1
time 2
tires 1
to 85
together 3
top 1
topic 1
towards 2
town 2
train 2
trauma 1
travels 1
treatment 2
trench 1
troubles 1
true 1
try 1
tunnel 1
turn 1
two 3
unable 1
uncomfortable 1
under 1
understand 1
unease 1
uneasy 1
unfriendly 1
unsure 2
up 4
use 1
uses 1
various 1
vastly 1
views 3
visit 2
visited 1
visits 2
voice 1
vomit 1
waiting 1
walk 1
walking 1
walks 3
want 5
wanting 1
war 15
warfare 1
warns 1
wartime 1
was 3
weeks 2
well 1
were 1
what 2
when 7
whenever 1
where 1
whether 2
which 6
while 4
who 8
whose 1
whr 1
why 2
wife 1
wilfred 1
wilful 1
will 8
willard 4
wish 1
with 23
without 1
woman 1
word 1
work 4
worker 1
workingclass 1
worried 1
worries 1
worship 1
would 4
wounded 1
writes 1
writing 1
wrong 1
yealland 3
young 1
younger 2
youth 1
