4616808
/m/0ccw7n
/m/0ccw7n
Tracy Hickman
insane 1
inside 2
insulted 1
intermittent 1
into 5
ironfield 2
is 27
island 1
isle 1
it 5
kagonesti 3
kharas 2
killed 2
king 1
kitiara 6
knight 3
knights 15
knock 1
knows 1
land 1
landfall 1
landlocked 1
lands 1
large 1
laurana 16
leading 3
learn 1
leave 1
led 4
legendary 2
lies 1
little 1
located 1
lorac 1
lord 4
love 1
low 2
lowranking 1
lure 1
lures 2
made 1
magic 1
magical 1
magician 1
mainland 1
major 1
make 1
making 1
manages 1
manifested 1
manipulating 1
markenin 3
masters 1
meanwhile 2
meet 2
members 1
men 1
money 1
morale 1
most 2
mountains 1
named 1
narrow 1
nations 2
native 2
near 1
nearly 1
necessary 1
new 3
newlyforged 1
news 1
next 1
nightmare 1
nonelves 1
not 3
novel 2
now 1
obey 1
obtained 1
occupying 2
of 58
off 1
officer 1
officers 1
on 14
one 1
only 2
onto 1
or 1
orb 15
orbs 1
order 4
orders 2
other 1
out 3
outnumbered 1
over 1
overrun 1
overwhelming 1
own 1
palanthas 2
party 5
pass 1
pax 2
people 1
permanent 1
permit 1
personally 1
pleding 1
port 2
portion 1
pose 1
power 2
present 2
presenting 1
presumed 1
prevent 1
primary 1
princess 1
promptly 1
protect 1
provide 1
publically 1
pursued 1
pursuing 1
qualimori 2
qualinesti 6
quarters 1
quickly 1
raistlin 6
ramshackle 1
rank 1
ranking 1
ranks 1
ravaged 1
reach 1
reached 1
reality 2
realizes 1
realizing 1
recesses 1
recovered 1
refuge 1
refugee 1
refugees 6
refuses 2
remaining 2
repulsed 1
rescued 2
rest 3
resume 1
retrieve 1
return 1
returned 1
reunion 1
reveals 1
rich 1
risen 1
rival 1
rivals 1
riverwind 1
romantic 1
route 1
ruled 1
sailing 1
sake 1
sancrist 4
sea 1
second 1
secret 1
seize 1
sent 2
shattering 1
shatters 1
she 2
shipwrecked 1
shooting 2
short 1
show 1
side 1
silenced 1
silvanesti 9
silvanost 1
silvara 4
silver 1
situation 1
slaughtered 1
slay 2
sleet 2
slipping 1
small 1
snubbed 1
so 1
solamnia 4
solamnic 1
some 1
south 2
southern 2
split 3
stall 1
star 1
starbreeze 3
stars 1
start 1
starts 1
stating 1
stay 1
staying 1
steal 2
still 3
stop 1
streets 2
stunned 2
sturm 21
successfully 1
suddenly 1
suicide 1
supplies 3
support 1
supposed 1
surprisingly 1
survive 1
survivors 1
sword 1
taking 1
tanis 11
tarsis 2
tas 4
tasslehoff 1
taunt 1
temporarily 1
temporary 1
tension 1
tensions 1
terms 1
testify 1
tharkas 2
that 11
the 191
their 5
them 6
themselves 2
then 4
there 1
theros 2
they 8
third 1
this 4
thorbardin 2
threaten 1
three 1
thriving 1
throwing 1
thus 1
tide 1
tika 1
time 2
to 51
together 1
tomb 1
towards 1
tower 14
town 2
traps 1
travel 1
traveling 1
travelling 1
travels 1
try 1
turned 1
turning 1
two 5
unconscious 1
under 1
undue 1
unless 1
unusual 1
up 2
upon 2
use 3
using 2
uth 1
utter 1
verminaard 1
victory 2
vindication 1
visions 1
wanders 1
war 1
warhammer 1
was 1
well 1
wheels 1
when 3
where 3
which 4
while 3
whilst 1
white 2
whitestone 3
who 5
whose 1
wielded 1
wild 2
will 5
wing 1
wistan 1
with 15
within 2
wizard 1
woman 1
working 1
yet 1
