20359864
/m/04_10h4
/m/04_10h4
Darren Shan
grave 1
great 1
group 1
grubbs 34
grubs 1
had 1
happen 1
happens 2
has 16
have 7
having 3
he 15
heart 1
heavens 1
help 2
her 5
herself 2
him 11
his 10
history 1
hold 2
home 2
hope 1
how 2
however 3
human 3
humans 3
humorous 1
hundred 1
idea 1
if 4
imminent 1
in 27
including 1
increases 1
indeed 1
inform 1
informs 1
inside 1
inspired 1
instantly 1
instead 3
intervene 1
into 8
is 31
it 19
its 1
itself 1
job 1
just 3
kahgash 9
kahgashs 1
kernel 20
kill 3
killed 1
kills 3
kilometres 1
kingdom 1
kirilli 4
know 2
knows 1
kooniart 1
kovacs 1
last 3
leave 5
leaving 1
led 1
lesser 1
let 2
letting 1
life 1
light 2
lights 1
like 1
live 2
location 1
locations 1
lodestone 3
lodestones 2
lord 17
lose 1
loss 17
made 2
make 3
makes 2
making 2
managed 1
manages 1
manipulate 1
mansion 1
many 5
master 3
masters 4
means 2
meet 2
melted 1
memories 1
memorised 1
memory 1
met 1
might 1
mind 2
moment 1
month 1
more 3
moses 1
most 2
mouth 1
moves 1
much 3
narrowly 1
necessary 1
never 1
new 3
next 1
night 1
no 1
normal 1
not 9
noted 1
nothing 2
novel 1
now 7
nuclear 1
of 42
old 12
on 6
one 4
ones 2
only 5
open 4
opened 1
opening 2
opens 2
opportunity 1
or 1
original 3
other 2
others 4
our 2
out 3
over 2
painful 1
pair 1
parents 2
part 2
parts 2
past 1
personally 1
persuades 1
pieces 2
place 4
plan 3
poem 1
point 1
potential 1
pour 1
pouring 1
power 6
prepare 1
prevent 1
prisoners 1
prisonersone 1
process 2
protect 2
quickly 1
quite 1
quote 1
random 1
rather 1
raz 3
razthe 1
read 1
realise 1
realises 3
realm 2
reappear 1
reason 1
reawaken 1
rebuild 2
recall 1
recreate 1
recreated 1
recurring 1
reenact 1
reflections 1
reflects 1
reform 1
regains 1
releases 1
reopen 1
repeat 1
repeated 1
request 1
resign 1
restart 1
restored 2
result 1
retain 2
return 1
reunite 1
revealed 1
revealing 1
reveals 3
rip 1
rooms 1
rule 1
safe 1
said 1
save 1
saying 1
says 1
sayscoolio 1
scene 1
sea 1
seal 1
see 1
seems 2
sees 2
series 3
set 1
shan 1
shares 1
shark 4
she 14
should 4
shout 1
show 1
shows 1
shreds 1
sign 1
similar 1
since 2
sister 1
sixth 1
sixty 1
slaughtered 1
slawter 1
slightly 2
slot 1
slow 1
slowly 1
small 1
smashes 1
so 7
soldiers 1
some 1
souls 2
spare 1
sparing 1
spend 1
split 2
spurs 1
square 1
stage 1
starting 1
starts 2
stated 1
states 1
stays 1
steps 2
stone 1
stop 2
stopped 1
stops 1
story 1
stride 1
stronger 3
such 1
sucked 1
suggests 1
sure 2
surprise 2
suspicious 1
sways 1
take 1
takes 1
taking 1
talking 1
team 3
teenagers 1
tells 2
than 1
that 51
the 167
their 8
them 14
themselves 1
then 12
there 6
therefore 3
therein 1
they 47
thinking 1
this 13
those 1
though 1
thought 1
thousands 1
threaten 1
three 4
through 8
timas 3
time 5
times 1
to 80
together 3
top 1
torture 1
trapped 1
travel 1
trigger 1
trio 1
try 3
trying 1
tunnel 15
tunnels 2
turf 1
tweaks 1
uncle 2
undo 1
universe 13
universes 3
up 1
use 1
used 1
uses 1
using 1
vale 1
vigor 1
waiting 2
walk 1
wall 1
wanted 1
wants 3
was 10
watch 1
wave 2
way 2
we 1
weapon 2
weird 1
well 1
were 1
werewolves 2
what 1
whatever 1
when 9
where 5
which 2
while 3
white 1
who 5
whole 1
whose 2
wild 1
will 9
window 6
winks 1
wishes 1
with 11
without 1
work 1
working 1
world 8
worn 1
worth 1
would 4
wounded 1
wrote 1
zones 4
