3088913
/m/08qnjx
/m/08qnjx
Gore Vidal
win 1
with 14
without 1
world 2
worship 1
worst 1
would 3
wounded 2
writes 1
writing 1
xenophon 1
years 3
