6531307
/m/0g949d
/m/0g949d
Gregory Benford
narrowing 1
native 1
nearby 1
necessary 1
nervous 1
new 3
news 2
next 1
nigel 3
nights 1
nine 1
no 1
nomads 2
not 2
nova 1
novel 1
now 2
nuclear 1
obtained 1
oceanborne 1
of 32
old 1
on 11
once 1
one 3
ones 1
onto 1
open 1
or 4
orbit 1
orbital 1
order 1
orders 1
organic 1
organisms 1
organs 1
original 2
originally 1
other 6
otherwise 1
out 5
over 3
paperback 1
parties 1
partnered 1
partway 1
people 1
perished 1
permanently 1
place 1
places 2
planet 2
planets 1
plasma 1
plume 1
point 1
points 1
poorly 1
possibly 1
powered 1
preoccupy 1
preparations 1
presence 2
prevents 1
primitive 1
probes 1
programmed 1
prolonged 1
prompts 1
protected 1
publication 1
pursuit 1
quoting 1
ra 1
race 2
races 2
radar 2
radiation 1
radically 1
radio 2
ramjet 1
reaching 1
react 1
reactivate 1
receive 1
red 1
relatively 1
remarks 1
reply 2
reports 1
represent 1
repurpose 1
responsible 1
rest 1
retaliation 2
return 2
reveals 2
right 1
river 1
ross 1
roughly 1
route 1
rule 1
saga 1
sapient 1
satellite 3
satellites 2
says 1
sea 1
seas 1
second 1
section 1
see 2
send 2
sends 1
sequels 1
severe 1
ship 2
ships 1
show 1
shower 1
signal 1
significant 1
silicon 1
simply 3
simultaneously 1
since 1
sink 1
skim 1
skimmers 4
sky 1
sleek 1
slide 1
so 2
sober 1
some 2
something 1
sooner 1
space 2
spaceage 1
spaceships 1
specialist 1
speculative 1
speed 1
stalemate 1
standby 1
standoff 1
standstill 1
stationed 1
strike 1
submersible 1
such 2
suggestions 1
suicide 1
suits 1
summary 1
sun 1
superpowers 1
supporting 1
surface 2
surprise 1
suspect 1
swarm 1
swarmer 1
swarmers 7
synch 1
system 5
systematically 1
tactic 1
take 1
taken 1
task 1
team 1
technologically 2
technology 2
ted 1
ten 1
tense 1
territory 1
than 2
that 16
the 105
their 12
them 5
themselves 2
themthey 1
theories 1
theorizes 1
these 2
they 11
think 1
this 4
those 1
through 1
thus 3
tidelocked 1
to 41
too 1
total 1
traces 1
tragic 1
transistors 1
transmission 2
transmissions 2
transmitting 1
turn 1
two 2
twoway 1
unfortunately 1
unified 1
unspoiled 1
until 2
up 1
use 1
utmost 1
various 1
vessel 1
vetoes 1
voyage 1
walmsley 6
war 1
was 6
watcher 8
watchers 3
watching 1
way 1
weaponry 1
weapons 1
well 1
were 1
what 1
when 3
where 1
which 3
who 2
will 3
with 10
works 2
world 2
worse 1
worst 2
would 1
wreck 1
years 2
