315188
/m/01trmg
/m/01trmg
Sinclair Lewis
similarly 1
simplicity 1
simply 2
single 1
sit 2
situation 1
slowly 1
social 2
socialist 2
socially 1
solid 1
someone 1
something 1
son 2
specific 1
spend 1
spent 1
standards 2
stating 2
status 1
stimulated 1
stumbled 1
style 1
subculture 1
success 2
successful 1
supporter 1
suspects 1
symbol 1
sympathetic 1
tale 1
tanis 5
ted 4
tenyearold 1
term 1
terms 1
than 2
that 15
the 52
their 3
them 1
then 1
there 1
theres 1
these 3
they 3
thing 1
think 1
thinks 1
this 1
though 2
thoughts 1
three 1
threeyear 1
through 1
time 4
tinka 2
title 1
to 35
together 1
town 1
track 1
traditional 1
tries 2
trip 1
try 1
trying 1
twentytwoyearold 1
two 4
typewriter 1
ultimately 1
unfolds 1
uniform 1
unorthodox 1
unrelated 1
up 3
upon 1
ups 1
vacations 1
various 2
ventures 1
verona 1
very 1
vicepresident 1
virgil 2
visit 1
vivid 1
wanderings 1
wanted 2
was 4
ways 1
wealthier 1
wears 1
welcome 1
were 1
west 1
what 2
whatever 1
when 3
where 1
which 3
while 2
whittle 1
whose 1
wife 3
wilderness 1
will 1
with 18
without 1
work 1
world 1
would 1
wouldbe 1
writing 1
year 1
years 1
yet 1
zenith 2
zilla 2
