354422
/m/01zpn_
/m/01zpn_
George Orwell
poor 2
poverty 1
pressure 1
prestige 2
pretty 1
prevail 1
previous 1
prisoner 1
privilege 1
process 1
promising 1
proposes 1
prospect 1
protection 1
pukka 1
put 2
quickly 1
racist 1
ragged 1
raj 1
rat 1
reasons 1
rebel 1
rebellion 2
redeem 1
reeking 1
reeks 1
refuses 1
regardless 1
relationship 2
relatively 1
relatives 1
release 1
remind 1
remote 1
repelled 1
representing 1
reputation 1
reservations 1
respectful 1
responds 1
responsible 1
restored 1
return 1
returning 1
rich 1
riding 1
riot 1
rising 1
rob 1
romantic 1
round 1
sahib 1
saves 1
saying 1
scene 1
scheming 1
secondly 1
seeing 2
seems 1
sees 1
send 1
sends 1
sensitive 1
sent 1
sermon 1
servants 1
set 1
several 1
share 1
she 9
shooting 1
shoots 2
shot 1
should 1
simply 1
sins 1
skin 4
small 1
so 2
some 2
speaks 1
spend 1
spinsterhood 1
spiteful 1
standing 1
start 1
status 1
still 2
stinking 1
stories 1
story 1
subtly 1
succeeded 1
successful 1
suitor 1
sunday 1
support 1
surface 1
taken 1
talks 1
teak 1
telling 2
tells 1
tension 1
term 1
that 10
the 67
their 3
them 2
then 1
these 3
they 2
thinks 2
this 2
though 1
threatening 1
three 1
timber 3
time 1
tiresome 1
to 40
towards 1
town 1
tries 1
trophy 1
turn 1
turns 2
two 1
u 9
unaware 1
uncle 1
under 3
understand 1
unexpected 1
unfortunately 1
unmarried 1
unrivalled 1
unwelcome 1
up 2
uplift 1
veraswami 9
verrall 5
vicious 1
virtues 1
visits 1
wants 1
water 1
ways 1
weeks 1
were 1
what 1
when 5
whenever 1
which 5
while 1
whilst 1
white 2
who 7
wife 1
will 4
willing 1
with 11
without 1
woman 2
women 1
wonders 1
work 1
worse 1
