45133
/m/0c8sb
/m/0c8sb
Kenneth Grahame
repossessed 1
resolve 1
respected 1
restless 1
retrieve 1
return 4
reveals 1
rich 1
ride 1
river 4
roots 1
rowing 1
runs 1
scares 1
scraper 1
sea 1
search 2
seasonally 1
secret 1
seeking 1
seen 1
sees 1
seize 1
selfdestructive 1
sells 1
sent 1
sentence 1
services 1
several 1
sheer 1
sheltering 1
shin 1
shortly 1
shortstories 1
should 1
shows 1
side 1
sign 1
six 1
sleepsin 1
slippers 1
snow 1
snowy 1
something 1
somnolent 1
son 1
sorely 1
spend 1
spends 1
spent 1
spring 5
start 1
station 1
stay 1
steals 1
steps 1
stick 1
still 1
stoats 1
stole 1
stout 1
stumble 1
succumbs 1
summer 2
sympathy 1
take 2
taken 1
takes 1
talking 1
teaching 1
teeth 1
telling 1
tells 1
tempted 1
terrible 1
than 1
that 7
the 76
their 7
them 5
themselves 2
then 2
thence 1
thereafter 1
these 1
they 10
thinks 1
this 4
those 1
though 2
thrall 1
threatens 1
three 3
through 1
time 3
times 1
tired 1
to 52
toad 34
took 1
tosses 1
town 1
tracks 1
train 2
travel 1
travelling 1
tree 1
tries 1
trip 1
true 1
try 1
trying 1
tunnel 2
twentyyear 1
unaware 1
under 1
underground 2
unsuspecting 1
until 1
up 5
upon 4
upset 1
vandals 1
very 1
via 1
visit 3
visitors 1
visits 2
wait 1
wants 1
war 1
warm 1
warmly 1
wash 1
washer 2
washerwoman 2
waste 1
water 3
way 1
wayfarers 1
ways 1
wealth 1
weasels 2
weather 1
welcomes 1
well 1
wellbeing 1
what 1
wheel 1
when 3
where 1
which 9
whilst 1
who 8
whom 1
wild 3
will 2
willing 1
winter 2
with 11
without 1
woman 2
wood 4
woods 1
worried 1
wrongdoings 1
wronged 1
year 1
