933335
/m/03r8yl
/m/03r8yl
Rohinton Mistry
funeral 2
gandhi 3
gave 1
generally 1
generate 1
generations 1
get 4
give 1
gives 2
go 3
goes 2
going 2
government 1
gravely 1
grew 1
grocery 1
guest 1
guidance 1
gupta 1
had 2
hall 1
hanged 1
happily 1
happy 2
has 10
have 4
having 3
he 15
help 2
helping 1
henchmen 1
her 20
herders 1
hiding 1
highway 1
him 7
himself 1
hire 1
hires 1
his 32
hit 1
hitting 1
home 4
horrific 1
hostel 2
house 2
household 1
housework 1
how 2
however 2
humiliating 1
humiliation 1
husband 3
in 31
included 1
income 1
independence 2
india 3
indian 2
indira 1
infected 1
infrequently 1
injured 1
instead 1
interest 1
into 6
invasion 1
involved 1
is 25
ishvar 20
it 1
its 1
job 2
jobless 1
killed 1
killing 1
kind 1
knocked 1
know 1
kohlah 3
labor 1
lady 1
landlord 2
later 6
learns 2
leather 1
leave 2
leaves 1
led 1
legs 1
let 4
letting 1
lie 1
little 1
live 2
lived 1
lives 2
living 2
locally 1
lodged 1
longer 2
loving 1
lucky 1
lucrative 1
machines 1
maintains 1
major 1
man 1
maneck 18
manufactured 1
marriage 1
marriages 1
married 1
marry 1
meals 1
medical 1
meet 1
member 1
met 1
middle 1
middleperson 1
minister 3
misbehaved 1
miss 1
mistry 1
money 1
months 1
more 2
mother 2
mountain 2
move 4
moves 2
mr 1
mrs 2
much 1
mumbai 2
murder 1
murdered 1
muslim 1
must 1
name 1
named 1
narayan 3
near 2
nearby 2
nearly 2
necessities 1
neighbor 1
never 1
news 1
newspapers 1
no 3
northern 1
not 5
now 3
nowhere 1
nusswan 7
of 22
off 1
often 2
old 3
om 17
omprakash 10
on 12
once 1
one 1
only 2
opened 1
order 1
other 2
out 5
outside 1
over 1
own 2
owned 1
parents 5
parsi 1
part 1
passed 1
patterns 2
pay 1
paying 1
people 1
picked 1
piecework 1
pimp 1
place 2
planning 2
plates 2
play 1
pleasant 1
police 1
political 2
poor 1
popular 1
powerful 1
premade 1
president 1
pretends 1
prime 3
priority 1
program 1
promising 1
prospective 1
prospects 1
protection 2
protector 1
provide 1
quite 1
quota 1
ragging 1
raid 1
random 1
rather 1
reads 1
readymade 1
rebelled 1
recall 1
received 1
recognizes 2
recovering 1
referred 1
refrigeration 2
relations 1
relationship 1
rent 4
repulsed 1
residents 1
restrictive 1
result 1
return 2
returns 4
revoir 2
rid 1
room 1
round 1
rounded 1
ruby 2
run 3
running 1
runs 1
rustom 5
safe 1
salaam 1
say 2
school 3
search 1
see 1
seeing 1
sells 1
sent 2
separated 1
session 1
sew 2
sewing 1
shaken 1
shantytown 1
shattered 1
she 12
shocked 1
shop 1
sikhs 1
simply 1
since 2
sisters 1
situation 1
skills 1
small 1
smoothly 1
so 4
society 1
soda 1
sodas 1
soft 1
sold 2
somehow 1
son 2
soninlaw 1
sons 1
specialist 1
spent 1
spits 1
standard 1
start 1
station 2
stay 3
stays 1
sterilization 1
sticking 1
stiff 1
still 1
store 3
street 3
streets 1
student 4
students 1
suicide 1
suitors 1
supposed 1
surrogate 1
system 1
tailor 2
tailors 9
take 1
takes 2
teaches 2
temerity 1
tent 1
tenuous 1
thakur 4
that 11
the 88
their 18
them 7
themselves 1
then 1
they 16
third 1
this 2
three 4
thug 1
time 2
to 75
together 3
took 1
town 6
tracks 1
traditionally 2
train 5
trouble 1
truck 2
truly 1
turn 1
turns 1
twelve 1
twenty 1
two 6
unable 2
unavailable 1
uncompensated 1
under 1
unrecognizable 1
until 1
untouchable 1
up 3
upper 1
uppercaste 2
used 1
vasectomy 2
vermins 1
very 1
via 1
village 8
violence 1
visit 4
walk 1
walks 3
wants 2
was 9
washes 1
way 4
wealthy 2
wedding 1
weekend 1
weeks 1
well 1
were 4
what 1
when 7
where 2
which 3
while 5
who 10
whose 1
widow 1
wife 3
wish 1
with 13
withdrawn 1
work 1
world 1
would 1
year 2
years 3
young 1
