3012644
/m/08kj9v
/m/08kj9v
Diana Gabaldon
death 2
decide 3
decides 1
decision 2
deeper 1
degree 1
deliberation 1
describes 2
desire 1
desk 1
despair 1
desperate 1
desperately 1
despite 1
detain 1
detaining 1
develop 1
devises 1
digress 1
disconcertingly 1
discovers 1
dislocated 1
disoriented 1
dissolving 1
distance 1
distances 1
distract 1
distracted 1
diverted 1
do 2
documents 1
does 4
doesna 1
doesnt 1
doing 1
donations 1
done 2
dougal 9
dress 1
dressing 1
drive 1
drowning 1
dun 5
duncan 3
during 4
early 1
earn 1
easier 1
effort 1
either 1
elaborated 1
elderly 1
ellen 1
emerge 1
end 1
english 10
englishwoman 1
enjoyable 1
entire 2
escape 3
escapes 1
escaping 1
escorts 1
even 4
event 1
events 1
everyone 1
evidence 1
exciting 1
exhausted 1
exhaustion 1
expected 1
experience 1
explain 1
explains 1
explanation 1
fact 3
fails 1
faints 1
faithshe 1
falls 1
familiar 1
family 1
famously 1
fascinated 1
fascination 1
father 1
fear 1
fears 1
fed 1
fellow 1
finally 2
finding 1
finds 4
first 3
fit 1
flee 1
flustered 1
for 18
forbids 1
force 1
forced 3
forest 1
former 1
fort 2
fortress 1
found 2
france 3
frank 14
fraser 3
freezing 2
friendly 2
friendship 1
from 19
fugitive 1
fugitives 1
full 1
further 2
future 3
gallant 1
geilis 4
general 1
generally 1
gesture 1
get 1
getting 1
girl 1
given 1
go 5
goal 1
god 1
good 1
gowan 2
gown 2
great 1
greeted 1
ground 1
group 2
grow 1
guard 1
guards 1
guest 1
guilt 1
had 13
hadwill 1
half 1
halffarewell 1
halls 2
hands 2
hang 1
happiness 2
happy 1
has 3
hated 1
have 4
having 1
he 20
heal 1
healer 2
healing 1
hears 1
heatedly 1
held 1
help 1
her 65
herd 1
hers 1
herself 2
highland 1
hiking 1
hill 2
him 16
himself 1
his 15
historian 1
historical 1
history 2
holiday 1
home 2
honeymoon 2
horrified 1
horror 2
horse 2
hot 1
hotel 1
how 1
however 5
husband 5
hut 1
i 1
ian 1
if 2
ignorance 1
ignorant 1
ignoring 1
ii 1
impossibly 1
in 36
inability 1
incident 1
incorrect 1
increasingly 1
incredulous 1
indeed 1
informed 1
infuriated 2
initially 1
injuries 1
insisted 1
insisting 1
insists 2
inspired 1
intending 1
intentions 1
interest 2
interesting 1
into 8
inverness 2
investigate 1
investigating 1
investigations 1
is 49
it 11
italy 1
its 1
jack 3
jacobite 2
jaime 2
james 1
jamie 42
janet 1
jealous 1
just 2
kindness 1
knocks 1
know 1
knowing 1
knowledge 1
knows 1
lack 1
ladies 1
laird 3
lallybroch 3
laments 1
land 1
lands 1
last 2
late 1
later 1
launch 1
lawyer 1
lead 1
learn 1
learned 1
learning 1
learns 1
leave 1
leaves 1
leaving 1
left 2
legal 1
leoch 7
letter 1
lie 1
life 2
lights 1
like 1
lives 1
local 3
loch 1
lone 1
long 3
longsuppressed 1
looking 1
lose 1
lost 2
love 2
loving 1
lucid 1
luggage 1
mac 1
machinations 1
mackenzie 7
mackenzies 2
macrannoch 3
made 1
main 1
mainly 1
make 6
makes 1
malicious 1
man 3
manner 2
marcus 1
marks 1
marriage 5
marriages 1
married 4
marry 2
may 2
mcnab 2
mctavish 1
medical 1
medically 1
medicine 1
member 1
members 1
men 5
mended 1
met 1
methods 1
mi6 1
mind 1
monastery 1
monk 1
more 7
most 1
mother 1
movie 1
much 7
must 2
mustering 1
mutual 1
mystical 1
na 5
name 2
named 1
nature 1
near 2
nearly 2
necessity 1
ned 2
need 1
neighborhood 1
neighboring 1
nerves 1
ness 1
newfound 1
news 1
next 2
night 3
no 3
noise 2
normal 1
not 11
notes 1
nothing 1
notices 1
noting 1
novel 1
nurse 1
nursing 1
occasion 1
of 73
offers 1
office 1
official 1
on 9
one 8
oneand 1
only 2
opinion 1
oppression 1
or 5
ordeal 1
orders 1
other 1
out 3
outing 1
outlander 1
outraged 1
outside 1
outsider 1
over 1
overcome 1
overjoyed 1
overseen 1
own 5
oxford 1
pagan 1
painful 1
pardon 1
particular 1
party 6
past 2
patches 1
patrol 1
peace 1
performs 1
piqued 1
place 3
plan 1
plant 1
plantgathering 1
pleasant 1
plot 1
point 1
poring 1
possible 1
possibly 1
power 1
powers 1
predicament 1
pregnant 1
previous 1
priest 1
prison 1
proceeding 1
proceeds 1
process 2
procuring 1
professor 1
prominent 1
proper 1
prostitute 1
protected 1
prove 2
proven 1
public 1
punish 1
punishment 1
puzzled 1
questioned 1
questioning 2
quickly 1
rabbie 2
raised 1
randall 21
rape 2
rather 1
reactions 1
real 1
reality 1
realizes 2
rebellious 1
rebuild 1
receives 1
receiving 1
reclaims 1
recovering 1
recovers 1
redcoats 1
reenactment 2
refrain 1
refuse 1
refuses 1
regular 1
rejoins 1
relationship 1
relatively 1
relatives 1
releasing 1
relocate 1
reluctantly 1
remembered 1
renders 1
rent 1
repairing 1
replies 1
reputation 2
rescue 2
rescued 1
research 1
resemblance 1
resigned 1
respect 1
respectable 1
rest 1
return 7
returning 2
returns 3
reveal 1
revealed 1
reveals 1
ride 2
riding 1
ritual 2
robbed 1
role 2
romance 1
ronald 1
room 1
route 1
rumors 1
running 1
runs 1
rushing 1
sacred 1
sadistic 1
safe 2
safety 2
sailing 1
saint 2
same 4
sassenach 1
save 2
saved 1
saying 1
scantily 1
scar 1
scars 1
scotland 2
scots 4
scotsman 1
scotsmen 2
scotswoman 1
scottish 5
searches 1
seat 1
second 1
secretly 1
see 2
seeing 1
seen 1
sees 2
sense 1
sentenced 1
separated 1
servant 1
serves 1
set 1
several 1
sexual 1
share 2
shares 2
she 51
shift 1
shipwrecked 1
shortly 1
should 3
shoulder 1
simple 1
simultaneously 1
single 1
sir 1
sister 1
site 1
smallpox 1
sneaks 1
so 3
sobs 1
some 4
something 1
somewhat 7
sons 1
soon 1
sound 1
specimen 1
spends 1
spring 1
spy 2
stableboy 1
stage 1
standing 2
stark 1
state 1
stationed 2
stay 1
staying 1
steps 1
still 5
stones 6
storm 1
story 4
strained 1
strange 2
stream 1
striking 1
struggling 1
subject 1
successfully 1
suitable 1
suitor 1
sundress 1
superstition 1
supposedly 1
surprise 1
surprising 1
surprisingly 2
surrounding 1
surroundings 1
survive 1
suspicious 1
sympathetic 1
taken 1
takes 4
talk 2
tartan 1
task 1
tax 1
taxes 1
tears 1
technically 1
tell 1
tells 7
temporarily 2
tenants 2
tend 1
tending 1
tentative 1
terrified 1
tersely 1
than 2
that 37
the 147
their 17
them 4
themselves 1
then 1
there 4
they 11
theyll 1
theyre 1
think 1
thinking 2
thinks 1
this 5
though 9
thought 1
thoughts 1
through 5
thrown 1
ties 1
time 7
to 107
together 2
told 2
too 1
tormented 1
torn 2
touched 1
towards 1
trampling 1
travel 1
traveled 2
traveler 1
traveling 3
travels 1
treats 1
tries 1
trip 2
true 3
trust 1
trusting 1
truth 3
two 7
ultimate 1
unable 4
unaided 1
uncle 1
unconscious 1
under 1
underground 1
understanding 1
undeveloped 1
undress 1
unfazed 1
unknown 1
unsure 1
up 2
uses 1
using 2
vaccine 1
version 1
very 1
village 1
violence 1
violently 1
virgin 1
visit 2
visual 1
wait 1
waking 1
wanders 1
wanted 1
wanting 1
war 1
wariness 1
warms 1
wary 1
was 4
watching 1
waters 1
way 4
wear 1
wed 1
wedding 2
well 2
wentworth 1
were 1
what 1
when 10
where 5
whether 1
which 6
while 7
whipped 2
whipping 1
who 14
whole 1
whose 1
why 1
wife 1
wilderness 1
will 6
witch 3
witchcraft 2
with 19
witnessed 1
wits 1
wolf 1
wolfridden 1
woods 2
work 2
worked 1
working 1
works 1
world 1
worried 1
wounded 2
yearly 1
years 1
yet 1
you 1
young 2
