5406230
/m/0dkd_8
/m/0dkd_8
Ben Aaronovitch
harris 2
has 8
having 2
he 8
heading 3
heads 1
hearts 1
help 1
her 19
him 4
his 5
hitchhiker 1
hitchhiking 1
hits 1
hole 1
hologram 2
home 1
house 1
how 2
human 2
ice 2
identify 1
illegally 1
in 17
including 1
indicating 1
influence 1
injuries 1
inspector 1
instantly 1
instinctive 1
intelligence 3
intending 1
intervention 1
into 3
invaded 1
invader 1
invading 1
investigate 1
is 13
it 5
its 4
job 1
joining 1
joins 1
just 1
kadiatu 23
kent 1
kill 1
killing 3
king 1
known 2
knows 1
land 1
landing 1
later 1
latter 1
laying 1
leader 1
leading 1
learns 1
learnt 1
leipzig 1
lethbridgestewart 3
line 3
local 2
locate 1
london 1
long 2
looking 1
love 3
lover 1
lowell 1
lunarversity 2
machine 4
made 1
main 1
maintenance 1
make 1
makes 1
making 2
manages 1
many 1
mars 4
martians 2
mass 1
materialises 1
meets 1
met 1
military 1
mind 1
missile 1
moment 1
moments 1
moneypin 5
months 1
moon 1
morning 1
mountain 1
moving 1
mutant 2
mysterious 3
named 1
nameless 1
needs 2
nest 2
network 1
neural 1
new 2
night 1
not 1
nothing 1
now 1
object 1
of 18
off 3
offer 1
old 6
on 9
one 3
open 4
opening 1
operates 1
or 1
other 1
out 4
outside 1
over 1
overloads 1
pair 2
paris 1
passengers 1
passes 1
path 1
pay 1
payment 1
peace 1
picking 1
piece 1
pirate 1
planets 1
pluto 3
possessed 1
potential 1
power 2
preparing 1
problem 1
prostitutes 1
pulls 1
punches 1
purpose 1
push 1
reactor 1
real 1
realises 5
reality 1
recognise 1
recovers 1
reengineered 1
refugee 1
relationship 1
relief 1
remains 2
repaired 1
report 1
rescue 1
research 1
researching 1
resents 1
resources 1
response 1
retreats 1
retrieve 1
return 3
reveal 1
reveals 1
revive 1
reviving 1
riots 1
road 1
roberta 4
room 1
route 1
ruler 2
rundown 1
safety 1
sam 6
same 1
searches 1
section 1
see 1
seen 1
sees 1
selfaware 1
send 2
sends 2
serve 1
service 1
set 1
sets 1
settlement 1
she 12
shoots 1
shut 1
similarly 1
single 1
sleeping 1
sleeps 1
slum 4
software 2
sol 1
solar 2
soldier 1
soldiers 1
solves 1
some 1
spared 1
special 1
specifications 1
spreads 1
staffmdashcome 1
station 3
stationmdashbernice 1
stole 1
stone 1
stories 1
stowing 1
strangely 1
sts 6
suggesting 1
summons 1
supersoldiers 1
surveillance 1
survive 1
surviving 2
survivors 1
suspicions 1
swallowing 1
system 11
take 1
taken 1
taking 1
tardis 8
technicians 1
technology 1
television 1
tells 1
tenthousand 1
that 16
the 141
their 1
them 2
then 4
theory 1
they 4
this 2
threat 1
through 6
ticket 1
till 1
time 6
to 60
told 1
took 1
train 2
trains 1
trainshaped 1
transit 2
transmat 1
traveller 1
traverse 1
tries 1
tunnel 3
tunnels 6
two 3
under 1
underworld 1
universe 1
unknown 2
unlike 1
unsure 1
up 4
use 2
used 1
uses 2
using 2
veteran 2
via 1
victims 1
violence 1
virus 2
visit 1
visits 2
vortex 1
wakes 1
wall 2
war 4
warrior 2
warriors 2
was 3
wave 1
way 4
weakens 1
were 1
where 2
which 3
while 3
who 4
whom 3
wild 1
with 8
without 2
woman 1
work 2
world 1
yak 2
years 1
yembe 3
zamina 4
zone 1
