182128
/m/018wnw
/m/018wnw
Neil Gaiman
johnny 1
journey 1
judged 1
just 1
kali 1
keep 1
keepsake 1
key 1
killed 2
king 1
knew 1
knowing 1
knows 1
kobold 1
lakeside 1
land 1
lands 1
late 1
later 2
laura 6
leader 1
learning 1
learns 1
leather 1
leaves 1
legendary 1
leprechauns 1
liesmith 2
life 3
literally 1
little 1
live 1
local 1
loki 9
lose 1
lovers 1
low 1
lowkey 1
lyesmith 2
mad 1
magical 2
make 2
mama 1
man 2
manifestations 2
many 1
me 3
means 1
media 2
meeting 1
meets 1
men 1
met 1
mistletoe 2
modern 2
monarch 1
moon 1
morning 1
most 1
mr 8
much 1
murder 2
must 1
mythological 4
mythology 2
myths 1
name 1
nancy 1
nativeamerican 1
need 1
neighbor 1
new 6
norns 1
norse 1
not 6
nothing 1
novel 2
novella 1
number 1
numerous 1
obeying 1
obeys 1
obsessions 1
odin 15
odinwdenday 1
of 36
offer 1
offered 1
old 4
on 6
one 3
only 3
or 1
oral 1
orchestrated 1
order 1
orders 2
organization 1
organs 1
original 1
other 2
others 1
over 1
part 2
participate 1
past 1
people 2
performance 1
performed 1
performing 1
performs 1
period 1
pierced 1
place 1
placed 1
places 1
planned 1
plans 1
plays 1
plot 1
policeman 1
posing 1
possible 1
power 2
powers 2
preferred 1
premise 1
prescription 1
prevent 1
previously 1
prison 2
prominently 1
prostitute 1
queen 1
question 1
ram 1
realises 1
realworld 1
recommends 1
reconnect 1
recruiting 1
reenacting 1
reflecting 1
reinvention 1
released 1
repeat 1
repeatedly 1
replies 1
response 1
restoring 1
revealed 2
robbie 2
rock 1
rule 1
sacrifice 1
sacrifices 1
sam 2
sandman 1
sapient 1
secret 2
secretly 1
seduced 1
see 2
serve 1
services 1
session 1
settlers 1
several 2
sex 1
sexual 1
sexuality 1
shadow 29
sharpen 1
she 2
sheba 1
short 1
shot 1
sides 1
similar 1
simple 1
site 1
sleightofhand 1
slips 1
small 1
so 1
son 1
spear 1
special 1
spinoffs 1
spirits 1
spoken 1
started 1
state 1
states 1
stick 1
stop 1
story 1
subplot 1
subplots 1
succubuslike 1
succumbing 1
such 1
suibhne 1
sun 1
swallows 1
sweeney 1
take 1
takes 1
talk 1
technology 2
tells 2
text 1
than 2
that 17
the 70
their 1
them 3
then 2
there 1
therefore 1
these 2
they 5
thing 1
this 2
thoth 2
though 1
through 2
thursday 1
thus 1
time 2
times 1
to 27
towards 1
town 1
towns 1
transport 1
travel 1
tree 3
trick 1
two 1
twoman 1
ucla 1
understand 1
united 1
unnoticed 1
unusual 1
up 1
uses 1
version 1
vigil 1
virgin 1
virgins 1
visiting 1
visits 2
waiting 1
wake 1
walks 1
wane 1
waned 1
warm 1
was 9
wednesday 13
what 1
when 2
where 2
whereupon 1
which 3
while 4
whiskey 1
who 11
whom 1
whose 2
why 1
wife 3
will 1
winners 1
wisakedjak 1
with 4
without 1
word 1
work 1
working 1
world 3
would 2
yes 1
young 1
zorya 1
