25337388
/m/09ggmvc
/m/09ggmvc
Mildred Taylor
lucky 2
ma 1
mad 2
make 5
man 11
manners 1
many 1
marry 3
marrying 1
medicine 2
memphis 3
men 10
messed 1
messing 1
met 1
mighty 1
mississippi 5
moe 38
money 1
more 1
most 1
mr 4
much 1
named 2
narrated 1
need 1
neighboring 1
neither 2
nervous 1
never 2
new 1
news 1
newspaper 2
next 2
nice 2
nick 1
nigger 1
night 1
no 2
nor 2
normal 1
not 9
nothing 1
notices 2
novel 1
november 1
now 1
oblivious 1
obstacles 1
of 18
off 7
offenses 1
office 4
old 3
older 1
oliver 9
on 7
once 1
only 2
orders 2
other 2
our 1
ourselves 1
out 19
over 10
own 1
owner 4
part 1
parts 1
pass 1
pay 1
payments 1
pearl 1
people 1
pick 3
pictures 1
piece 1
place 3
plan 1
powder 1
preacher 1
predecessors 1
pregnant 1
pressured 1
pride 1
probably 1
process 1
progresses 1
proofreading 1
pulls 1
purse 1
pushed 1
queasy 1
ready 1
really 1
recognizes 1
recognizing 1
refused 1
refuses 1
remains 1
reports 1
reputation 1
rescues 1
rest 4
restaurant 2
restroom 1
road 2
roll 1
rubbing 1
rubs 1
rush 1
said 1
saved 1
say 3
saying 5
says 5
school 2
screaming 2
screams 1
see 6
seem 1
seems 1
seen 1
sees 1
she 20
sheriff 1
shocked 1
should 2
signal 1
simms 2
sissy 21
situation 2
sleep 1
sleeping 1
so 5
soldier 2
solomon 4
some 5
someone 2
something 3
somewhere 2
son 1
soon 2
sorry 2
speed 1
stacey 26
stacy 1
start 2
started 1
starting 1
starts 3
station 1
statler 14
stay 1
step 1
steps 1
still 1
stop 4
store 4
story 2
strawberry 1
struggling 1
studies 1
study 1
suffers 1
suit 1
surprised 1
survive 1
take 2
takes 3
talk 2
talking 2
tell 6
telling 1
tells 20
tennessee 1
that 31
the 100
their 9
them 18
then 6
there 7
they 52
theyll 2
theyve 1
things 3
thinking 1
this 5
though 1
through 1
throws 1
ticket 1
time 3
tire 1
to 110
told 5
too 2
took 1
toward 1
town 2
train 2
tree 2
tries 3
trip 1
trouble 4
troy 1
truck 7
try 5
trying 1
turned 1
turns 2
twin 1
two 1
unable 1
uncle 2
unconscious 2
unleashed 1
until 2
up 14
uppity 1
urges 1
use 1
used 1
using 1
very 1
volunteers 1
wade 1
wait 2
wakes 1
walk 1
walks 2
want 2
wanted 2
wanting 1
wants 1
warned 1
was 3
wasnt 1
watch 1
way 3
wearing 1
weight 2
well 4
went 2
what 12
when 12
where 6
which 2
while 9
white 5
who 15
why 1
will 1
willie 11
with 39
without 1
woman 3
women 1
woods 3
word 1
works 1
worried 1
would 2
write 1
writing 1
written 1
year 1
young 1
