25471704
/m/09rsqgj
/m/09rsqgj
Sidney Sheldon
robbie 6
robert 1
ruin 1
ruined 1
rule 1
safe 2
same 2
savings 1
scam 1
scammed 1
scheme 2
second 1
seconds 1
secretly 5
seduce 1
seduces 1
seek 1
sees 3
sell 2
sending 1
sends 1
sense 1
sent 2
set 1
sex 3
shambles 1
share 2
she 44
shelter 1
shoots 1
short 1
shortly 1
show 1
showed 1
side 1
signs 1
similar 2
simply 1
since 4
sister 1
sliced 1
smells 1
sneered 1
so 2
social 1
someone 1
somewhere 1
son 4
soul 1
speak 2
spitting 1
stalls 1
star 1
start 1
starts 2
station 2
stayed 1
steals 1
step 1
still 4
stock 1
stop 1
story 2
strategy 1
studded 1
suffocating 1
supported 1
supporting 1
surgeon 1
take 3
taken 1
takes 2
taking 1
teenager 1
telling 2
tells 3
templeton 4
templetons 3
than 1
that 25
the 84
their 5
them 3
therapy 1
they 9
thinks 1
this 2
though 1
thought 1
through 1
throughout 1
thus 1
time 2
to 78
told 1
too 1
took 1
trafficker 1
transformed 1
translate 1
trauma 1
travel 1
tricked 1
tries 1
troubled 1
trusted 1
trying 1
turns 1
twin 2
twins 1
two 2
under 1
ungrateful 1
unknown 1
unlike 1
until 2
up 5
us 1
usa 1
very 3
victims 1
virgin 1
want 1
wants 2
was 4
way 2
webster 1
wedding 2
weeping 1
well 2
were 1
what 1
when 5
where 1
which 3
while 5
who 13
whom 1
wife 2
wild 1
will 1
with 16
woman 1
won 1
work 2
worries 1
would 1
years 5
yet 1
younger 1
