3345384
/m/096xmy
/m/096xmy
Jane Austen
sets 1
she 16
sheet 1
shortly 1
showers 1
shows 1
siblings 2
since 1
sir 12
sister 4
situation 1
situations 1
smoothly 1
so 3
sober 1
soften 1
someone 1
something 1
son 1
sotherton 1
sparks 1
spoiled 1
staid 1
startled 1
stay 1
steadfastly 1
steadier 1
steady 1
stern 1
still 1
stupid 1
subject 2
succeeds 1
sues 1
suit 1
surroundings 1
susan 2
tables 1
take 1
taken 4
takes 1
taking 1
talking 1
task 1
tells 1
terminated 1
that 18
the 43
theatricals 1
their 3
them 3
there 2
they 5
this 2
thomas 12
those 1
thoughtfulness 1
thrown 1
time 2
timidity 1
to 51
tom 9
toward 2
treated 1
treating 1
treats 1
true 1
try 1
turned 1
turns 1
two 1
uncle 1
unexpectedly 1
unhappy 1
unpleasant 1
up 4
uses 1
vain 1
value 1
very 1
visit 2
visits 1
vows 1
wants 1
was 2
way 1
wealthy 1
welcomed 1
when 4
where 2
which 1
while 3
who 7
whom 1
widowed 1
wife 5
will 4
william 3
wind 1
with 22
witnesses 1
world 1
worldly 1
worries 1
worse 1
worthy 1
would 2
yates 3
year 2
years 1
young 2
younger 1
