272323
/m/01nz60
/m/01nz60
Greg Egan
dedicated 1
defined 1
deleted 6
deletion 3
deluca 1
demand 1
demands 1
denomination 1
descendants 1
describing 1
design 1
designed 4
designer 1
designing 1
desire 1
desperately 1
destruction 1
detailed 1
devastating 1
developing 1
did 1
difference 1
different 1
discover 3
discovery 1
disembowels 1
distributed 1
do 4
does 2
dollar 1
dollars 1
done 1
down 3
due 3
durham 26
during 1
dust 5
dying 1
each 6
earlier 1
earth 1
eccentric 1
economy 1
ecu 1
ecus 1
eden 5
effect 1
effects 2
effort 1
efforts 1
elements 1
emergency 1
emerging 1
emulation 1
emulations 1
enabling 3
end 1
enough 5
enthusiast 2
entire 1
environment 1
environments 2
equally 1
equations 2
erratic 1
escape 1
especially 1
estate 1
estates 1
euro 1
europe 1
eusocial 1
even 3
events 1
eventually 2
ever 4
evidence 2
evolvability 1
evolvable 1
evolve 2
evolved 4
exceeded 1
exchange 2
exhausted 1
exist 3
existed 1
existence 6
existences 1
existing 3
exists 1
expanding 1
expansion 1
expect 1
expedition 1
experience 7
experiences 3
experiencing 1
experimentation 3
experimenting 1
experiments 2
expert 1
explanation 1
exploded 1
explore 2
extent 1
extra 1
extraneous 1
extreme 1
fact 1
facto 1
failing 1
failures 1
falsified 1
falsify 1
famous 2
fantasy 1
farcical 1
fear 1
fee 1
few 2
fictional 1
field 1
final 1
finance 1
find 1
finding 3
finite 1
first 1
flourished 1
follows 1
for 19
forbidden 1
form 1
formulated 1
forth 1
found 1
founder 1
founders 3
frame 1
fraud 1
friend 1
from 9
frustrated 1
fulfilled 1
full 4
fully 1
function 1
furious 1
furthermore 1
future 2
game 1
garden 5
gathering 1
generally 1
generic 1
get 1
given 2
global 1
globalised 1
governed 1
gradually 1
granted 1
great 1
grounds 1
growing 3
guaranteeing 1
hack 1
had 15
hall 1
hardhit 1
has 10
have 12
having 3
he 20
held 1
her 9
herself 1
heuristics 1
high 3
him 3
himself 14
hires 1
his 25
hobbyists 1
hold 1
holds 1
how 1
however 4
human 1
humans 2
hundred 1
hydrophilus 1
hypotheses 1
hypothesis 3
hypothesized 1
identity 1
if 3
implant 1
implanting 1
implementation 2
implies 1
importantly 1
in 51
included 1
including 1
increasing 1
increasingly 2
incriminate 1
indeed 2
indefinitely 1
independently 1
infinitely 2
infinitelyexpanding 1
inform 2
information 1
inhabit 1
inhabitants 5
inhabited 1
initial 1
initially 2
insectlike 1
insectoid 1
inserted 1
instantiation 1
intellectually 1
intelligence 1
intelligent 1
intends 1
intention 1
interaction 1
interested 1
interesting 1
interfering 1
international 2
internationally 1
interpretation 3
interpretations 2
interpreted 3
interpreting 1
interpretive 1
intervene 1
into 13
investigators 1
investment 1
investors 3
involved 2
is 30
it 16
iteration 1
its 12
itself 2
justification 1
kate 2
kitchen 1
knife 1
know 1
known 2
lambert 7
lamberti 1
lambertians 5
large 3
largely 2
larger 1
largest 1
last 1
later 1
latter 1
laughably 1
launch 8
launched 2
laws 1
layer 1
learns 1
leave 1
legal 1
life 7
literally 1
lives 1
lobby 1
located 1
locus 1
logical 2
long 1
longer 1
longtime 1
looking 1
lost 1
loving 1
machine 2
made 1
make 2
maker 1
making 2
malcolm 2
man 1
manipulating 1
manner 1
manufacture 1
many 1
maria 18
market 1
massive 1
massively 1
mathematical 4
mathematically 1
mathematics 1
matrix 2
matter 3
matters 1
meanwhile 2
medical 3
memory 1
merely 3
metabolise 1
methodological 1
might 4
million 1
mind 1
minimise 1
minimising 1
minority 1
minute 1
mips 1
models 1
moderatelysized 1
momentary 1
moments 1
money 1
more 2
most 2
mother 2
movement 1
much 1
multiple 1
must 2
named 2
nation 2
nations 1
nature 1
near 1
necessary 2
need 1
network 2
networks 1
neumannchiang 1
never 2
new 3
newly 2
night 1
no 6
nontvc 1
not 12
nothingness 1
now 1
number 4
observe 1
obsessed 1
obviously 1
occupies 1
of 130
offering 1
offers 2
on 15
once 1
one 1
onhand 1
only 4
opposed 2
opulent 1
or 7
order 2
original 4
other 1
our 2
out 2
over 1
overwritten 1
own 11
package 1
packages 1
part 3
particularly 1
passengers 1
past 1
patients 1
patterns 1
paul 1
pause 1
pay 1
peer 1
people 1
perceived 1
perferentiality 1
period 1
permanently 1
permutation 11
persist 2
personalised 1
perspective 1
persuades 1
physics 2
physiological 1
pitch 1
pitches 1
place 2
plan 1
planet 7
planetary 1
plausible 1
plausibly 1
pledging 1
plot 2
plotline 1
police 1
population 2
populations 1
position 2
possess 2
possibility 1
possible 3
possibly 1
posthuman 1
potentially 1
power 3
powerful 2
precedent 2
precision 1
precursor 1
predefined 1
predicated 1
predict 1
prediction 1
predicts 1
preparing 1
preposterously 1
present 2
presentation 1
pressured 1
prevented 1
previously 1
prime 1
principle 3
process 1
processing 3
processor 3
processornetwork 1
processors 1
program 3
progressively 1
projects 1
proof 1
proposed 1
prove 2
psychiatric 1
psychosis 1
psychotic 1
public 2
purpose 1
purposes 1
q 1
qips 3
quadrillions 1
quickly 1
rather 3
rationalising 1
ravaged 1
reactive 1
real 5
realities 2
reality 3
recently 2
reconfiguring 1
redefined 1
reducing 1
refers 1
refusing 1
reject 1
relations 1
relationship 1
remainder 1
repeated 1
represent 1
request 1
require 1
requires 1
requiring 1
resistance 1
resolution 2
resources 1
restricted 1
result 2
results 1
reticent 1
reveals 1
rich 2
rights 5
role 1
rules 3
run 7
running 1
safe 1
sake 1
saying 1
scale 3
scanned 4
scanning 1
scenic 1
sceptics 1
scheme 1
scholars 1
secretly 1
seed 1
seemingly 1
segment 1
selfconsistency 1
selfconsistent 5
selfexperiments 1
selfperpetuation 1
selfreproducing 1
series 1
seriously 1
serves 1
set 2
seven 1
several 4
sex 1
shares 1
sharing 1
she 8
shortly 1
should 3
show 1
showing 1
shut 1
significantly 1
similar 1
simulate 1
simulated 1
simulating 2
simulation 5
simulations 1
since 2
situation 1
sixhundred 1
size 1
sized 1
slice 1
slow 1
slowdown 1
slumdwelling 1
small 2
so 2
software 2
solely 1
solipsist 1
solution 2
some 7
somehow 1
something 2
somewhat 1
sort 1
southeast 1
space 1
spacefiller 1
spacetime 1
spent 1
spontaneous 2
spontaneously 1
spread 1
springboard 1
stable 1
staggering 1
staging 1
state 1
states 1
status 1
still 2
storms 1
story 1
strain 1
strained 1
structure 2
structures 2
studies 1
subjective 3
subsequent 1
subsequently 1
successful 2
successive 2
such 13
suddenly 1
suffer 1
suitably 1
supercomputer 1
superseded 1
support 1
surrounding 1
surviving 1
suspected 1
swarms 1
sydney 1
system 3
systemic 1
takeover 1
taking 2
temperatures 1
tens 1
term 1
terminate 1
terminated 1
termination 4
terms 2
than 2
thanatophobic 1
that 29
the 166
their 19
them 8
themselves 2
then 6
theory 5
there 7
therefore 3
these 2
they 6
thing 1
things 1
thirty 1
this 8
those 2
though 5
thousand 3
thousands 1
through 1
time 5
times 2
to 96
together 3
towards 1
town 1
toxin 1
traded 1
travels 2
treatments 1
tropical 1
true 2
try 1
turing 1
turingcomplete 1
turingvon 1
tvc 24
two 4
type 1
ultimately 3
unable 1
uncomfortable 1
under 2
undergo 1
undergoes 1
underlying 1
unfortunately 1
unique 1
universal 1
universe 32
universes 2
unparsimonious 1
unprecedented 1
until 2
up 1
upon 1
usage 1
use 3
used 2
using 1
utilising 1
vague 1
validity 1
variety 3
various 2
vast 2
verge 1
verify 1
via 1
viewed 1
views 1
vindicated 1
virtual 2
visiting 1
voracious 1
vote 1
vr 3
wake 1
wakes 1
wants 1
was 10
ways 2
wealthiest 1
wealthy 2
weather 3
weatherrelated 1
well 3
were 7
what 3
whatsoever 1
when 1
where 3
whether 1
which 20
while 5
who 3
whole 1
whose 1
why 1
widespread 1
will 8
willing 1
wish 1
with 20
within 3
without 1
work 2
world 7
worried 1
would 9
written 1
years 3
yet 3
zone 1
