61489
/m/0gnfq
/m/0gnfq
Victor Hugo
grisette 1
grow 1
growing 1
grown 1
guard 2
guardsmen 1
gun 3
habit 1
had 4
hair 1
hand 4
hands 1
happily 2
happiness 1
harasses 1
has 11
have 6
having 3
he 97
heading 1
hearing 2
hears 2
heeds 1
help 2
her 45
here 1
heroics 1
herself 2
hides 1
him 47
himself 10
his 57
holding 4
home 4
honest 1
hoped 1
hoping 2
horrified 1
hospital 3
hour 1
house 12
how 1
however 5
hundred 1
identified 1
identity 5
if 5
ignore 1
ill 1
illness 1
immediately 3
immense 1
impress 1
imprisonment 1
in 57
inadvertently 1
inappropriate 1
inaudible 1
incarceration 1
including 2
informing 1
informs 7
injured 1
injuries 1
inn 5
innkeeper 1
innkeepers 1
innocent 1
inside 1
inspector 2
instead 2
instructing 1
instructs 1
insulted 1
intervenes 1
into 7
is 47
it 16
javert 31
jean 5
job 1
joined 2
joining 1
joke 1
jondrette 1
jondrettes 1
june 1
just 1
keep 1
keg 2
kill 2
killed 3
king 1
kiss 1
kisses 1
knees 1
knowing 1
knows 2
labor 1
lamarque 1
landing 1
lands 1
lap 1
lark 1
last 1
later 12
law 2
leader 1
leads 1
learning 1
learns 1
leave 5
leaves 6
leaving 5
led 1
letter 9
letters 1
letting 1
lhomme 2
liberal 1
lies 1
life 8
lift 2
light 1
listolier 1
literacy 1
little 1
live 4
lived 1
lives 1
locked 1
lodgings 2
long 1
longer 3
longing 1
look 3
looks 1
looting 1
loses 1
losing 1
love 7
lover 1
luxembourg 1
m 5
madeleine 1
make 2
makes 2
making 1
man 10
manage 1
manages 4
mardi 1
marius 54
marks 1
married 1
marry 1
mars 1
masks 1
mayor 2
meal 1
meanwhile 4
meet 1
memory 1
men 3
mercy 1
met 1
middle 1
military 1
miracles 1
misconceptions 1
missing 1
mistress 1
mme 5
moment 1
moments 1
monetary 1
money 9
monsieur 1
montfermeil 2
months 2
montparnasse 1
montreuilsurmer 2
moral 1
more 4
morning 1
most 1
mother 3
move 1
moved 1
moving 1
much 1
murderer 2
murderers 1
must 1
muzzle 1
myriel 4
myriels 1
name 3
named 5
napoleon 1
narrow 1
national 2
neighbourhood 2
never 2
new 3
next 4
night 2
nineteen 1
no 5
not 11
notable 1
note 4
notes 1
noticeable 1
now 4
numerous 1
observes 2
obtained 1
occupied 1
ocean 1
of 57
off 4
offender 1
offer 1
offers 3
old 1
oldest 1
on 15
one 10
only 5
open 1
opens 1
opposite 1
or 2
order 1
ordering 1
orders 7
originally 1
other 5
out 15
outside 1
over 2
overhearing 1
overhears 1
owner 1
paid 1
pair 1
paired 1
pampered 1
pane 1
panic 1
paper 2
pardoned 1
paris 5
part 1
participates 1
party 1
pass 1
passport 1
past 1
patrol 1
patronminette 6
pay 5
pays 2
peasant 1
penal 1
perceives 1
permission 2
permitted 1
persists 1
persuades 1
petit 1
petitpicpus 1
philanthropist 2
pick 1
piece 2
pieces 1
pinned 1
pistols 1
pities 1
plan 1
planning 1
pleas 1
plumet 2
pockets 1
point 1
pole 1
police 8
ponine 16
ponines 1
pontmercy 4
poor 2
poorer 1
port 1
poverty 1
powder 2
preparing 1
present 1
presents 1
pretends 1
prevails 1
prison 8
prisoner 1
probably 1
proceeds 1
promise 1
promises 4
prostitution 1
protect 1
prove 1
provide 3
public 1
pulls 1
punch 1
purely 1
puts 3
quiet 1
ragged 1
raid 1
rarely 1
reacts 1
read 2
reader 2
reading 1
reads 1
real 3
reality 1
realizes 2
realizing 1
really 1
recaptured 1
recognize 1
recognized 1
recognizes 6
reconfirms 1
recovers 1
referred 1
refuses 3
regrets 1
reject 1
rejected 1
release 3
released 3
relieved 1
reluctant 1
reluctantly 3
relying 1
remembers 1
reminds 1
rent 2
rents 1
repeat 1
repents 1
report 1
reported 1
request 3
required 1
rescue 1
rescued 2
rescues 1
resort 1
responsible 1
rest 1
restaurant 1
resulting 1
results 1
retire 1
retreat 1
retrieve 1
return 5
returns 4
reveal 1
reveals 5
revelation 1
revenge 1
revolt 1
revolution 1
rigging 1
roaming 1
robber 1
robbers 1
robbery 1
room 1
rue 4
run 1
running 1
runs 3
rush 2
sadly 1
sailor 1
same 2
save 2
saved 4
saves 3
saving 1
says 1
scene 1
scrap 1
scream 1
search 1
searches 1
secretly 1
see 3
seeing 4
seems 1
sees 5
seine 1
selfish 1
sells 1
sends 2
sent 1
sentenced 1
sentences 1
sergeant 2
serving 1
servitude 1
set 1
several 1
severity 1
sewers 2
she 25
sheet 1
shelter 2
ship 1
shocked 1
shoot 1
shooting 1
shoots 1
shortly 1
shot 2
shoulders 1
shown 1
side 2
sight 1
signed 1
silver 2
silverware 2
similarities 1
simple 1
sister 1
sitting 2
six 3
slave 1
sleeps 1
slip 1
slowly 2
smaller 1
snow 1
so 9
society 1
soldier 3
soldiers 4
some 1
son 2
soninlaw 1
soon 3
speaks 1
spend 1
spots 2
spy 2
started 1
starts 1
starving 1
states 1
staying 1
stealing 1
steals 2
steers 1
stern 1
still 1
stole 1
stoops 1
stopped 1
stops 1
story 2
street 4
streets 2
strength 1
strict 1
strongly 1
student 1
students 6
stunned 1
subdued 1
successfully 1
such 2
suddenly 1
suicide 1
sur 1
surname 1
suspects 1
suspicious 1
swindle 1
sympathy 1
take 2
takes 8
tavern 1
tears 1
teeth 1
tell 1
telling 2
tells 6
tempers 1
that 43
the 201
theft 1
their 10
them 10
then 13
there 3
these 1
they 13
thieves 1
things 1
thinking 1
thinks 1
thirty 1
this 16
thnardier 40
thnardiers 11
tholomys 2
though 1
thousand 2
threatens 1
three 1
threw 2
through 4
throwing 1
thrown 1
throws 1
tie 1
tied 1
time 5
times 1
to 162
together 1
told 1
took 1
top 1
torch 1
tore 1
torn 1
toulon 3
toward 1
towards 1
town 2
trader 1
transportation 1
travel 1
treating 1
treatment 1
trial 2
tries 5
troubled 1
troubles 1
true 1
try 3
tuberculosis 1
turned 1
turns 3
two 4
unable 2
unabridged 1
unaware 1
unconscious 1
under 3
underneath 1
unexpectedly 1
uniform 1
unnamed 1
unrest 1
until 1
up 7
upkeep 1
upon 3
uprising 1
upstairs 1
urchin 1
use 2
valjean 92
valjeans 1
valuable 1
version 1
very 1
views 1
visit 1
visits 2
voice 3
volunteers 2
vow 1
wait 1
waiting 1
waits 1
walking 2
walks 2
wall 2
want 1
wanted 1
wants 3
was 13
watches 1
water 1
waterloo 2
way 1
wealthy 1
wedding 2
wedlock 1
weeks 1
well 4
wellknown 1
were 1
what 1
wheels 1
when 10
where 2
whereabouts 1
whether 1
which 8
while 11
whisper 1
who 18
whole 1
whom 2
whose 1
wife 1
will 7
window 3
wishes 1
with 27
without 1
witnesses 1
witnessing 1
women 1
woods 1
words 1
working 1
would 4
write 1
writes 2
writing 1
written 1
wrote 1
years 4
yellow 1
yells 1
zphine 1
