1799004
/m/05xy0f
/m/05xy0f
Yukio Mishima
orchards 1
order 1
ordering 1
organising 1
osaka 3
otaguro 4
other 1
others 1
out 7
own 1
oysters 1
paid 1
pamphlet 1
park 1
part 2
party 1
passion 1
patriotism 3
patron 1
people 2
performed 2
perjury 1
person 1
personal 1
personality 2
persuaded 1
persuading 1
petals 1
petition 1
phahon 1
phonphayuhasena 1
physical 1
pick 1
picture 1
picturesque 1
place 2
placing 1
plan 6
planning 2
play 1
plot 5
pm 1
poet 1
points 2
poisoning 1
police 2
popular 1
practice 2
predicting 1
prefectural 1
prefecture 2
prepared 1
present 1
presents 1
pressed 1
pretends 1
priest 3
prince 7
prison 2
private 1
procession 1
profession 1
prohibited 1
prominence 1
prominently 1
promise 1
promises 1
promising 1
propaganda 1
prophetic 1
propitious 3
proposal 1
proposals 1
proposes 1
prosecutor 1
protection 1
punishment 1
purchase 1
pure 1
purified 1
purity 1
purple 1
put 1
puts 1
questions 1
quotation 1
random 1
reactionary 1
read 1
reading 1
reads 2
real 1
realise 1
realises 3
realising 1
realizes 1
rebel 1
rebellion 2
rebels 1
receive 1
receives 1
reincarnation 3
released 1
reluctant 1
remaining 1
remembers 1
remitted 1
rented 1
replies 1
reply 1
report 1
resemblance 1
residences 1
resigns 2
resolved 1
resolves 1
respect 1
responds 2
response 1
rest 1
restaurant 1
restoration 2
results 1
retired 1
return 2
returning 2
returns 3
revealing 1
revered 1
right 1
rightist 2
rightwing 2
rite 3
ritually 1
riverside 1
romance 1
room 3
rose 1
royal 1
run 1
runs 3
rushes 1
saga 1
sagara 2
said 1
saigusa 2
sakurai 2
salvage 1
same 2
samurai 3
sanko 1
satoko 2
save 4
saves 1
sawa 12
say 1
says 1
school 3
schoolfriend 1
schoolfriends 2
scouting 1
seaside 1
seawater 1
second 3
secret 4
see 3
seed 1
seem 1
seems 1
seen 1
selling 1
sends 2
senile 1
sense 1
senses 1
sent 2
sentiments 1
seppuku 4
serving 1
session 1
set 1
sets 1
seven 1
seyama 1
share 1
she 4
shibuya 1
shigekuni 2
shigeyuki 1
shingai 1
shinkawa 5
shinkawas 1
shintoism 1
shizuoka 1
shocked 1
shore 1
should 1
showa 1
shows 3
shrine 8
shwa 1
siam 1
side 1
sidesteps 1
significance 1
simultaneously 1
since 1
sit 1
situation 1
six 2
sleeping 1
slips 1
slowly 1
smilingly 1
snow 4
so 1
some 2
son 4
soon 1
south 1
southern 1
spare 1
speaking 1
spirit 1
split 2
spring 4
stab 1
stabs 1
start 1
starting 1
startled 2
starts 1
state 1
station 1
stay 1
still 1
story 2
strange 1
straw 1
strenuous 1
striking 1
stuck 1
student 3
studied 1
study 1
stunned 1
substations 1
success 1
suddenly 2
suffering 1
sugawa 1
suggest 1
suggesting 1
suggests 1
sugiclad 1
summer 1
summons 2
sumon 1
sunday 3
sunshine 1
supposedly 1
suppressed 2
surprise 1
surprised 1
surrender 1
surviving 1
survivors 2
swear 1
sword 1
swords 3
sympathetic 1
sympathy 3
take 1
taken 2
takes 2
taking 2
tale 1
talisman 1
talk 1
talkative 1
talks 1
tangerine 1
tea 1
teach 1
telegram 1
telephone 1
telling 1
tells 4
tense 1
testimony 1
th 2
than 2
thanks 1
that 43
the 207
their 5
them 9
then 4
there 3
these 1
they 22
third 2
this 6
three 5
through 2
throwing 1
tidal 1
tide 1
till 1
time 4
to 97
toin 4
tokyo 6
told 2
too 1
took 1
topknot 1
topple 1
tortured 2
touched 1
tournament 2
towards 1
trained 1
training 2
transformer 1
travels 1
trial 2
tribulations 1
tries 2
troops 1
trouble 1
tsuboi 2
tsujimura 1
tsumura 1
tsunanori 1
tsuruda 1
turn 1
turned 1
turns 2
tutor 1
twelve 1
two 4
ui 1
ukei 2
under 1
underway 1
unexpected 1
unit 1
units 1
unlikely 1
unsuitable 1
until 3
unworthy 1
up 6
urges 2
used 1
uses 1
vacation 1
verdict 1
very 1
villa 1
village 1
vision 1
visitor 1
visits 3
voices 1
vows 1
vulnerability 1
wanted 1
warns 2
warriors 1
was 9
washing 1
watching 1
way 1
we 2
weapons 1
wearing 1
week 2
weekend 1
weeks 1
were 1
west 1
what 3
when 10
where 1
which 5
while 5
who 8
whole 1
whom 3
whose 2
why 1
wife 1
will 4
wind 4
windfall 1
wing 1
wish 2
wishes 1
with 18
within 1
without 4
witness 3
women 1
wondering 1
words 2
worship 1
would 4
written 1
yamao 1
yamatodamashii 1
yanagawa 1
yasuoka 1
years 2
yen 3
yotsuya 1
you 1
young 3
youngest 2
youth 1
zaibatsu 1
