8762410
/m/027hw3z
/m/027hw3z
Jim Ottaviani
health 1
hed 1
hell 1
helper 1
henry 1
her 1
here 1
him 8
himself 1
hints 1
his 22
history 1
homo 1
hosted 1
house 1
how 1
however 2
hunter 1
illness 1
in 14
including 1
indian 2
insinuating 1
intends 1
intent 1
intention 1
interest 1
interpretation 1
into 1
introducing 1
investments 1
irritation 1
is 28
it 8
its 1
james 1
jersey 2
john 1
jr 1
killed 1
knight 11
knows 1
laelaps 3
land 2
larger 1
last 1
later 5
leader 1
leaping 2
learning 1
learns 2
leave 1
leaves 3
lectotype 1
left 1
legend 1
little 2
lizards 1
loan 1
lobbying 1
locked 1
long 2
longneglected 1
look 2
loss 1
lounging 1
low 1
luxuries 1
mammoth 1
man 1
many 2
markedly 1
marl 2
marsh 29
mastodon 3
mastodons 1
mcpherson 1
meanwhile 2
meets 4
men 3
mexican 2
misfortunes 1
mistaken 1
modern 2
moment 1
money 2
more 3
much 2
museum 1
narrative 1
native 2
natural 1
naturalist 1
nebraska 1
neck 1
never 1
new 7
no 2
north 1
not 4
novel 3
now 2
obsession 1
obtain 1
of 37
off 2
official 1
on 7
once 1
one 2
only 1
or 1
osborn 2
othniel 3
out 5
outbid 2
owner 1
painting 3
paintings 1
paleontologist 2
paper 2
paris 1
part 1
parts 1
paying 1
payment 1
pays 1
philadelphia 1
phineas 1
piqued 1
pit 1
pitiful 1
pits 1
plans 1
playing 1
pointless 1
points 1
pointscoring 1
portion 1
presentable 1
president 2
press 1
professor 1
promises 1
proportionate 1
providing 1
publication 1
published 1
pursuing 1
put 1
quakers 1
r 1
rather 1
rebukes 1
receiving 1
reconstruction 1
red 6
refers 1
rejoins 1
relates 1
remains 2
remarks 1
reminder 1
representing 1
requested 1
residence 1
responds 1
rest 2
return 1
returned 1
returns 1
revealing 1
reveals 1
revolver 1
rhoda 1
richest 1
ridiculous 1
rights 2
round 1
sabotage 1
sam 2
same 1
sapiens 1
saying 2
says 1
science 3
scientist 1
scoffing 1
sea 1
section 1
sections 1
see 1
selling 1
sending 1
serves 1
severe 1
share 1
sharps 1
shawnee 2
should 1
showing 1
showman 1
shows 1
shun 1
significant 1
site 1
situation 1
skeleton 1
smaller 1
smith 2
some 3
something 2
sorting 1
spare 1
specimens 2
speech 1
spent 1
spilled 1
spirit 3
spoiled 1
staff 2
states 1
stayin 1
steam 1
storeroom 1
storms 1
story 2
stuff 1
style 1
subtly 1
survey 5
suspended 1
t 1
tab 1
tail 1
taken 2
taking 1
talk 2
talks 1
team 1
teeth 1
telephone 1
telephony 1
tells 1
than 2
that 9
the 73
their 3
them 2
then 1
theory 1
there 2
they 1
third 1
this 4
three 1
thunder 1
time 4
times 1
title 1
titled 1
to 37
train 2
travels 3
tribe 1
true 1
try 1
trying 1
tusk 1
two 3
unguarded 1
united 1
unknowingly 1
unrelenting 1
unwittingly 1
up 1
us 2
usgs 4
utterly 1
various 1
veins 1
very 1
view 1
visiting 3
want 1
war 1
was 1
washington 1
way 2
we 1
wealthy 1
well 2
wellknown 1
were 2
west 4
when 3
where 2
whether 1
which 5
while 3
who 6
whose 2
wife 2
wigwam 1
will 1
with 15
withdrawn 1
workers 1
working 1
workmen 1
would 1
write 1
wyoming 1
yakwawiak 2
yale 1
years 1
yesterday 1
yet 1
york 2
zoos 1
