2423068
/m/07c08h
/m/07c08h
Michael Cunningham
d 1
daily 1
dalloway 12
dan 8
dangerous 1
darkening 1
day 6
days 1
dead 5
dealing 1
death 4
deathbed 1
deathwish 1
decades 1
decay 1
decides 5
decline 1
deepest 1
defeats 1
demanding 1
demands 1
demeanour 1
depends 1
describes 1
desire 3
desperate 2
desperately 1
desperation 1
despite 5
destiny 2
detached 1
detailing 1
details 2
detect 1
deterioration 1
determined 1
devastating 1
development 1
devoted 1
did 2
die 1
died 1
difficult 2
dinner 1
disappointed 1
discretion 1
discusses 1
do 3
does 9
doesnt 1
dog 1
doing 1
domain 1
domestic 3
domestication 1
dont 1
door 5
doubts 1
down 2
downstairs 1
downstream 1
dramatic 1
dramatically 1
dreading 1
dressed 1
droned 1
drops 1
drowning 2
dumps 1
during 1
dusk 2
duties 1
dying 2
each 2
early 1
earth 1
edge 1
edition 25
effortless 1
effortlessly 1
efforts 1
eighteen 2
eliot 1
embarrassed 1
embrace 2
emotions 1
encounters 1
end 3
ending 1
endlessly 1
enduring 1
energy 1
england 1
english 2
enjoys 2
enormous 1
enough 1
enters 4
entire 1
epiphany 1
equal 1
errand 1
escaping 1
essentially 1
estate 25
esteemed 1
etc 1
ether 1
evasively 1
even 2
events 2
eventually 2
every 2
everyday 4
everything 2
example 1
excelling 1
excited 1
exist 1
existing 1
experience 1
experimental 1
experiments 1
face 1
fact 2
failed 2
failure 1
fame 1
family 1
famous 1
fancier 3
far 3
fashions 1
fear 2
feed 1
feel 1
feeling 2
feels 7
felt 1
females 1
few 1
fiction 1
film 3
final 1
finally 2
find 1
finding 1
finds 2
finished 1
first 5
fit 1
fits 1
floating 1
floats 1
flower 4
flowers 7
fluid 1
foolish 1
foot 1
for 43
forces 1
forehead 1
form 1
fortune 1
forward 1
found 2
fourth 25
fragile 1
freewheeling 1
frequented 1
freshly 1
freud 1
friend 3
friends 1
friendship 1
from 7
full 3
fully 2
funeral 4
fur 1
further 1
fusses 1
future 1
garden 1
gay 2
general 1
get 2
gets 1
giantess 1
gifts 2
girl 4
girlhood 1
give 4
given 1
glimpse 1
go 5
god 1
goes 4
going 3
gold 1
good 3
got 1
gotthis 1
grass 1
grateful 1
graveshe 1
gravity 1
gray 1
great 5
greedy 1
grievances 1
guilt 1
had 16
hand 1
happen 1
happened 1
happier 1
happiness 4
happinessnow 1
happy 3
hard 1
has 26
hat 2
have 19
having 5
he 8
head 2
headache 2
heads 1
hearing 1
help 3
helping 1
helps 1
her 100
here 3
herself 17
hesitation 1
high 1
highlights 1
him 11
his 4
hit 1
hogarth 1
hold 1
holding 1
holds 1
holiday 3
home 4
hope 2
hoped 1
hopes 1
hoping 1
hospital 1
hosting 2
hour 1
hours 2
house 3
housewife 1
housewifey 1
how 3
however 3
humorously 1
husband 7
hustle 1
i 3
idea 1
ideas 1
ie 1
if 11
ignore 1
ill 1
illadvised 1
illness 5
image 1
imagery 1
imagines 1
impending 1
impersonating 2
implicit 1
implies 1
impossibly 1
impulses 1
in 75
inability 2
including 1
indeed 1
indefatigable 1
inefficiency 1
infertility 1
infidelities 1
inhabiting 1
innocence 1
inspiration 1
intact 1
intelligent 1
intense 1
intentions 1
interests 1
interrupted 1
into 7
invested 2
invited 2
invites 1
is 79
isnt 1
it 39
its 3
itself 1
ive 2
jealousy 1
jellyfish 1
jingle 1
jolted 1
judicious 2
jumpingoff 1
jumps 3
june 3
just 8
keep 1
kill 1
killed 1
kind 1
kiss 5
kissed 1
kissing 2
kitchen 3
kitty 17
knew 1
knows 6
laid 2
lapse 1
later 3
latest 1
laughing 1
laura 29
lay 1
lead 1
leaves 5
left 2
leonard 12
less 2
letters 1
lie 1
life 24
lifts 1
light 1
like 14
line 2
lingers 1
link 1
lips 1
literature 3
little 1
live 1
lives 1
living 1
london 6
loneliness 1
longingly 1
longings 1
looking 2
looks 1
los 1
lose 2
lost 2
lot 2
louis 7
love 6
loved 3
loves 3
lunch 3
lunching 1
mad 1
made 3
magnitude 1
maids 1
make 3
makes 1
making 3
man 1
manage 1
many 1
married 3
marry 1
marvels 1
mass 1
material 1
matronly 2
may 2
maybe 2
meanwhile 1
meeting 1
memories 1
memory 3
men 4
mental 5
mentioned 1
middleage 2
might 3
milinery 1
mind 3
miniature 1
mirroring 1
mirrors 1
misgivings 1
missing 1
modern 1
modest 1
moment 9
momentary 1
more 12
morning 4
mosquitoes 1
most 1
mother 3
mourn 1
mouse 1
movements 1
moves 2
movie 2
moving 1
mrs 9
mrsdalloway 3
much 5
must 2
my 1
name 1
narrative 1
nations 1
nature 1
navigates 1
nearly 1
negation 1
neglected 1
neighbour 1
neighbourhood 1
nelly 6
new 2
night 1
no 5
noisiness 1
none 2
nor 1
not 23
note 3
nothing 4
notices 1
novel 13
now 5
objects 1
observed 1
obvious 1
occasion 1
occurred 1
occurring 1
of 103
off 2
offering 1
offkilter 1
old 1
on 30
once 2
one 8
oneandahalf 1
only 4
onset 1
onto 1
opening 1
or 5
organising 1
other 10
others 2
ouse 1
out 10
outside 2
outweighed 1
over 3
overhead 1
overtures 1
overwhelms 1
own 6
p 1
p10 1
p100 1
p100101 1
p106 1
p11 2
p110 1
p121 1
p2 1
p27 1
p4 2
p44 1
p48 1
p5 1
p7 2
p70 1
p72 1
p73 1
p8 1
p83 1
p834 1
p84 1
p85 2
painfully 1
panic 1
panicked 1
paperback 25
parallel 1
paraphrases 1
part 2
particular 1
partner 4
party 10
passed 1
passes 1
passionately 1
past 2
patch 1
patriotism 1
pauses 1
paying 1
pear 1
pears 2
pen 1
people 2
perceived 1
perfect 3
perfection 1
perhaps 2
person 1
perversely 1
pet 1
petty 1
physical 2
picks 1
pie 1
piece 1
pitch 1
place 2
plans 2
playing 1
please 1
pleasure 1
plot 2
plumply 1
pocket 1
poet 2
poetry 1
points 1
politely 1
pond 2
ponder 1
port 2
possess 1
possibilities 1
possibility 1
possible 1
postwar 1
potent 1
powerful 1
predator 1
pregnant 1
prepare 2
prepares 3
preparing 3
present 3
presenting 1
press 3
pretending 1
previous 1
printing 3
privileged 1
prize 1
probable 1
probably 2
problem 1
problems 1
process 1
producer 1
producing 2
profound 1
profundity 1
progeny 1
prolong 1
prominent 1
promise 1
promising 1
prophetic 1
prospect 1
prosperous 1
protagonists 1
psychic 1
published 1
pudding 1
pulls 1
pulp 1
puts 1
putting 1
puzzles 1
queen 1
queens 1
question 1
questions 1
quickly 1
quite 1
quote 1
ralph 5
randomly 1
rather 2
raving 1
ray 1
read 1
reader 1
readers 1
reading 2
real 2
realises 1
realize 2
realizes 4
really 1
realm 1
reasons 1
receive 1
recently 1
recognises 2
recollection 1
recovered 1
reference 1
reflecting 6
reflects 2
refuses 1
relationship 4
relentless 1
relieved 1
remain 2
remained 1
remembering 1
remembers 1
reminded 1
reminds 3
remonstrance 1
render 1
renounce 1
renowned 2
represent 1
representation 1
represented 1
represents 2
repressed 1
requirement 1
requires 1
resigned 1
response 2
rest 1
restaurant 1
resulted 1
resumed 1
return 2
returns 2
revealed 2
reversal 1
richard 35
richie 5
richmond 3
right 2
river 2
riverbank 1
role 2
romance 1
romances 1
romantic 1
room 1
roses 2
ruminates 1
ruminations 1
run 1
running 1
s 1
said 2
sailing 1
sally 4
same 1
sandaled 1
sapped 1
says 2
scaffold 1
scandalously 1
scintillating 1
scolded 1
search 1
searing 1
season 1
second 2
secrets 2
see 2
seeing 1
seem 3
seemed 4
seems 6
seen 1
sees 1
sense 4
senses 1
sensibilities 1
sentence 1
sentences 1
serene 1
servant 1
servants 2
serve 1
set 1
shallow 1
shared 3
shares 1
she 142
shed 1
shock 1
shocked 2
shoot 1
shop 4
should 1
sights 3
sigmund 1
silently 3
silverwhite 1
simple 1
simply 1
simultaneous 1
since 1
singing 2
singular 1
sink 1
sip 1
sister 2
site 1
sits 1
skeptical 1
skill 1
skinned 1
sleeping 1
slightly 2
slippers 1
slothful 1
so 9
society 2
solving 1
somber 1
some 4
someone 1
something 4
sometimes 4
somewhat 1
son 5
sorrow 1
sorrows 1
sort 1
sounds 3
soup 1
sparks 1
speak 1
spent 1
sphere 1
spiked 1
spotting 1
squalid 1
square 1
stable 1
standing 2
stands 1
star 5
stares 1
start 1
state 1
stay 1
stems 2
sticking 1
still 6
stone 1
stop 2
story 1
strange 1
streamofconsciousness 1
striving 1
struggling 1
style 1
subjects 1
subjugated 1
subsequently 1
suburban 1
such 5
suddenly 3
suffering 1
suicide 6
summary 3
surface 1
susceptible 2
sussex 1
t 1
take 1
taken 2
taking 2
talents 2
talking 1
tap 1
tcells 1
tell 1
telling 1
tells 3
than 10
that 36
the 204
their 5
them 3
themselves 1
then 8
there 7
these 4
they 12
theyve 1
thing 3
things 1
think 2
thinking 3
thinks 8
thirty 2
this 21
thorns 1
thorough 1
those 1
thought 2
thoughts 4
three 1
thrill 1
through 3
thrown 2
time 7
to 98
today 1
together 2
told 1
too 4
toppled 1
touched 1
towards 3
trailer 2
transparent 1
trapped 2
tribute 1
trick 1
tried 2
tries 2
triumph 1
trivial 5
triviality 2
trouble 1
true 3
truly 1
trusted 1
truth 1
try 1
tv 1
two 8
unanticipated 1
unbalanced 1
uncaring 1
uncertainty 1
under 1
understanding 1
understands 1
undimmed 1
unexplored 1
unless 3
unmistakable 1
unmoored 1
unprepared 1
unremarked 1
unspectacular 1
up 4
uterus 1
value 1
vanessa 10
vast 1
vaughan 5
venture 1
very 1
via 1
vignettes 2
virginia 50
virtue 1
visit 2
visited 1
voice 1
voices 1
waking 1
walk 5
walked 1
walking 4
walks 2
walter 3
want 2
wants 5
war 1
warrant 1
was 18
watches 1
watchful 1
watching 1
way 6
we 2
weary 1
welcomes 1
welfare 1
well 1
were 1
what 19
whatever 2
when 8
where 6
whether 1
which 8
while 3
whilst 1
who 9
whole 3
whom 1
whose 1
why 4
wife 3
wild 1
will 21
window 1
wiped 1
with 37
withdraws 1
without 2
woman 4
women 4
won 1
wonders 3
woolf 16
work 7
working 2
world 9
worlds 1
worried 1
worth 1
would 12
wrapped 1
write 1
writes 2
writing 3
written 1
wrong 1
years 4
yellow 1
york 1
you 3
youd 3
young 4
yourself 1
youve 1
