4263584
/m/0bt0gp
/m/0bt0gp
Trudi Canavan
give 1
given 3
gives 4
go 2
gold 1
gong 1
great 1
greatest 1
greatly 1
grieves 1
ground 1
group 3
guide 1
guild 20
had 14
happen 2
happy 1
has 17
hated 1
have 13
having 3
he 48
head 2
headed 1
heading 1
healer 1
healing 4
heals 2
hear 1
hearing 1
hears 1
heavy 1
held 1
help 6
helped 1
helpers 1
helping 1
helpless 1
her 51
herself 4
hesitant 1
hesitantly 1
hidden 2
hide 2
hides 1
high 2
higher 5
him 17
himself 1
his 20
hold 1
holder 1
hole 1
hollow 2
home 2
hoping 1
hospital 2
house 1
houses 1
how 6
however 11
hunt 1
hunting 1
ichani 28
idea 1
if 10
illicitly 1
imardin 4
imminent 1
impose 1
in 39
including 3
increasing 1
indeed 1
indication 1
infiltrate 1
inform 1
information 3
informs 5
inside 2
instead 2
instructed 1
instructions 1
intend 1
intervene 1
into 2
invade 2
invasion 2
invasions 1
is 62
isnt 3
it 13
joined 1
joining 1
journey 2
kariko 2
kill 2
killed 6
killing 3
kills 1
king 4
kiss 1
knew 1
knife 1
know 2
knowledge 6
knows 4
kyralia 3
labeled 1
laced 1
lady 2
last 2
late 1
latent 1
later 2
latest 2
lays 2
lead 1
learn 5
learned 1
learnt 2
least 1
leave 2
led 1
left 4
length 1
life 3
like 1
lips 1
live 2
living 1
location 2
locking 1
lodgings 1
long 1
longstanding 1
look 2
looking 1
lord 9
lorkin 1
lorlen 5
losing 2
lost 3
love 3
lover 1
made 2
magic 24
magical 4
magically 1
magician 5
magicians 10
major 2
make 2
makes 1
man 3
manage 1
managed 1
manages 1
many 3
married 1
massacre 1
masses 1
masters 1
match 1
matter 1
may 1
meanwhile 2
memories 1
memory 1
met 1
mind 5
mine 1
mirror 1
misses 1
mission 1
months 1
more 6
moves 1
moving 1
much 2
murdered 1
murders 2
must 5
name 1
named 2
natural 1
nearly 1
necessarily 1
neck 1
need 4
needs 1
never 1
new 7
next 3
night 5
nightmare 2
nightmares 1
no 5
noble 1
nobles 2
not 15
notices 1
novice 5
now 5
obtain 1
obviously 1
of 56
off 2
office 1
ok 1
old 5
older 1
on 10
once 4
one 12
only 12
order 2
osen 3
other 4
otherwise 1
out 5
outcasts 1
outside 1
over 3
overcoming 1
overheard 1
overpowered 1
pair 1
parika 1
passage 2
passed 1
passes 1
past 2
perceives 1
perform 1
person 1
persuades 1
physically 1
pick 1
piece 1
place 1
plan 1
plans 2
pleased 2
poison 1
poisoned 1
policy 1
political 1
poor 2
position 1
positions 1
positively 1
possible 3
potential 1
power 15
powerful 4
powers 1
premises 2
prepare 1
prescriptions 1
prevent 2
prevented 1
previous 1
private 1
probably 1
problem 1
process 1
promises 1
provide 1
public 1
purge 1
pursued 1
question 2
questioning 1
queue 1
quickly 1
reach 1
read 3
reading 1
realises 5
realising 1
rebels 2
recognised 1
reconciled 1
reconsider 1
recurring 1
red 1
referred 1
refuses 3
regin 3
reinforced 1
relation 1
remain 2
remaining 1
rename 1
replace 2
replaying 1
reports 1
required 1
reserves 1
respect 2
responsible 1
restriction 1
return 6
returns 1
revealing 2
reveals 1
revenge 1
reversal 1
ring 2
road 1
roam 1
robes 2
room 3
rooms 1
rothen 6
rule 1
sachaka 6
sachakan 4
sachakans 1
sarrin 1
savara 3
saved 1
saw 1
saying 4
says 2
scene 1
sealed 1
search 2
searching 1
secret 7
secretly 1
see 4
seeing 2
seeks 1
seem 2
seems 2
sees 3
senses 1
sent 1
sentenced 1
sequel 1
servant 1
servitude 1
shake 1
shallow 1
she 55
shield 3
shocked 1
shortly 1
should 1
show 1
showing 1
shown 2
since 5
skill 1
slashes 1
slaughtering 1
slave 5
slaves 3
sleep 3
sleeping 1
slowed 1
slowly 1
slum 3
slums 2
small 1
smiles 1
so 1
solitude 1
some 5
someone 2
something 1
son 1
sonea 72
soon 1
soothingly 1
source 3
spare 1
spies 2
spots 1
springs 1
spy 11
stabs 1
start 3
started 1
starts 12
stay 1
stays 1
still 4
stopping 1
store 1
strange 1
stream 1
strength 1
strengthen 2
strikes 1
strong 1
struck 1
struggle 1
struggling 1
studies 1
such 1
suffered 1
supplement 1
supply 1
surprise 1
surprised 2
surprises 1
surrender 1
suspicious 1
takan 6
take 4
taken 1
takes 3
tale 1
talking 1
talks 1
taps 1
task 3
taught 1
tayend 2
teach 4
teaching 1
telepathy 1
tell 1
telling 1
tells 12
terrible 1
than 2
that 55
the 179
their 9
them 12
then 16
there 4
they 22
thieves 5
things 1
thinking 1
this 11
though 4
thought 1
threat 1
three 6
through 2
time 1
times 1
tire 1
tired 1
to 124
together 1
told 4
tomorrow 1
too 2
took 1
tooth 1
totally 1
training 3
traitor 1
trap 1
treat 1
tried 1
tries 3
trust 3
trusted 1
twenty 1
two 1
unable 4
under 1
underground 1
understands 2
undetected 1
unfortunately 1
university 1
unknown 1
unleashed 1
unlike 2
unsure 1
unwilling 1
up 1
upon 1
use 5
used 5
using 5
various 2
vengeance 1
venture 2
very 1
victims 2
victory 1
vinara 2
visits 1
volunteer 1
vows 1
wanted 1
wants 2
war 1
warriors 1
was 18
wastes 1
way 4
weak 2
weapon 1
wear 2
were 1
werent 1
what 8
when 11
where 5
whereby 2
which 7
while 6
whilst 3
white 1
who 9
whom 2
whose 2
why 4
widow 1
wielder 1
will 13
willing 1
wine 2
wish 1
wishes 2
with 27
without 2
witnessed 1
woman 4
won 2
wonder 1
wondered 1
wondering 1
wont 1
wood 1
worn 1
worried 1
would 9
wounded 1
wounds 1
writer 1
year 1
years 4
young 2
