26846306
/m/0bmbjqm
/m/0bmbjqm
Randall Robinson
embezzlers 1
emmanuel 1
employment 1
end 1
enjoy 1
entire 1
entitled 1
entourage 2
ernst 1
escaped 1
established 1
estimated 2
eugene 1
european 1
even 1
events 2
ever 1
example 1
extorted 1
faced 1
fact 2
fairly 1
families 1
family 1
fateful 1
father 1
favored 1
fear 1
fearful 1
february 6
feign 1
fellow 1
fewer 1
fight 1
fighting 2
finally 1
financial 1
finish 1
fire 1
fiveyear 1
fled 1
florida 1
foley 1
following 1
for 21
force 2
forced 1
forces 5
forcibly 1
foreign 3
forged 1
form 1
formally 1
formed 1
former 3
fought 1
france 5
franois 6
fraph 1
frederick 1
free 3
freedom 1
french 6
from 14
front 1
fruit 1
fully 1
functioning 1
funded 2
furthermore 3
garry 1
general 3
george 1
gerard 1
get 3
getting 1
give 1
given 1
global 2
godinvoked 1
good 1
goodman 1
governance 1
government 9
governments 2
great 1
greatest 1
grenade 1
grenades 1
group 1
groups 1
guarded 1
guatemala 1
guatemalan 1
gunboat 1
guy 3
guzman 2
guzmn 1
had 17
haina 1
haiti 19
haitian 17
haitians 5
half 1
harbor 1
has 2
hatillo 1
have 3
haywebster 1
he 14
helms 1
help 1
hemisphere 2
henri 1
here 1
him 4
hipolito 1
his 6
hispaniola 1
history 2
hold 1
hope 1
hospitals 1
hostilities 1
hostility 2
house 2
however 2
hull 1
hundred 1
i 1
if 3
illegal 1
immigration 1
importance 1
important 1
impose 1
impunityto 1
in 56
included 4
including 1
income 1
increased 1
indeed 1
independent 1
indicated 1
indicted 1
indirectly 1
influence 1
inherently 1
innocent 1
insane 1
installed 1
institute 2
insurrection 1
intelligence 1
interest 1
interests 3
interim 2
international 2
into 2
introduced 2
invade 1
invading 1
invariably 1
invasions 1
investigative 1
ira 1
iri 4
is 14
isidrio 1
island 1
it 11
its 5
izmery 1
jacobo 1
jacques 1
jailsand 1
jamaica 3
jamaican 2
january 1
jeanbertrand 2
jeanclaude 2
jefferson 3
jesse 1
join 2
jr 1
just 1
justice 1
keep 1
kidnapped 2
kill 1
killed 2
killers 1
kleptocrats 1
knew 1
know 1
known 2
knows 1
kurzban 1
lament 1
land 2
lane 1
large 1
largest 1
later 2
latortue 3
launched 1
launchers 1
law 1
lawful 1
lawyers 1
leader 2
leaders 1
learn 1
least 1
led 2
leslie 1
lethal 1
light 1
like 1
living 2
lodged 1
long 2
lost 1
louisjodel 2
louverture 1
lucas 1
m16 1
m16s 2
m50s 1
main 1
makers 1
malfeasance 1
man 1
manigat 1
many 1
march 1
margins 1
mark 1
massacred 2
master 1
mat 1
maxine 1
may 1
meanwhile 1
mechanisms 1
mejia 1
member 4
men 1
menace 1
mention 1
mevs 1
michel 2
might 1
military 4
million 1
minimum 2
minister 4
moderate 1
modest 1
mole 1
moment 1
money 2
monumental 1
morph 1
most 5
murder 1
murdering 1
nadals 1
namphy 1
nation 4
national 1
nations 2
native 1
nbc 1
neiba 1
neighborhood 1
networks 1
new 2
news 1
next 1
nicolas 1
no 2
nonprofit 1
noriega 1
normalized 1
north 1
not 4
nothing 2
november 2
now 3
number 2
obtained 1
occupying 1
occurred 1
of 85
offer 1
offering 1
office 7
officer 1
officers 1
official 1
officials 2
on 13
once 2
one 6
only 4
operation 1
opponents 1
opposed 1
opposite 1
opposition 4
or 8
ordered 1
organ 1
organization 1
organized 1
other 1
ought 1
out 7
overseas 1
overthrew 2
overthrow 1
overthrown 1
owed 1
own 2
owned 2
paramilitary 2
parliament 2
part 1
passage 1
patterson 2
paul 1
penury 1
people 3
per 6
perspective 1
peter 1
phillipe 4
pj 2
plant 1
plantation 1
player 1
police 3
political 1
politically 1
poor 3
population 1
populist 1
portrayed 1
ports 1
position 1
positions 1
post 1
poverty 2
power 3
powerful 1
practices 1
precedents 1
precinct 1
prepared 1
president 6
pretense 1
prevention 1
previous 1
prime 2
prior 1
private 1
proclaimed 1
prodemocracy 2
profitable 2
program 1
progress 1
prosper 1
protect 1
provided 1
prval 1
psychopath 1
public 1
purpose 1
quantities 1
quarantines 1
quash 1
quite 2
quoted 1
quotes 1
race 1
rafael 1
raised 2
ramification 1
ramsey 1
randall 1
raul 1
ravix 1
rbenz 1
real 2
reason 1
rebel 1
rebellion 1
rebels 5
received 1
record 1
reduce 1
reelected 1
reforms 2
regimes 1
relations 2
release 1
relentless 1
remained 1
removal 3
removed 3
ren 1
reparations 2
report 1
reported 1
reporter 1
represents 1
republic 15
republican 3
republicans 2
request 1
rescinded 1
resolution 1
response 1
restitution 1
restored 1
result 1
revenues 1
revolt 2
revolutionaries 2
revolutionary 1
rice 1
rich 1
rifles 1
right 2
robinson 28
roger 2
rolled 1
roughly 1
routinely 1
ruled 1
rulers 1
runners 1
rural 1
ruthlessness 1
sadists 1
said 2
san 2
sanctions 1
saturday 1
say 1
saying 1
says 1
school 1
schools 1
scuttle 1
sea 1
second 1
secretary 2
senate 1
senator 2
sending 1
senior 1
serious 1
service 1
several 1
sharon 1
shaw 1
shed 1
shipping 3
shortly 2
showed 1
side 1
sidney 1
signed 1
significant 2
simn 1
since 1
slaughtered 1
slave 3
slavery 3
slaves 3
so 3
social 1
society 1
soldiers 2
solutions 1
some 2
south 3
special 2
splinter 1
spoke 1
sponsored 1
spread 1
spreading 1
squad 2
st 1
standard 1
stanley 1
starved 1
state 1
stated 2
states 16
stating 2
stations 1
still 1
story 1
strategic 1
strong 1
structured 1
stunning 1
subsidized 1
subversions 1
subversive 1
succeeded 1
successful 1
such 2
supply 1
support 2
supported 4
supporters 1
surrounding 1
sustain 1
take 1
tanos 2
television 1
tell 1
term 2
than 2
thank 1
that 29
the 195
their 5
them 1
themselves 1
then 4
there 6
thereby 1
these 1
they 13
thirds 1
thirty 1
this 7
thomas 1
those 3
thousand 1
thousands 1
threatened 4
threatening 1
through 1
thugs 1
thus 1
ties 1
time 2
to 65
told 1
took 2
torching 1
toussaint 1
toward 1
towards 2
trade 2
train 1
trained 4
training 1
transported 1
treatment 1
tried 1
troops 1
trujillo 2
tumultno 1
turned 1
twice 2
two 2
twotiered 1
tyrannical 1
unconditional 1
under 4
unelectable 1
unelected 1
united 9
unlike 1
until 2
us 22
useless 1
valued 1
veil 1
very 2
victory 1
villages 1
villepin 1
violence 1
voluntary 1
vote 1
w 1
wage 2
wanted 1
war 1
was 18
washington 2
waters 1
way 1
we 2
wealth 1
wealthiest 1
wealthy 2
welcome 1
were 14
western 2
what 1
whatever 1
when 5
whenever 1
where 1
wherever 1
which 3
who 3
whod 1
wholly 1
wife 1
will 2
williams 1
willsfrom 1
windward 1
wing 2
with 11
within 1
won 1
worked 4
world 5
would 3
years 5
