345005
/m/01ylw1
/m/01ylw1
Jerry Pournelle
discovers 1
discovery 1
disease 1
dissipate 1
dissipating 1
distant 1
distrust 1
doctors 1
domelike 1
domes 1
doomed 1
door 1
doors 1
drive 9
driven 1
due 2
duly 1
during 4
each 3
earth 1
easier 1
easily 1
eddie 6
effect 1
eight 1
either 1
embassy 1
empire 3
enabling 1
encountered 1
end 1
endless 1
ends 2
energy 2
engineer 1
engineers 1
enough 4
ensure 1
ensures 1
enter 1
entire 2
entirely 1
environment 1
envoys 1
eradicate 1
erupts 2
escape 1
escaped 2
escort 1
especially 2
establish 2
establishes 1
establishing 1
evacuation 1
even 5
events 1
eventually 5
every 2
everything 1
evidence 1
evidently 1
evolved 1
exactly 1
exhibits 1
exist 1
existence 2
exit 1
expand 2
expands 1
expansion 1
expedition 2
experience 1
explanation 1
explicit 1
exploring 1
explosion 1
exponentially 1
expression 1
eye 5
face 4
failed 1
failurethe 1
family 1
far 1
farmers 1
faster 4
fatalistically 1
female 1
feudalism 1
few 1
field 5
filled 1
finally 1
find 2
fired 1
first 5
fissionable 1
fleet 2
flexible 1
following 1
fomenting 1
for 15
force 2
forced 1
forces 1
form 2
formidable 1
forms 1
fortified 1
fortunately 1
found 2
foundation 1
four 1
fowler 3
fragments 1
friendly 1
from 8
front 1
fur 1
furiously 1
futile 1
fyunchclick 2
galaxy 1
gathered 1
gavin 1
generation 1
given 2
giving 1
god 2
goes 1
govern 1
granting 1
greater 1
greed 1
group 2
groups 2
growth 1
had 5
has 7
have 14
having 1
he 2
head 1
heat 3
helpless 1
her 3
hermaphrodites 1
high 2
highly 1
him 2
his 2
history 1
hollowedout 1
home 3
hooded 1
horace 1
hormone 1
horst 1
hot 1
how 1
however 5
human 10
humanity 3
humans 11
hundreds 1
hussein 1
hybrids 1
idea 1
ideal 1
if 2
images 1
imbalance 1
impending 1
imperial 5
impossible 1
improved 1
improvement 1
in 32
includes 1
including 3
increases 1
increasing 1
indeed 1
independently 1
industrial 1
inevitable 3
inevitably 1
infanticide 1
infertile 1
infestation 1
inform 1
information 1
injury 1
innately 1
inplace 1
insane 1
inside 1
inss 1
instantaneously 1
instructions 1
intact 1
intelligent 1
intended 1
intense 1
intercept 1
intercepts 1
interstellar 2
into 4
investigate 1
is 47
it 22
its 7
itself 2
ivan 1
jock 1
jonathon 1
jump 4
keeper 1
kevin 1
kill 1
killed 1
km 1
knowledge 3
known 3
kutuzov 2
labeled 1
lady 1
landing 1
langston 4
larger 2
laser 1
later 2
lavrenti 1
layers 2
leading 2
leads 1
learned 1
learning 1
leave 1
lenin 7
let 1
lifeboats 1
like 2
limited 2
literal 1
little 1
lives 1
living 2
local 1
located 2
locked 1
long 3
longer 2
lord 1
losing 1
loyal 1
macarthur 15
macarthurs 2
maintained 1
majority 1
makes 3
malice 1
man 3
manages 2
mannerisms 1
many 1
mars 1
mass 1
massive 1
master 2
masters 5
materials 1
meats 1
mediator 4
mediators 3
meet 1
members 1
merchant 2
message 1
midshipmen 3
million 1
minority 1
mission 4
more 6
mote 14
motie 17
moties 23
motivated 1
much 3
multiple 1
murcheson 2
museum 1
museums 2
must 1
mutation 1
mythical 1
nearby 1
nebula 1
needed 2
negotiate 1
negotiation 1
nervous 1
never 1
neverending 2
new 8
next 1
niece 1
no 5
nobody 1
not 4
note 1
nuclear 1
numerically 1
occupant 1
occupied 1
occurs 1
of 79
officer 1
official 1
old 1
on 15
once 2
one 5
only 6
open 1
openly 1
opposite 1
option 1
or 6
order 2
orders 2
organized 1
origin 1
ostensibly 1
other 3
others 2
out 1
outer 2
over 3
own 1
pair 1
participated 1
particular 2
parts 2
party 2
passenger 1
peaceful 1
people 1
perfectly 2
perform 1
perhaps 1
period 1
permanent 1
permitted 1
permitting 1
persuades 1
phase 1
photosphere 1
pilot 2
plagued 1
planet 7
planets 5
planning 1
point 6
points 1
political 1
population 8
porters 1
portrayed 1
position 1
possess 1
possibilities 1
possible 1
postpone 1
potter 1
powerful 2
predecessor 1
predicting 1
pregnant 1
preserved 1
pressure 1
presumably 1
prevent 1
prime 9
prior 1
prisoner 1
private 1
probably 1
probe 2
problem 1
proceed 1
process 1
produce 1
productivity 1
profit 1
propelled 1
properties 1
proposed 1
protective 2
provide 1
put 1
puzzle 2
quickly 1
quietly 1
race 1
ranks 1
rate 2
rates 1
rather 1
reach 2
reached 1
reaction 1
realizing 1
rebellion 1
rebellious 1
rebels 1
rebuilding 1
recalled 1
receives 1
recognizes 1
reconstructed 1
reconstructions 1
recovering 1
red 2
redesigning 1
refused 1
related 1
relatively 2
remaining 1
remains 2
remarkable 1
remnants 1
rendezvous 1
renner 1
repaired 1
repeating 1
repopulate 1
repopulated 1
represents 1
reproducing 1
requires 1
rescued 1
research 1
resembling 1
resigned 1
resisting 1
restore 1
result 1
resulting 2
return 2
returns 1
reunification 1
reunited 1
reveal 2
reveals 2
revolt 1
rid 1
right 1
rise 1
risen 1
rises 1
roderick 1
runners 2
ruthless 1
safeguard 1
sail 1
sailing 1
sally 5
sandra 1
sane 1
saying 1
scotland 1
second 1
secret 2
secretly 1
secrets 1
sector 2
security 1
see 1
seeking 1
seem 1
seemingly 1
seems 2
sees 1
selfdestructive 1
senator 1
send 2
sent 1
sequential 1
series 1
serve 1
several 2
sex 1
share 1
shattered 1
ship 8
ships 7
shock 1
side 2
similar 1
simply 1
simultaneously 1
since 6
single 3
skills 1
slowly 1
smaller 2
so 3
society 1
solar 1
soldier 1
solution 3
solve 3
some 5
something 1
soon 1
space 1
spacecraft 1
sparta 1
specialized 1
species 3
specific 1
specifically 1
speech 1
speed 1
spine 1
split 1
staley 1
star 6
stars 2
stay 1
step 1
sterile 1
sterilized 2
stopped 1
strikes 1
stronger 1
structure 1
studying 1
subject 1
sublight 1
subspecies 2
successfully 1
such 2
sunlike 1
supergiant 4
superheated 1
superior 2
suppression 1
supremely 1
surface 3
survive 3
surviving 1
suspected 1
swamp 1
system 9
systems 4
take 2
taken 1
takes 2
taking 2
tasks 1
teams 1
technical 1
technologically 1
technology 3
temporary 1
termination 1
than 5
that 18
the 197
their 14
them 4
themselves 1
then 2
there 4
these 2
they 16
think 2
this 11
those 3
though 1
thousands 1
threat 1
three 4
through 2
thus 2
time 3
tiny 1
to 87
told 1
too 2
tools 1
tore 1
trade 1
trained 1
tramline 5
transcoalsack 1
travel 1
traverse 1
trustworthy 1
two 4
type 4
typically 1
ultimate 1
ultimately 1
unavoidable 1
uncontrollably 1
unconventional 1
underlying 1
unfortunately 1
unique 1
unknowingly 1
unknown 1
unless 2
unlike 1
unlimited 1
unlocks 1
unpopulated 2
unrelated 1
unsupervised 1
until 1
unworkable 1
up 3
upon 1
use 3
useless 1
using 2
vacuum 1
various 1
verge 1
version 1
very 2
victory 1
view 1
violation 1
violent 1
violently 1
voice 1
war 4
warrior 1
warriors 1
wars 3
was 4
watchmakers 5
way 1
weakness 1
wealthier 1
weapon 1
weaponry 2
weapons 2
wellkept 1
were 1
when 3
where 1
which 7
while 4
whitbread 2
white 1
who 11
whole 1
whose 1
will 4
willing 1
with 21
within 2
without 2
works 1
worlds 1
worthwhile 1
would 5
year 1
years 3
yellow 3
yet 1
