43023
/m/0btc7
/m/0btc7
Jonathan Swift
resources 1
rest 2
restatement 1
results 1
retrieves 1
return 1
returns 3
roam 1
rocks 1
rocky 1
roof 1
royal 1
ruin 1
rulers 1
rules 1
safely 1
sailing 1
sailors 1
sails 1
satire 2
savage 1
saving 1
scale 1
schemes 1
science 1
sea 2
seaside 1
see 3
seems 1
sees 1
seized 1
semblance 2
sentenced 1
september 1
several 1
she 2
ship 4
shipwreck 1
short 2
shortly 1
show 1
shown 1
sidetrip 1
since 1
small 3
smell 1
so 1
society 1
softening 1
some 4
spanish 1
speaking 1
spending 1
spots 1
stables 1
state 1
stay 1
stealing 1
step 1
storms 1
struldbrugs 1
style 1
subdue 1
subjects 1
such 3
suffer 1
sunbeams 1
surgeon 1
surprised 1
suspicious 1
swift 3
symbolized 1
take 1
taken 1
takes 2
tall 2
than 1
that 8
the 78
their 8
them 2
theme 1
themselves 1
then 3
there 2
they 4
this 6
though 1
throwing 1
time 3
tiny 1
to 46
too 1
topical 1
tours 1
trader 1
trampling 1
travel 1
travelling 3
travels 2
treason 2
treats 1
trip 1
truly 1
turned 1
two 1
unable 2
uncovering 1
unfortunates 1
up 1
upon 4
use 5
uses 1
versus 1
vices 1
violent 1
visits 1
voyage 2
voyages 1
waiting 1
want 1
wants 1
warfare 1
was 4
washed 1
wasps 1
water 2
when 1
where 3
which 8
while 2
who 6
whom 1
whore 1
wife 1
will 1
wise 1
with 10
without 1
word 1
would 1
wrote 1
yahoo 2
yahoos 3
youth 1
