408735
/m/024s_f
/m/024s_f
Alastair Reynolds
reasonably 1
redemption 1
redirected 1
reefersleep 1
reflecting 1
refugees 2
relevant 1
religious 1
reminisces 1
remontoire 3
remove 1
reorganize 1
repository 1
rescue 1
rescues 1
rest 1
retreat 1
return 2
returning 1
returns 2
reunite 1
revealed 1
revealing 2
reveals 2
right 1
righthand 1
rogue 1
rotation 1
roughly 1
same 2
save 1
saved 1
saw 1
scorpio 12
scrimshaw 3
scuttlers 4
sea 1
search 1
second 1
sections 1
seeks 2
seems 1
selfreplicating 1
sends 2
sensory 1
sent 1
separate 1
set 2
settled 1
several 1
shadows 6
shard 1
she 12
ship 9
ships 1
showed 1
shown 1
shuttle 5
side 1
signal 1
similar 1
skade 3
smaller 1
so 6
society 1
solar 1
soldiers 2
some 2
space 4
special 1
spend 1
spinning 1
spread 1
standing 1
star 2
stares 1
stars 2
stop 1
stopped 1
story 2
such 5
suffers 1
suggests 2
suit 3
supporter 1
supporters 1
surface 1
survive 1
survivors 1
swim 1
system 4
systems 2
take 3
takes 1
talking 1
team 1
technology 2
tell 1
tells 1
terraformers 1
terraforming 1
that 15
the 123
their 3
them 12
themselves 1
they 19
this 3
thousand 1
threat 2
throw 1
time 2
timeline 1
to 53
too 1
tortured 1
towards 3
town 1
tracks 1
transport 1
tries 1
trillions 1
trying 1
turned 1
units 1
universe 1
unnamed 1
until 3
up 3
upper 1
use 1
used 1
uses 2
valuable 1
vanishes 1
vanishings 1
various 2
vasko 2
vegetationfilled 1
vehicle 1
version 1
very 1
viruses 1
wakes 1
walk 1
wants 1
war 2
warn 1
was 1
watching 2
way 2
weapon 2
weaponry 1
wearer 1
well 1
were 3
what 2
when 1
whenever 1
where 2
whether 1
which 12
whilst 1
who 9
whose 1
why 1
will 2
wiped 1
with 12
without 2
woman 3
womb 1
working 1
would 2
year 2
years 3
yellowstone 3
young 1
