1069701
/m/0438_v
/m/0438_v
Yukio Mishima
prophetic 1
proposals 1
punish 1
question 2
quickly 1
rain 1
rama 2
rank 1
reactionary 1
read 1
realise 1
realises 1
reality 1
rebuffed 1
receive 1
received 1
receives 2
receiving 1
recently 2
refuses 1
regiment 1
reincarnation 1
rejected 1
relationship 1
relative 1
reminds 1
removing 1
repeatedly 1
replies 1
reproducing 1
required 1
rescued 1
resentment 1
resents 1
resolved 1
resolving 1
respect 1
respectively 1
responds 2
restaurant 1
return 4
returns 2
reveal 1
revealed 1
revealing 1
reveals 1
revenge 1
revered 1
rewarded 1
rickshaw 2
ride 1
ring 3
rising 1
ritual 1
role 1
rooms 1
row 1
russojapanese 1
safekeeping 1
same 2
satisfaction 1
satoko 37
save 1
scene 1
school 7
schoolfriend 1
schoolroom 1
screen 1
sea 1
search 1
second 1
secret 2
secretly 1
see 8
seeing 1
sends 1
sent 1
serious 1
sermon 1
services 1
set 1
sex 1
shan 1
shattered 1
she 15
shibuya 1
shielding 1
shigekuni 1
shigeyuki 2
shinkawa 1
shocked 1
shortly 2
should 2
show 1
shown 1
shrine 1
shudder 1
siam 3
sick 2
side 1
significance 1
similar 1
sincerely 1
sister 1
situation 1
six 1
skip 1
skull 1
sleep 1
slips 1
snow 2
so 1
society 1
soldiers 1
solidifies 1
son 4
spends 1
spurns 1
square 1
standing 1
startled 1
starts 1
state 1
steward 1
still 1
stolen 1
stop 1
store 1
story 1
stretches 1
stroll 1
strongly 1
study 2
stuffy 1
stumble 1
style 1
subject 1
succeed 1
such 1
sudden 2
suddenly 1
suicide 1
summer 1
summoned 1
sunday 1
supportive 1
supposed 1
sure 1
surprise 1
suspects 1
sweetheart 1
t 1
tadeshina 7
taish 1
take 1
takes 4
taking 1
talking 1
talks 1
tearfully 1
tears 1
telegram 1
telephones 1
telling 1
tells 3
temple 2
tempted 1
ten 1
thai 2
than 1
that 29
the 150
theatre 1
their 1
them 5
themes 1
then 2
theory 1
there 4
they 16
third 2
this 7
thousands 1
threatens 1
three 2
through 3
throws 1
thwart 1
time 4
times 1
to 73
toin 3
toinnomiya 1
tokuri 1
tokyo 6
too 1
top 1
torchlight 1
tore 1
torn 1
torso 1
touch 1
towards 1
train 1
transport 1
travel 2
tries 1
trudge 1
trysts 1
turning 1
turns 2
tutor 4
twentyeight 1
two 5
ultracorrect 1
unapologetic 1
unfolding 1
unpleasant 1
up 5
upon 1
upstart 1
urin 1
very 2
vi 1
viewing 1
villa 4
virginity 1
vision 1
visit 2
visited 1
visits 1
vital 1
walks 1
war 1
was 2
waterfall 1
way 1
we 4
weakwilled 1
wealth 1
wears 1
week 1
werent 1
westernization 1
what 3
when 4
where 2
which 6
while 3
who 6
wife 2
wildly 1
will 2
windowsill 1
with 20
witness 1
witnessed 1
womanising 1
women 1
worshipping 1
would 1
writes 1
written 1
yards 1
year 3
years 3
ying 3
you 2
younger 1
yuan 1
yuishiki 1
