2082335
/m/06kz4g
/m/06kz4g
Jasper Kent
male 1
man 5
many 2
marijuana 2
mark 7
marshmallow 1
massacre 1
mate 1
matthews 1
may 1
meet 3
meets 4
merchant 1
mike 32
model 2
modelling 1
molly 5
moment 2
money 2
more 4
morning 1
mother 3
much 1
murder 1
murders 1
musing 2
my 1
mysterious 1
named 3
nana 8
narrative 3
nearby 2
new 6
next 1
night 2
not 8
novel 3
now 2
number 3
observes 1
of 32
off 1
offers 1
old 5
on 17
once 1
one 1
only 1
opens 1
order 1
other 2
out 7
outside 1
over 2
overnight 1
overview 1
overwhelmed 1
page 2
pale 4
parents 1
paris 1
park 1
part 6
party 17
partygoers 1
passing 1
peers 1
people 1
perfect 1
period 1
person 1
perspective 1
philosophizing 1
phone 3
piranhas 1
pizza 1
place 2
placed 3
player 1
plays 1
please 1
pockets 1
police 1
pornography 1
pot 3
prepares 1
private 1
privileged 1
profession 1
projects 1
psychiatrist 2
pub 1
pulls 2
punches 1
quickly 1
quite 1
rage 1
rampage 1
read 1
reads 1
realises 2
rec 2
receives 1
reluctantly 2
remembers 1
reminiscing 1
requesting 1
resolves 1
restaurant 1
returns 1
revealed 1
revolver 3
rich 1
ride 1
rink 2
room 3
rothko 7
rushes 1
sailor 1
sale 1
same 1
sara 9
scene 2
school 8
schurz 1
score 2
scotch 1
sean 3
see 2
seen 1
sees 1
sell 1
selling 1
sells 4
senior 1
several 1
sex 2
sexual 1
shady 1
she 22
shift 1
shifts 3
shoot 2
shoots 1
shop 1
shops 1
shot 1
show 1
showing 1
shows 2
shrine 1
silence 2
since 2
skate 1
skating 1
smart 1
smash 1
smoke 2
smoking 1
snap 1
so 2
sodas 1
some 11
son 1
speaking 1
sporadic 1
spot 1
stand 1
star 1
state 1
states 1
stay 1
stealing 1
steps 1
stereo 1
still 1
stop 1
store 1
story 1
strikes 1
students 2
studying 1
stuffed 1
submachine 2
succumbed 1
supermarket 1
supplies 1
surgery 2
survived 1
sven 6
sword 1
take 1
taken 2
takes 5
taking 2
talk 3
talking 1
taxi 1
taylor 1
television 1
tell 1
telling 2
tells 4
tempts 1
than 1
that 12
the 93
their 5
them 4
then 16
there 4
they 9
thinking 4
this 1
those 2
though 1
threaten 1
through 3
throwing 2
throws 1
time 1
timmy 7
title 1
to 64
tobias 4
together 1
toiletries 1
told 1
tonight 1
too 1
took 1
towel 1
town 3
train 2
trashes 1
tries 3
trip 1
turn 1
twelve 6
two 3
tycoon 1
unaware 1
under 3
undergoes 1
underwent 1
up 6
upstairs 1
usings 1
uzi 1
verified 1
vernacular 1
violence 1
virginity 2
visit 1
visits 3
wakes 3
walk 2
walking 1
wall 1
wannabe 1
wannabeauthor 1
wants 2
warren 1
was 3
watches 1
watching 1
we 7
wealthy 2
weapons 2
weed 8
weirded 1
well 1
were 1
what 1
when 7
where 4
which 3
while 1
white 32
who 24
why 1
will 4
winter 1
with 23
witnessed 1
witnesses 1
wondering 1
wonders 2
world 1
wound 1
wrapped 1
year 7
years 1
york 2
