70829
/m/0jb2_
/m/0jb2_
Carlo Collodi
enough 1
enter 1
escapes 2
eugene 5
even 2
ever 1
everyone 4
exact 1
exceedingly 1
excellently 1
expense 1
explain 1
explains 2
extremely 1
faints 1
fairy 16
falcon 1
falls 1
famous 1
far 2
farmer 7
fate 1
father 6
feet 3
field 3
fighting 1
finally 2
find 6
finds 5
fine 2
finished 2
firewood 1
first 1
fish 3
fisherman 1
five 1
flee 1
flock 1
flour 1
fly 1
follows 3
food 7
fooled 1
foolish 1
foolishness 1
foot 1
for 20
forest 4
former 1
forty 2
found 1
four 2
fox 11
free 1
frees 1
freezing 1
freshly 1
friend 3
friendly 1
friends 1
fright 1
frightened 1
from 7
front 1
furthermore 1
geppetto 23
get 3
gets 3
ghost 1
give 6
given 1
gives 6
go 6
goes 4
going 2
gold 8
gorge 1
gorilla 1
gotten 1
grab 1
grabs 1
grapes 2
grateful 1
gratitude 1
gravestone 1
great 1
green 1
greeted 1
group 2
grow 7
grows 2
guard 1
had 5
hair 1
half 1
hammer 1
hand 1
hang 1
happened 2
happily 2
hard 2
harlequin 1
has 17
have 5
having 1
he 79
head 1
heads 6
healthy 1
hearing 1
help 3
helping 1
henhouse 1
her 3
heroically 1
hides 1
high 1
him 31
himand 1
himself 4
hint 1
hints 1
his 35
hisses 1
hits 1
home 6
honors 1
hookey 1
hoping 1
house 8
however 5
hurt 1
if 6
ignores 1
ill 1
immediately 1
imprisons 1
in 31
injuring 1
inn 1
inside 2
instantly 1
instead 1
into 13
invite 2
ironically 1
is 53
island 2
it 15
jail 1
jailbut 1
job 1
john 1
journey 2
judge 2
jug 1
jump 1
just 1
killed 1
kills 1
kindly 1
kindness 1
kinds 1
kisses 1
knock 1
knocked 1
knocks 1
know 1
known 1
lady 2
lame 1
lampwick 5
land 1
large 1
last 1
later 1
laughs 1
leaps 1
learns 1
leave 2
left 1
leg 2
let 3
lie 1
lies 2
light 2
live 2
lived 1
living 4
loaned 1
locks 1
log 2
long 4
longer 3
looking 1
lost 1
loudly 1
made 1
make 3
makes 1
making 1
man 4
manage 1
mangiafuoco 2
mangy 1
marionette 10
master 1
me 1
meal 1
medicine 2
meet 1
meets 5
melampo 1
middle 1
minted 1
minutes 2
miracles 3
miraculously 1
mistaken 1
mistreated 1
money 7
months 2
more 2
morning 2
mother 3
mourns 1
mouth 1
move 1
much 1
music 1
must 2
named 2
names 1
nearest 1
needs 1
neighbor 3
net 1
never 2
new 3
next 3
night 5
no 3
normal 1
nose 6
not 4
nothing 3
now 5
obedient 1
obey 1
of 27
off 9
offers 2
ogre 2
old 2
on 13
one 4
only 3
onto 1
opens 1
opportunity 1
or 3
originally 1
other 2
our 1
out 13
outside 1
over 4
owl 1
owner 1
pair 1
parents 1
party 1
pass 1
passes 2
pawwhich 1
pears 1
pennies 2
people 2
perfect 1
performance 1
perhaps 1
perplexed 1
piece 1
pieces 1
pigeon 1
pinewood 1
pinocchio 100
place 2
placing 1
planning 1
plans 2
plant 1
plants 1
play 1
playing 1
plays 1
playuntil 1
plead 1
pleads 2
police 2
policemen 2
poodle 1
poor 2
position 1
pours 1
prepares 1
presumably 1
prison 2
prisoners 1
promises 3
promising 2
punch 1
puppet 2
puppeteer 1
puppets 1
rabbits 2
raid 1
reach 2
real 3
realizing 1
really 1
recognized 1
recognizes 2
red 1
refuses 2
released 1
remains 1
remind 1
rescue 1
rescues 2
resigned 1
result 1
resuming 1
return 1
returns 2
reunited 1
revive 1
reward 1
ride 2
rises 1
rob 1
romeonicknamed 1
room 2
rosaura 1
rough 1
runs 2
saved 2
saves 1
saw 1
say 1
saying 4
says 11
school 9
schoolbook 1
schoolboys 1
sea 2
search 1
seashore 2
seawhen 1
see 3
seeing 1
sees 3
sells 3
sends 3
serpent 4
set 1
shark 6
she 7
ship 1
shocked 1
shore 3
short 1
should 1
shouts 1
show 1
showing 1
shown 1
shrink 1
sidetracked 1
signora 1
since 2
sister 1
skin 2
skinny 1
slow 1
small 1
smoking 1
snail 8
snake 1
sneaking 1
so 4
sold 2
some 3
something 1
son 1
soon 3
sorrow 1
sounds 1
speaks 1
special 1
sprains 1
squirrel 1
starts 4
stay 2
steal 1
step 1
still 1
stop 1
stopping 1
stops 1
story 1
stove 1
strike 1
struck 1
struggle 1
stuck 1
suddenly 1
suffers 1
suffocate 1
sugar 1
suit 2
supporting 1
swallowed 3
swim 2
swimming 1
swims 1
table 1
tail 2
tailless 1
take 7
taken 1
takes 2
taking 1
talking 5
tall 1
teaches 1
tell 3
telling 1
tells 8
terrible 2
that 28
the 181
theater 2
their 1
them 9
themselves 2
then 10
there 1
they 18
thinks 1
thirdstory 1
thirdthe 1
this 1
though 1
thousand 2
three 2
through 1
throws 3
tickets 1
ties 1
time 2
tired 1
to 116
together 1
too 3
toppling 1
toward 1
town 3
toyland 1
trained 1
trap 1
tree 3
trick 1
tricks 1
tries 4
truant 1
truth 1
truthful 1
try 2
tuna 3
turn 1
turns 1
turquoise 1
tuscany 1
twenty 2
two 5
unable 1
uncertain 1
underwater 1
until 4
up 6
upon 1
upset 1
use 1
utters 1
ventures 1
very 1
visited 1
wait 2
waiting 2
wakes 3
walk 1
wants 2
warm 1
was 4
washed 1
watchdog 1
water 4
waves 1
way 5
weasel 1
weasels 3
weeps 1
well 1
went 1
whale 1
what 5
when 9
where 6
which 5
while 7
white 1
who 15
whom 1
whose 1
why 1
will 15
window 1
with 17
within 1
wolf 1
wonderful 1
wood 1
woodcarving 1
wooden 1
woodpeckers 1
work 2
working 2
works 1
worseno 1
yard 1
young 1
