1567266
/m/05b_kj
/m/05b_kj
Herman Wouk
inspectors 1
instead 1
insure 1
intended 1
interned 1
into 7
invasion 1
invasions 1
investigate 1
involved 1
involves 1
iowa 1
is 63
island 1
isnt 1
it 8
italian 3
italy 2
items 1
its 1
janice 3
japanese 3
japs 1
jastrow 16
jastrows 1
jedburgh 1
jew 3
jewish 3
jews 6
jim 1
join 2
joins 1
journalist 1
journey 1
jr 1
july 1
june 1
just 2
kidney 1
kill 1
killed 5
killing 1
killings 1
kills 1
king 1
kirby 1
know 1
kommando 2
krebs 1
lady 1
lament 1
land 1
landing 2
landings 2
landmine 1
largest 1
last 2
late 3
later 3
lawrence 1
leaders 1
leads 1
learns 1
leave 2
leaves 4
leaving 2
led 1
lendlease 1
leningrad 1
leslie 1
leyte 2
lieutenant 2
life 2
like 1
lindsey 1
lisbon 2
lived 1
locates 1
logistics 1
long 1
longrange 1
lord 2
los 1
loss 1
louis 15
love 4
lover 1
loves 1
loyal 1
made 1
madeline 5
main 2
maintain 1
major 2
makes 2
making 1
man 1
managing 1
manhattan 1
marriage 2
marries 3
marry 2
marseilles 1
massacres 1
mccluskey 1
me 1
means 1
medal 1
meeting 1
meets 2
member 3
members 1
memoirs 1
men 3
midpoint 1
midway 8
might 1
miles 1
military 1
millions 1
miniseries 15
mission 1
missions 1
mistakes 2
mixed 1
modern 1
monstrous 1
moral 1
moray 1
more 7
most 2
moves 1
movie 1
murder 2
mutterperl 1
name 1
named 1
natalia 1
natalie 17
natasha 2
naval 7
navy 2
nazi 1
nazidominated 1
nazis 4
near 3
needed 1
never 2
niece 2
nobel 1
normandy 4
northampton 2
not 6
notations 1
notes 1
nothing 2
novel 9
novels 1
november 1
now 2
nuclear 1
nuremberg 1
oak 1
oakton 1
observations 1
observe 2
observer 1
observes 1
obtains 2
occupies 1
occur 1
occurrences 1
occurs 1
of 105
off 2
officer 7
okw 1
older 1
on 24
once 1
one 3
only 4
operation 1
operational 2
operations 2
opponent 1
or 2
order 1
ordered 1
orders 2
originally 1
orphanage 1
oss 1
other 2
out 7
over 1
overall 1
oversee 1
pacific 4
palestine 1
palmer 1
pamela 6
paperthin 1
parachutes 1
paradise 1
parallel 1
paratroopers 1
pardoned 1
part 4
participate 1
parts 1
passport 1
peace 1
pearl 2
people 1
perceived 1
perilous 1
period 1
person 1
personal 1
personality 1
peters 7
phil 1
philippine 1
philippines 1
photographed 1
pilot 2
placing 1
plan 1
planning 1
play 1
plays 1
plight 1
plot 1
pneumonia 1
poland 1
policies 1
policy 1
political 1
politician 1
popular 1
population 1
portugal 1
position 1
possibility 1
possible 1
possibly 1
potemkin 1
prague 1
presents 1
president 3
presses 1
presumably 1
pretends 1
prison 1
prisoner 1
privation 1
prize 1
problem 1
production 1
professor 1
project 1
prominent 3
prominents 1
promotion 1
propaganda 1
prosoviet 1
prospective 1
protagonist 1
protocol 1
prove 1
proves 1
provide 1
provides 1
pug 4
purported 1
pursues 1
pursuing 1
puts 1
quoted 1
radio 1
raf 2
rank 1
rash 1
raymond 1
reaction 1
reader 1
real 1
reality 1
rear 2
rebuttal 1
receives 1
receiving 1
recently 1
reconciled 1
recover 1
recovering 1
red 3
reflects 1
refuse 1
refuses 4
rejects 1
rejoins 1
rekindled 1
relationship 2
remainder 1
remaining 1
remembrance 2
replies 1
report 2
represents 1
required 1
requirements 1
reservist 1
resigns 1
resistance 1
respect 1
result 1
retired 1
retirement 1
retrieve 1
returns 1
reunite 1
reunited 1
reunites 2
revealed 1
rhoda 8
ridge 2
rival 1
role 5
romance 1
rommel 3
room 1
roon 12
roosevelt 5
rose 1
rostova 1
roughly 1
routes 1
rule 1
russian 1
s 1
safe 1
same 1
sammy 2
sarcastic 1
savagely 1
save 1
scene 1
scorched 1
scored 1
scrapped 1
sea 3
search 1
searching 1
second 1
sections 1
see 1
seeing 1
sensibilities 1
sent 11
sentenced 1
sentences 1
separating 1
serve 2
serves 5
services 1
severely 1
she 14
ship 4
shortly 3
should 1
show 1
shows 1
siege 1
siena 1
sime 1
simon 2
since 1
sing 1
singapore 1
sister 1
six 2
slips 1
slote 3
so 7
solicit 1
something 1
son 8
soon 1
soul 1
soviet 2
spared 1
speaking 2
speaks 1
specialized 1
speer 3
spent 1
spruance 4
squadron 1
ss215 1
sscolonel 1
ssobersturmbannfhrer 1
ssstandartenfhrer 1
staff 1
starts 1
state 1
stauffenberg 2
stay 1
staying 1
still 3
story 4
straightens 1
straightforward 1
strain 2
strained 2
strand 1
strangely 1
student 2
submarine 1
submerge 1
subversive 1
such 1
suggestion 1
suicide 1
sunk 2
sunset 1
superiors 1
surface 1
survives 1
switzerland 1
sympathy 1
take 1
takes 4
talcott 1
talk 1
talky 2
task 2
tassafaronga 1
technical 1
ted 1
tehran 1
television 1
tennessee 1
terrible 1
territory 1
than 4
that 17
the 241
theater 2
their 4
them 4
then 9
there 3
theresienstadt 4
they 8
this 7
those 1
thought 1
thoughts 1
threatened 1
threats 1
three 2
thrill 1
through 1
throughout 3
time 2
to 98
told 1
tolstoy 1
torch 1
torpedo 1
torpedoes 1
toward 1
towards 1
traces 1
tracking 1
transferred 1
translated 1
translating 1
translator 1
transport 1
trapped 2
traumatized 1
travel 1
travels 2
tribunal 1
tricked 1
tries 1
troubleshooter 1
truman 2
try 2
trying 2
tudsbury 7
two 2
uboats 1
uncle 4
under 2
underground 2
union 1
until 4
unwilling 2
up 4
upon 2
us 4
use 1
used 1
useful 1
usefulness 1
uss 7
value 1
various 3
veiled 1
very 2
vicemarshal 1
vichy 4
victims 1
victor 12
viewpoint 1
vigorously 1
villa 1
village 1
virginia 1
visas 1
visits 1
visual 1
von 14
voyage 1
w 1
wade 1
wait 1
walks 1
wangles 1
wannsee 1
wants 1
war 22
warfare 1
warren 4
wartime 1
was 6
washington 1
way 2
weapon 1
weimar 1
well 1
went 1
were 2
werner 2
what 4
when 15
which 5
while 10
who 5
whose 1
widow 1
wife 7
wild 1
will 4
william 2
win 1
winds 1
winner 1
winning 1
winston 1
with 29
without 1
witness 2
work 4
works 1
world 3
worse 3
worst 2
wouk 1
would 4
wounded 2
writes 1
yalta 1
yastrova 1
years 1
younger 1
zero 1
zionist 1
zitadelle 2
