4137395
/m/0bl2cf
/m/0bl2cf
Vladimir Vasilyev
inadvertently 1
indeed 1
indicate 1
indirectly 1
indistinguishable 1
individuals 1
infatuated 1
initiating 1
inquisition 10
inquisitor 1
instant 1
instead 1
instinct 2
instincts 1
internal 1
international 1
into 3
investigate 1
investigator 1
invites 1
involved 3
involves 2
irresistible 1
is 37
it 6
its 2
itself 1
job 1
kill 1
killed 1
kills 3
know 1
known 1
kosovo 1
landing 2
late 1
lead 1
learn 1
least 1
leaves 3
leaving 1
left 2
legally 1
lesser 1
level 1
light 7
like 1
listening 1
live 2
location 1
looks 1
lot 1
love 4
lover 1
made 1
mage 1
magic 1
magical 1
magically 1
magician 1
main 1
major 1
makar 2
make 2
man 1
maxim 2
may 1
mean 1
meanwhile 1
medium 1
meet 1
meeting 6
meets 2
member 3
members 3
memory 1
mentioning 1
messiah 2
minidisc 2
minor 1
mirror 1
mission 1
more 1
moscow 7
movie 2
much 1
music 1
named 4
narrator 2
natasha 3
near 1
need 1
neither 1
neutralize 1
nevertheless 1
new 1
next 1
night 15
no 2
noncommittal 1
nor 1
not 11
note 3
novel 3
now 3
number 2
occur 1
of 51
offices 1
offshore 1
often 1
old 1
olga 1
on 10
once 1
one 6
only 4
opening 1
operation 1
operative 1
operatives 1
or 2
order 3
ordinary 1
other 7
others 1
our 1
out 5
outside 1
over 1
owes 1
own 5
parallel 1
park 1
part 3
participate 1
parties 1
past 1
pentalogy 1
perform 1
philosophy 1
pilot 2
place 1
plan 1
plane 2
planned 2
play 1
player 2
plead 1
pleads 1
point 2
pointless 1
population 1
portal 1
possession 1
possessors 1
power 4
powerful 4
powers 3
practicing 1
practitioners 1
prague 3
presence 2
present 1
proceeds 1
prologue 2
promise 1
promised 1
proof 1
prosecutor 1
protect 2
proud 1
purpose 1
pursue 1
push 1
put 1
rage 1
reacts 2
recruit 1
recuperate 1
reduced 1
regin 8
registers 1
relationship 1
relinquishes 1
reluctantly 1
remaining 1
remembers 1
remove 1
replacement 1
rescue 1
responsible 3
rest 2
restore 1
result 1
resulting 1
resurrection 1
resurrects 1
returning 1
returns 1
revealed 1
revelation 1
revenge 1
revolves 1
roaring 1
robe 2
rogoza 2
room 1
routine 1
sacrifice 1
sadness 1
same 2
save 1
saying 1
scene 2
scenes 1
sea 2
second 1
secondlevel 1
seeks 2
seemingly 1
seems 1
selfdefense 1
sends 1
sense 1
sent 3
series 1
session 1
set 1
setting 2
shadowy 1
shattering 1
she 8
shifts 2
shocked 1
should 1
since 1
site 1
small 1
smallest 1
so 2
some 2
soon 1
spell 1
splinter 1
staged 1
stages 1
stating 1
steal 1
steals 1
stick 1
still 2
stories 2
story 9
strategy 1
streets 1
strikes 2
stripped 1
stumble 1
stumbles 1
subsequent 1
success 1
such 1
suddenly 1
sufficiently 1
suicidal 1
supernatural 1
survive 1
surviving 1
svetlana 10
swims 1
switches 1
takes 1
taking 1
talking 1
talon 5
team 2
technicalities 1
tells 1
temporarily 1
terms 1
terribly 1
that 23
the 133
theft 1
their 4
them 2
themselves 1
then 4
theoretically 1
there 3
thereafter 1
they 10
thinks 1
third 2
thirdperson 1
this 7
those 1
though 3
through 1
thus 1
tiger 1
timed 1
to 67
told 3
tradealisa 1
train 1
trained 1
transported 1
trap 1
travelling 1
treaty 2
trespassing 1
trial 6
tricked 1
tried 1
tries 1
try 2
trying 1
turns 1
twilight 3
two 3
uncovers 1
under 3
understandably 1
uninitiated 1
unlicensed 1
up 6
upcoming 1
upon 1
various 1
very 1
view 2
violated 1
visit 1
vitaly 14
vodka 1
vs 1
walking 2
wanders 1
was 5
watch 27
water 1
way 4
were 1
werewolf 1
what 4
when 3
where 1
which 2
while 8
who 13
whose 1
wife 1
will 5
winds 1
witch 5
witezslav 2
with 19
without 1
woman 1
wonder 1
work 1
world 1
worst 1
would 1
years 1
you 1
young 2
youth 1
youths 1
zabulon 14
