3327156
/m/095_q8
/m/095_q8
Monzaemon Chikamatsu
maid 2
major 1
make 1
makes 1
many 1
marked 1
marriage 1
married 1
matter 1
mentioning 1
merchant 3
mercy 1
merely 1
might 1
miller 2
mind 1
minds 1
misses 1
mission 1
money 5
monk 1
morbid 1
morbidity 1
more 2
morning 1
mother 1
move 1
much 3
must 1
naive 1
narrowly 1
near 1
necessary 1
neglected 1
nets 1
never 1
news 2
next 1
nicknamed 2
night 4
no 4
none 3
nonplussed 1
not 12
note 1
nothing 2
now 2
nun 1
oath 1
oaths 1
objection 1
obviously 1
of 21
off 4
old 2
on 9
once 1
one 3
only 1
opens 1
or 2
osan 15
osue 1
other 2
ourselves 2
out 6
outside 1
over 3
overhears 1
overnight 1
own 1
pact 2
paper 3
past 1
patron 3
pawn 1
pay 1
peace 2
peers 1
penetrates 1
pierce 1
pleasant 1
pleasure 4
pointing 1
points 1
poor 1
positioning 1
positively 1
possibly 1
preserve 1
press 1
previous 1
probably 1
problem 1
produces 1
promise 3
promised 4
promises 1
propositions 1
proprietress 2
prostitute 2
prove 1
put 1
quarter 4
questions 1
quickly 1
quite 2
raised 2
ransom 4
ransomed 1
ransoming 1
reach 1
reacts 1
read 2
really 1
reason 1
recognizes 1
redeem 2
relations 1
relationship 2
relents 1
relieved 1
reproaches 2
request 2
requisite 1
resolving 1
rest 1
result 1
retrieves 2
returns 2
reveals 1
room 2
run 2
rushes 1
sacred 1
same 1
samurai 14
satisfied 1
save 2
saving 1
say 1
saying 2
scene 1
search 1
searches 1
second 1
see 2
seeing 1
seeking 1
sees 1
seizes 1
seizing 1
selling 1
sent 2
separately 1
set 1
sever 1
shadows 1
shall 1
shame 2
shamefully 1
she 12
shji 1
shocked 1
shop 1
short 2
should 1
shows 1
sidedoor 1
sight 1
sign 2
signal 1
simply 1
since 5
situation 1
sleeping 1
sluice 2
so 7
sold 1
some 2
somehow 2
somewhat 1
sonezaki 1
sound 1
speaking 1
specify 1
speech 1
spoken 1
spot 3
stab 2
standing 1
stashes 1
still 3
stole 1
stop 2
straw 1
stream 2
streets 1
stress 1
struggling 1
such 2
suicidal 1
suicide 7
suicides 1
superiors 1
surely 1
sword 2
tahei 11
take 2
takes 1
taking 1
talking 1
tama 1
tears 1
tell 1
temple 1
tends 1
than 3
that 36
the 80
their 10
them 4
then 5
there 6
therell 1
they 15
thicket 1
thief 1
this 6
though 1
thought 1
threatens 1
through 2
thwart 1
to 58
together 2
tokens 1
touched 1
trample 1
travelling 1
treachery 1
treated 1
tree 1
tries 1
trip 1
trouble 1
truly 1
turns 1
two 4
tying 1
unable 1
uncle 2
under 1
unguarded 1
unhappiness 1
up 1
upon 1
upstairs 1
us 1
value 1
various 1
venomously 1
victory 1
visit 3
vows 1
wakes 1
walk 1
want 1
wanted 1
wardrobe 1
was 8
washed 2
way 4
we 1
wealthy 1
weeping 1
welcome 1
well 1
were 3
what 3
when 4
whether 2
while 3
who 3
wholesaler 1
wicker 1
wife 1
will 9
windpipe 1
with 12
wolf 1
woman 1
wood 1
word 1
working 1
worried 1
worries 1
would 5
year 3
years 1
