1441865
/m/051x4x
/m/051x4x
Richard Adams
pregnant 2
pressure 1
priestesslike 1
priests 1
prisoners 2
professional 1
profit 1
promise 1
property 1
proposal 1
prostitution 1
providing 1
province 4
provinces 1
queen 7
quickly 1
rally 1
rallying 1
raped 1
rather 1
real 1
reason 1
rebel 3
rebellion 1
rebels 2
received 1
receives 1
recover 1
refusing 1
regains 1
regime 1
relates 1
remote 1
rents 1
resemblance 1
resisting 1
respect 1
retire 1
return 1
returns 1
reunite 1
reveals 1
revenge 1
revered 1
rich 2
right 1
rival 1
river 2
rocky 1
ropes 1
sacred 3
sacrificed 1
sadomasochistic 1
satisfaction 1
satisfy 1
save 2
saved 1
saving 1
saw 1
scheduled 1
secretly 3
seduces 1
sees 1
seizes 1
selling 1
sells 1
sencho 9
sends 1
sent 1
serious 1
serrelind 2
serrelinda 1
services 1
several 1
sexual 1
she 17
shirk 1
shortly 1
show 1
shows 1
side 1
sight 1
signals 1
since 3
sincere 1
single 1
sister 1
sisters 1
site 1
situation 1
slave 2
slavedealer 1
slavery 1
slaves 2
small 1
sold 1
soldiers 2
solely 1
some 1
son 2
sort 1
spectacle 1
sprung 1
spymaster 1
stab 1
standoffish 1
status 2
stepfather 2
steward 1
still 1
story 2
strong 1
suba 4
suban 2
succeeded 1
such 1
supernatural 2
supervises 1
surprise 1
surprised 1
surprising 1
suspicion 1
swift 1
swimming 1
swims 1
take 1
takes 3
taxation 1
tells 1
tempestuous 1
temple 3
tends 1
terebinthia 2
terekenalt 5
terekenalter 1
terekenalters 1
tharrin 5
that 9
the 72
their 4
them 5
then 2
there 1
they 3
this 2
thought 1
threat 1
three 1
throughout 1
thus 1
thwarted 1
thwarts 1
time 2
title 1
to 44
tonilda 1
tonildan 1
tonildans 1
trains 1
travel 1
troublemaker 1
trust 2
two 4
uncrossably 1
under 1
unless 1
up 1
use 1
using 1
valderra 2
very 2
visits 2
vote 1
wanting 1
war 1
warns 1
was 3
way 1
well 3
were 1
western 1
when 5
which 3
whipped 1
who 4
whom 2
whose 1
wife 1
will 1
with 18
withdrawn 1
woman 1
would 2
wounds 1
years 1
young 2
younger 2
zenkurel 6
zirek 3
