8636968
/m/027b_dv
/m/027b_dv
Anita Loos
leads 1
learn 1
learned 2
learns 1
lee 2
left 1
leon 1
like 3
likes 1
literary 1
little 2
london 1
look 2
looked 1
loos 1
lorelei 45
loreleis 3
lost 1
louis 2
love 2
lunch 1
madame 1
made 2
magazine 2
magdalene 1
majestic 1
major 4
make 3
makes 1
male 1
mammoth 1
man 3
manages 2
manufacturer 1
many 1
marriage 2
married 1
marry 4
marrying 1
mary 1
may 2
meanwhile 2
meet 4
meeting 1
meets 5
members 1
mencken 2
mental 1
mere 1
met 1
military 1
miser 1
miss 3
mission 2
mix 1
money 2
montrose 4
montroses 1
moonlit 1
moralist 1
more 1
morning 1
most 1
mostly 1
mother 6
mothers 1
moves 1
movie 5
movies 2
mr 13
mrs 1
much 1
munich 1
museums 1
named 5
names 1
narrates 1
neglectful 1
negotiating 1
never 2
new 4
newspapers 1
next 1
no 3
none 1
not 8
nothing 1
novel 1
novelist 1
now 1
of 27
off 2
offered 1
official 1
on 12
onboard 1
one 4
only 1
opportunity 2
or 1
orchids 1
ordeals 1
orient 1
other 1
out 5
over 1
packed 1
page 1
paid 1
palace 1
paris 5
parties 1
pass 1
paste 2
pathologically 1
penn 1
personality 1
philadelphia 1
piggie 1
plan 2
plans 1
playing 1
police 1
polite 1
pounds 1
predator 1
prefers 1
presbyterian 1
presbyterianism 1
prince 1
producer 1
professional 1
prohibitionist 1
promise 1
promises 1
prompted 1
proposing 1
prosecuted 1
puritan 1
puts 3
quandary 1
rants 1
real 1
realises 2
reason 1
reform 1
reformist 1
regret 1
relates 1
relationship 1
religion 1
remorseful 1
renounce 1
reported 1
repressed 1
reputation 1
request 1
responding 1
restaurant 1
reveals 2
rid 2
ring 2
ritz 1
rms 1
robert 3
rock 2
role 1
room 2
rushes 1
russian 1
sail 2
save 1
says 2
scandal 1
scenario 1
schultzmeyer 1
science 1
scientist 1
scissors 1
secret 1
secrets 1
seduce 1
seducing 1
seems 1
selfcontrol 1
selling 2
senator 1
send 1
sentiment 1
set 1
settles 1
sexual 1
she 52
ship 1
shopping 2
shot 1
should 3
show 1
shows 1
sights 1
sigmund 1
simply 1
since 1
sir 2
slang 1
slant 1
small 1
so 5
society 2
some 3
son 2
sound 1
speak 1
speaks 1
spelling 1
spend 1
spending 2
spends 2
spiritual 1
spoffard 19
spoffards 6
sports 1
spree 1
star 1
station 1
staunch 1
steal 1
stenographer 1
story 2
success 1
such 2
suffered 1
suggestion 1
suggests 1
sympathetic 1
takes 2
talent 1
teaches 1
tears 1
telephones 2
tell 1
telling 1
tells 8
ten 1
tennis 1
test 1
testimony 1
than 1
that 27
the 50
theatre 1
their 2
them 6
then 1
there 4
they 7
thinks 1
thirtyfive 1
this 4
thoughts 1
thousand 1
three 1
through 1
tiara 7
ticket 1
time 5
to 70
too 1
tower 1
town 1
train 1
training 1
translator 1
trap 1
travelling 1
trial 1
trip 1
trips 1
trying 1
unemployed 1
unsure 1
until 1
up 3
use 1
using 1
versailles 1
very 1
vienna 8
view 1
viscount 1
visit 1
visiting 1
vows 1
waiter 1
waiting 2
wales 1
want 1
wants 1
warned 1
was 6
wastes 1
wasting 1
wealthy 3
wear 1
weeks 1
were 1
what 1
when 5
whenever 1
where 2
which 1
while 3
whilst 1
whips 1
who 11
whom 1
why 1
wife 1
will 2
wins 1
wishing 1
with 18
wondering 1
working 1
would 4
write 1
writer 2
writes 2
years 1
york 3
