17598521
/m/0465p1v
/m/0465p1v
Elise Primavera
enslave 1
entering 1
entrance 1
escape 2
escapees 1
esp 1
even 4
event 1
ever 2
everyday 1
everything 1
exchange 1
excited 1
exclaiming 1
exclaims 1
excuses 1
exit 1
explains 1
eye 1
eyes 1
fabricated 1
fabulous 1
face 1
failing 1
faked 2
fall 2
false 1
family 3
famous 1
fashion 1
favorite 1
fearful 1
fears 1
feelings 1
feels 1
few 2
filled 1
film 2
find 10
finds 2
fine 1
fire 1
firm 1
first 6
fix 1
flee 1
flings 1
floating 1
floor 1
followed 1
for 26
force 1
foreshadowing 1
forever 1
fork 1
form 1
former 1
found 1
founder 1
four 2
franny 36
frannys 1
freaks 1
fred 9
free 1
french 1
friend 1
friends 4
fries 1
from 8
fusses 1
gale 1
get 4
gets 1
getting 1
giant 1
ginger 9
gingerbread 1
girls 20
give 4
gives 5
glamorous 2
go 1
goes 1
going 3
gone 1
good 1
got 1
grabs 1
grapes 1
greet 1
greeted 2
grieve 1
group 1
grows 1
guiltridden 1
gumm 23
had 2
hag 1
hair 2
haircut 1
hand 2
handle 1
hands 1
hang 1
hardest 1
harvest 1
has 6
hasnt 1
hates 2
have 3
having 1
he 10
heals 1
hear 1
heel 1
heironymous 4
heironymus 2
help 3
helping 1
her 74
herself 6
hidden 1
high 1
him 1
himself 2
his 7
history 1
holding 1
hole 1
home 4
honor 1
horror 1
hot 1
house 7
how 3
however 5
hugs 1
human 1
humans 1
humiliated 1
hurricane 3
i 3
idea 1
if 4
ignoring 1
illfated 1
immediately 3
in 37
including 1
injures 1
inside 3
insists 1
instead 2
instruction 1
instrument 1
insubordinate 1
insults 1
intercepted 1
into 14
intrigued 1
introduce 2
introduced 1
introduces 1
involvement 1
is 25
isnt 1
it 20
its 1
ivy 61
ivys 4
iznotz 1
jellybeans 1
jinx 15
job 1
joins 1
journey 1
judge 1
just 3
keeps 1
killing 1
know 1
knowitalls 1
knows 1
lame 1
last 1
lavishly 1
learned 1
learning 1
learns 2
leave 2
left 3
lesson 2
lessons 2
letter 3
lettuce 1
levitating 1
light 2
like 5
lines 1
liquid 1
liverwurst 5
located 1
losing 1
lost 1
ludicrous 1
lukewarm 1
machine 1
made 1
make 11
makes 5
making 1
manage 1
many 1
marbles 1
maz 6
mazs 2
meant 1
meanwhile 1
medicine 1
meet 2
meeting 1
meets 2
met 1
mgm 1
middle 4
mind 1
misfortune 1
misplacing 1
missed 1
missing 2
more 2
mortified 1
most 1
motherly 1
mothers 2
mountain 1
moving 1
mr 15
mrstaccatos 1
much 5
muggs 1
munchkins 1
museum 1
music 1
my 1
mysterious 1
name 2
named 3
neighbors 1
never 3
new 4
news 1
newspaper 1
next 2
niece 1
nieces 1
no 3
none 1
nor 1
not 3
nothing 1
novel 3
now 2
observes 1
odd 1
of 65
off 7
offer 1
offering 1
offers 4
offstage 1
old 1
ominous 1
on 15
once 7
one 5
only 2
ooze 3
opens 3
opportunity 2
or 5
order 2
ordinary 1
origin 2
other 4
out 16
over 6
own 1
owner 1
ownership 1
oz 4
pack 2
paint 2
pancakes 1
parents 1
passage 1
passages 1
passed 1
past 1
pearl 7
peculiar 1
peeling 1
people 1
performance 3
persuades 1
phone 1
piano 5
pick 1
picture 2
pink 2
place 5
placement 1
plan 2
plans 1
plunges 1
pock 1
points 2
portrait 1
positions 1
possessions 1
potato 2
potatoes 2
potion 3
power 1
predicament 2
predicts 1
prepare 1
prepared 1
problem 1
progresses 1
promises 1
properly 1
proposes 1
protest 1
provide 1
pru 25
prus 4
pushes 2
put 1
queen 1
quickly 3
raisins 1
reading 1
reads 1
realize 3
reappearance 2
receive 1
recital 3
red 2
refuses 2
regardless 1
related 2
relative 1
reminiscent 1
request 2
rest 3
result 1
return 1
returns 1
reunited 2
revealing 2
reveals 1
ridicule 1
room 6
roots 1
rubbing 1
ruby 3
rubyred 1
ruining 2
run 2
runin 2
running 1
safe 3
said 3
salad 1
sandwiches 1
save 1
saying 3
says 3
school 3
scolds 1
scowling 1
scurries 1
search 1
secret 4
see 2
seem 1
seen 1
sees 3
send 1
sending 1
sent 2
separated 1
seriousness 1
setting 1
seven 1
several 1
shadow 1
she 41
shed 1
shell 1
sherbet 4
sherbets 1
shes 7
shirt 1
shocked 2
shoe 6
shoes 7
shoot 1
shortly 2
should 2
show 2
sight 1
silence 1
silver 8
simply 2
sister 1
sisters 2
sit 1
situation 3
six 1
skin 1
sky 4
slip 1
slippers 6
small 2
smell 1
so 4
social 1
solve 1
someone 3
something 1
sometimes 1
soon 1
speak 1
speaking 1
special 1
speculate 1
speeds 1
spent 1
spirit 1
spoken 1
spots 4
spotted 1
spoz 1
spud 1
spudz 4
staccato 10
staccatos 8
star 1
start 2
starts 2
steps 1
stick 2
still 2
stop 1
storms 1
stormy 1
story 2
strange 1
strangely 1
street 11
strength 1
strikes 1
string 1
stringy 1
stuckup 2
stylish 1
suggests 3
summer 4
sure 1
surprise 1
surrender 1
surveying 1
suspicious 1
system 1
take 4
takes 3
tale 1
talent 2
talking 2
tastes 1
taxes 1
teach 1
teacher 1
teaches 1
teaching 1
team 1
teens 1
tell 1
tells 5
temporarily 1
terrier 1
terriers 2
test 1
than 2
that 29
the 169
their 17
them 12
themselves 4
then 6
there 4
they 29
theyre 3
thick 2
things 1
thinking 1
thinks 1
this 8
though 1
thought 3
threatening 1
threatens 2
through 5
throw 1
thrown 1
tidal 2
time 3
tips 1
tired 1
title 2
to 84
toaster 1
toenail 1
together 4
tomato 1
tomorrow 1
too 3
toto 1
touching 1
towards 1
town 1
transform 1
transformed 1
transforms 1
trapping 1
travel 1
tries 1
trouble 1
true 2
truly 1
try 2
tucked 1
tunaonrye 5
tunnel 1
turns 3
two 6
under 2
underground 1
uneasy 1
unfortunately 1
unfriendly 1
unimportant 1
unique 2
unknowingly 1
unknown 1
unsatisfied 1
until 2
unwilling 1
up 19
used 2
uses 1
ushers 1
v 7
vacation 1
vanishing 2
vicious 1
villainous 1
visibly 1
visit 1
visitors 1
vitamins 2
vows 1
waiting 2
wake 2
wakened 1
wakes 2
walk 1
warning 2
warns 1
was 3
wasnt 1
watch 2
water 1
wave 2
way 5
week 2
well 2
were 2
werent 1
west 2
what 3
when 7
where 6
whereupon 1
whether 1
which 2
while 1
whisk 1
whole 1
whose 1
wicked 2
will 3
window 2
wish 1
wishes 1
witch 7
with 32
without 1
wizard 5
woman 1
wonderful 1
words 1
work 1
worked 1
wormz 1
worries 1
wouldnt 1
wrath 1
written 1
years 1
you 2
your 2
zombie 1
