13866437
/m/03clnx8
/m/03clnx8
Ted Dekker
seeing 1
sense 1
sent 1
sentenced 1
servant 1
seven 1
she 15
shell 1
short 1
simultaneously 1
since 4
sink 1
sinking 1
sister 1
sleep 2
small 1
so 1
some 4
somehow 1
somewhat 2
soon 2
spared 1
spends 1
spring 1
spying 1
stated 1
stays 1
stephen 1
still 2
stop 1
stories 1
straight 1
strain 1
striking 1
stunned 1
subdue 1
subsequently 1
successfully 1
suddenly 1
sure 1
survive 1
suspicious 1
suzan 5
svensson 1
swam 1
swarm 1
switched 1
sword 1
symbolically 1
take 1
taken 1
takes 1
taking 1
tells 2
terrified 1
that 18
the 111
their 8
them 5
themselves 1
then 6
they 14
theyre 3
thirteen 1
this 3
thomas 34
those 2
though 1
thought 3
through 7
throughout 1
throws 1
time 2
to 54
together 1
too 1
top 1
towards 1
trace 1
traditional 1
transfusion 1
tribe 4
tribes 1
tries 1
true 1
truly 1
truth 1
try 1
turn 1
turned 3
turning 1
twelve 1
unbearable 1
unbeknownst 1
underground 1
unless 1
up 1
upon 3
us 1
uss 1
usually 1
utterly 2
very 1
vicious 1
village 2
violently 1
virus 2
waiting 2
walks 1
wall 1
wants 1
warriors 1
was 4
washington 1
water 4
watering 1
waters 1
ways 1
wed 1
wedding 1
weeping 1
well 1
were 1
what 1
when 9
where 4
which 3
while 4
white 3
who 5
whole 1
whom 1
widespread 1
wife 2
will 2
william 3
willing 1
willingly 1
with 19
woman 1
woref 6
worthy 1
would 1
wounding 1
wrenching 1
