1858142
/m/061lw1
/m/061lw1
James Follett
savin 3
says 1
scale 1
science 1
sea 3
seal 1
second 2
secretly 2
seek 1
seen 1
seizing 1
selected 1
sent 2
serial 2
series 1
seriously 1
serves 1
service 1
set 1
settle 1
settled 1
settlers 1
shape 1
share 1
sharna 5
she 1
shielding 1
ship 9
ships 1
short 1
shortened 1
should 1
shrink 1
shut 1
shuttle 6
side 1
sign 1
simple 1
simply 1
six 5
sixteen 1
small 1
so 3
solaria 5
some 1
son 1
source 3
spaceguard 4
spaceship 2
specialised 1
spring 1
stable 1
star 3
stars 1
starship 1
starships 1
states 1
stay 1
still 1
storm 1
story 2
strain 1
structure 1
submerge 1
subservient 2
succeeds 2
successful 1
successfully 1
such 1
suffering 1
sufficiently 1
sun 4
support 1
surgeongeneral 3
surgical 1
surrender 1
surrounded 1
survey 1
survive 2
surviving 1
suspects 1
suspended 1
suspicion 1
suspicious 1
sustainability 1
system 4
systems 3
target 1
team 1
technology 3
telson 7
tendencies 1
tenmilehigh 1
terraforming 2
than 1
that 27
the 200
their 20
theirquest 1
them 5
themselves 5
there 1
therefore 1
theros 2
these 1
they 20
things 1
this 1
though 1
threat 1
threatening 2
thus 1
thwarted 1
tidy 2
time 5
tiny 2
to 66
told 1
too 1
totally 2
touch 1
towards 2
tower 6
transfer 1
transit 1
transmissions 2
trap 2
trust 1
twins 1
two 3
unable 2
unaffected 1
unconscious 1
under 2
undermined 1
unexpectedly 1
unfortunately 1
unharmed 1
unidentified 1
unit 1
unknown 1
until 2
up 3
urging 1
use 4
used 1
using 1
very 2
vessels 1
village 2
voice 1
voyager 1
warm 1
warriors 1
was 4
water 2
way 1
weakened 1
weaker 1
weather 2
welcomed 1
welfare 1
well 3
were 1
what 1
when 11
where 1
whether 1
which 14
while 1
who 3
whole 1
wide 1
will 3
with 14
work 1
worked 2
works 1
would 2
wrath 1
year 1
years 3
young 1
