7157972
/m/0h78vf
/m/0h78vf
Mercedes Lackey
tokens 1
too 2
towards 1
trail 1
traitor 1
transport 1
transported 1
trap 3
treatments 1
trolls 1
troops 2
true 1
try 1
turn 1
two 2
ultimate 1
unbeknownst 1
under 2
understanding 1
understands 1
unfortunately 3
unicorn 4
unicorns 1
unit 3
units 1
unresponsive 1
until 1
up 1
upon 1
use 2
used 1
uses 2
various 1
vast 1
very 1
vestakia 8
via 2
viceroy 3
vicinity 1
vielissar 1
village 2
violet 1
volpiril 1
voted 1
waning 1
war 4
ward 1
wards 7
warning 1
wars 1
was 5
washes 1
water 2
wave 1
way 3
weakened 3
well 1
were 1
what 3
when 6
where 4
whether 1
which 7
while 5
who 9
wild 6
wildmages 4
will 3
willing 1
with 35
withdraw 1
within 2
without 4
witnesses 2
women 3
word 1
work 1
working 4
works 1
world 2
would 4
wounds 1
xaiquepieces 1
year 2
years 2
zyperis 5
