159941
/m/0153k6
/m/0153k6
Leo Tolstoy
traveled 1
travels 1
tries 2
true 1
truthfully 1
turks 1
turmoil 2
turn 1
turns 1
two 3
unable 5
unaccepted 1
unaffected 1
uncomfortable 1
under 2
undergo 1
understand 2
understands 1
uneasy 3
unfaithful 1
uninvited 1
unique 2
unlike 1
unsatisfied 1
unsuccessfully 1
up 1
upper 1
upsets 1
used 1
uses 1
vain 1
varenka 2
vengeance 1
vengeful 1
very 2
veslovsky 4
views 1
vision 1
visit 7
visited 1
visiting 1
visitors 1
visits 5
volunteers 1
vronskaya 2
vronsky 56
wants 1
was 2
well 1
were 1
what 2
when 10
where 1
which 10
while 5
whilst 3
who 8
whom 3
why 2
wife 6
will 7
with 34
without 1
woman 2
women 1
wondering 1
work 1
worker 2
working 1
would 2
wrestles 1
writes 1
young 2
youngest 1
