15055
/m/03wqm
/m/03wqm
Walter Scott
godwinson 1
goes 1
granada 1
grand 1
grandmaster 2
group 2
guided 1
guilty 1
gurth 3
had 10
happy 1
hard 1
harold 1
has 3
hatred 1
have 2
having 5
he 14
healer 1
hefty 1
helpful 1
her 9
him 10
himself 7
his 37
holy 2
homage 1
honour 1
hoped 1
horse 1
hospitality 1
host 1
however 6
hut 1
identified 1
identifies 1
identifying 1
identity 1
illdisposed 1
imminent 1
important 1
in 24
incidents 1
inclement 1
including 3
incognito 1
individual 1
infatuated 1
information 1
innocence 1
instrumental 1
into 1
is 35
isaac 11
issue 1
it 1
its 1
ivanhoe 16
jester 1
jewish 1
john 6
jousting 1
judgment 1
kill 1
killed 1
king 13
kings 1
knight 11
knights 4
kyningestun 1
lady 8
laid 1
lances 1
land 1
last 1
latter 1
layout 1
le 1
leader 2
leading 1
learning 2
leave 1
leaves 1
leaving 1
left 1
life 1
live 1
lives 1
local 1
locksley 5
long 2
lord 1
love 2
lucas 1
made 1
makes 2
malvoisin 2
malvoisins 1
man 1
manage 1
manages 2
many 1
marriage 1
marry 3
masked 2
master 1
maurice 1
may 1
meal 1
meaning 1
meantime 3
meanwhile 2
mele 1
men 2
mentions 1
mercenary 1
mercy 1
message 1
midst 1
mistakes 1
money 1
moneylender 2
monks 1
morning 1
most 1
moves 1
much 1
multiple 1
mysterious 2
nearest 1
neighbour 1
nevertheless 1
night 3
no 1
noir 1
norman 6
normans 1
not 3
notable 1
note 2
now 1
numerous 1
observed 1
observes 1
occur 1
odds 1
of 63
offer 2
offering 1
offers 1
on 11
one 4
only 1
open 1
opens 1
opponents 1
opposite 1
or 1
orders 2
organises 1
other 1
over 3
own 2
palmer 8
paragraphs 1
part 1
participate 1
party 2
passion 1
passions 1
pay 1
peril 1
permitted 1
persecution 1
philip 1
place 1
planned 1
plans 1
played 1
plays 1
pledges 1
plots 1
point 1
political 1
possessions 1
powerful 1
preceptory 2
prelates 1
present 2
presided 1
pressed 1
pretender 1
previous 1
priest 2
prince 6
procure 1
pronounced 1
proof 1
protection 1
protests 1
queen 1
raid 1
raise 1
ransom 1
reality 1
realm 1
rebecca 14
rebuffed 1
recalcitrant 1
recaptured 1
receive 1
receives 1
recently 1
reconciles 1
reconciliation 1
refuge 2
refused 1
refuses 3
reginald 1
released 1
releases 1
relieve 1
renewed 1
repay 1
request 1
requests 1
rescue 2
rescued 1
rescuing 1
response 1
retort 1
return 2
returned 2
reveal 1
revealed 1
richard 11
rides 1
right 1
rivals 1
robin 3
role 1
rotherwood 5
rouse 1
route 1
rowena 13
run 1
rushes 1
sacrament 1
saddle 1
said 1
same 2
saracen 1
saved 1
saxon 4
scene 3
second 1
seeking 2
servants 1
serve 1
service 1
severely 1
she 2
shortly 1
showing 1
side 1
siege 1
since 1
sinful 1
skilled 1
slips 2
sluggard 1
sobriquet 1
soldiers 1
some 1
son 1
soon 3
spanish 1
spell 1
spurs 1
squire 1
standard 1
stillwounded 1
storming 1
story 2
strength 1
subject 1
suit 1
supporting 1
surmise 1
surprise 1
surrenders 1
swineherd 2
take 2
taken 5
takes 3
templar 6
templars 2
that 7
the 139
their 2
them 2
then 10
there 2
they 3
thinks 1
this 5
though 3
through 2
throughout 1
thus 2
to 69
together 1
torquilstone 4
torture 1
tournament 6
towards 1
treated 1
trial 3
tries 2
true 1
turns 1
two 1
umbrage 1
unaware 1
under 3
underground 1
unexpectedly 1
unfortunate 1
unless 1
unmask 1
until 2
up 1
upon 3
urges 2
vanished 1
vanquished 1
victim 1
victory 1
violation 1
violence 1
volunteers 1
vows 1
waldemar 1
wamba 1
war 1
ward 1
warns 1
was 6
weather 1
when 4
where 3
which 11
while 4
whispers 1
who 15
whom 2
wilfred 2
wishes 1
witchburning 1
witchcraft 1
with 14
word 2
words 1
wounded 4
wring 1
writes 1
yeomen 1
yield 1
york 9
younger 1
